Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;32;walked in silence to the golden door;w_ao_k_t ih_n s_ay_l_ah_n_s t_uw dh_ah g_ow_l_d_ah_n d_ao_r
b;18;and (as) the shadow falls on him;ah_n_d ae_z dh_iy sh_ae_d_ow f_ao_l_z aa_n hh_ih_m
a;34;there in his hands Our hopes and dreams;dh_eh_r ih_n hh_ih_z hh_ae_n_d_z aw_r hh_ow_p_s ah_n_d d_r_iy_m_z
d;4;but in the heart of one deemed pure;b_ah_t ih_n dh_ah hh_aa_r_t ah_v w_ah_n d_iy_m_d p_y_uh_r
c;30;the dark one blinded by the sword of light;dh_ah d_aa_r_k w_ah_n b_l_ay_n_d_ah_d b_ay dh_ah s_ao_r_d ah_v l_ay_t
c;38;steel the light;s_t_iy_l dh_ah l_ay_t
c;10;steel the light;s_t_iy_l dh_ah l_ay_t
c;27;turning darkness into light;t_er_n_ih_ng d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
c;3;and Never shall they see the light;ah_n_d n_eh_v_er sh_ae_l dh_ey s_iy dh_ah l_ay_t
e;6;to return The days of gold;t_uw r_ih_t_er_n dh_ah d_ey_z ah_v g_ow_l_d
c;7;he must try to steal the light;hh_iy m_ah_s_t t_r_ay t_uw s_t_iy_l dh_ah l_ay_t
c;17;he feels the power of the light;hh_iy f_iy_l_z dh_ah p_aw_er ah_v dh_ah l_ay_t
c;21;steel the light;s_t_iy_l dh_ah l_ay_t
c;36;steel the light;s_t_iy_l dh_ah l_ay_t
a;28;the clash of steel was heard Across the seas;dh_ah k_l_ae_sh ah_v s_t_iy_l w_ah_z hh_er_d ah_k_r_ao_s dh_ah s_iy_z
f;13;inside The lands of the evil one;ih_n_s_ay_d dh_ah l_ae_n_d_z ah_v dh_ah iy_v_ah_l w_ah_n
c;23;turning darkness into light;t_er_n_ih_ng d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
f;12;the gods have hidden well the golden sun;dh_ah g_aa_d_z hh_ae_v hh_ih_d_ah_n w_eh_l dh_ah g_ow_l_d_ah_n s_ah_n
c;15;passed empty rooms where sirens cried;p_ae_s_t eh_m_p_t_ih r_uw_m_z w_eh_r s_ay_r_ah_n_z k_r_ay_d
c;2;the gods declared that man lived by night;dh_iy g_aa_d_z d_ih_k_l_eh_r_d dh_ah_t m_ae_n l_ih_v_d b_ay n_ay_t
c;25;steel the light;s_t_iy_l dh_ah l_ay_t
c;20;steel the light;s_t_iy_l dh_ah l_ay_t
c;40;turning darkness into light;t_er_n_ih_ng d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
c;35;that this day would steel the light;dh_ae_t dh_ih_s d_ey w_uh_d s_t_iy_l dh_ah l_ay_t
c;42;turn the darkness into light;t_er_n dh_ah d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
a;0;fallen angels and fallen dreams;f_aa_l_ah_n ey_n_jh_ah_l_z ah_n_d f_aa_l_ah_n d_r_iy_m_z
c;14;he walked the maze of the endless blight;hh_iy w_ao_k_t dh_ah m_ey_z ah_v dh_ah eh_n_d_l_ah_s b_l_ay_t
c;39;turning darkness into light;t_er_n_ih_ng d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
c;29;like no time in history;l_ay_k n_ow t_ay_m ih_n hh_ih_s_t_r_ih
c;31;the final blow did take his life;dh_ah f_ay_n_ah_l b_l_ow d_ih_d t_ey_k hh_ih_z l_ay_f
c;5;came The challenge of the fight;k_ey_m dh_ah ch_ae_l_ah_n_jh ah_v dh_ah f_ay_t
c;26;steel the light;s_t_iy_l dh_ah l_ay_t
g;16;close at hand His destiny;k_l_ow_s ae_t hh_ae_n_d hh_ih_z d_eh_s_t_ah_n_iy
c;24;steel the light;s_t_iy_l dh_ah l_ay_t
c;11;turning darkness into light;t_er_n_ih_ng d_aa_r_k_n_ah_s ih_n_t_uw l_ay_t
c;33;threw it open to the night;th_r_uw ih_t ow_p_ah_n t_uw dh_ah n_ay_t
b;1;pay the price of mystery;p_ey dh_iy p_r_ay_s ah_v m_ih_s_t_er_iy
c;8;steel the light;s_t_iy_l dh_ah l_ay_t
c;22;steel the light;s_t_iy_l dh_ah l_ay_t
c;9;steel The light;s_t_iy_l dh_ah l_ay_t
d;41;take the darkness from our lives;t_ey_k dh_ah d_aa_r_k_n_ah_s f_r_ah_m aw_r l_ih_v_z
c;19;draws his blade to face the night;d_r_ao_z hh_ih_z b_l_ey_d t_uw f_ey_s dh_ah n_ay_t
c;37;steel The light;s_t_iy_l dh_ah l_ay_t
