Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;she had the brightest eyes Id ever seen;sh_iy hh_ae_d dh_iy b_r_ay_t_ah_s_t ay_z ay_d eh_v_er s_iy_n
a;1;she was all about herself at least thats what it seemed;sh_iy w_ah_z ao_l ah_b_aw_t hh_er_s_eh_l_f ae_t l_iy_s_t dh_ae_t_s w_ah_t ih_t s_iy_m_d
f;2;i took it upon myself to go and intervene;ay t_uh_k ih_t ah_p_aa_n m_ay_s_eh_l_f t_uw g_ow ah_n_d ih_n_t_ax_v_iy_n
a;3;i think Ive seen you before no wait that was just in my dreams;ay th_ih_ng_k ay_v s_iy_n y_uw b_ah_f_ao_r n_ow w_ey_t dh_ae_t w_ah_z jh_ah_s_t ih_n m_ay d_r_iy_m_z
b;4;she laughed and said I bet you think youre really smooth;sh_iy l_ae_f_t ah_n_d s_eh_d ay b_eh_t y_uw th_ih_ng_k y_uw_r r_ih_l_iy s_m_uw_dh
b;5;and not to mention that youre pretty cute;ah_n_d n_ax_t t_uw m_eh_n_sh_ah_n dh_ae_t y_uw_r p_r_ih_t_iy k_y_uw_t
b;6;i took that (as) my cue and then I went and made my moves;ay t_uh_k dh_ae_t ae_z m_ay k_y_uw ah_n_d dh_eh_n ay w_eh_n_t ah_n_d m_ey_d m_ay m_uw_v_z
c;7;next thing you know she-s throwin all her clothes up out the sunroof;n_eh_k_s_t th_ih_ng y_uw n_ow s_hh_iy_z th_r_ow_iy_n ao_l hh_er k_l_ow_dh_z ah_p aw_t dh_ah s_ah_n_r_uw_f
c;9;i think Im in love;ay th_ih_ng_k ay_m ih_n l_ah_v
d;11;at the hotel it was all from there;ae_t dh_ah hh_ow_t_eh_l ih_t w_ah_z ao_l f_r_ah_m dh_eh_r
d;12;i must admit that we make quite the pair;ay m_ah_s_t ah_d_m_ih_t dh_ae_t w_iy m_ey_k k_w_ay_t dh_ah p_eh_r
d;13;between the scratches and the pulled hair;b_ah_t_w_iy_n dh_iy s_k_r_ae_ch_ah_z ah_n_d dh_ah p_uh_l_d hh_eh_r
d;14;see people busy playin games and making truth a dare;s_iy p_iy_p_ah_l b_ih_z_iy p_l_ey_iy_n g_ey_m_z ah_n_d m_ey_k_ih_ng t_r_uw_th ah d_eh_r
e;15;she handcuffed to the bed with chains;sh_iy hh_ae_n_d_k_ah_f_t t_uw dh_ah b_eh_d w_ih_dh ch_ey_n_z
g;16;she took out whips and all them freaky things;sh_iy t_uh_k aw_t w_ih_p_s ah_n_d ao_l dh_eh_m f_r_iy_k_iy th_ih_ng_z
e;17;of course she left before morning came;ah_v k_ao_r_s sh_iy l_eh_f_t b_ah_f_ao_r m_ao_r_n_ih_ng k_ey_m
e;18;and come to think about it I didn-t even catch her name;ah_n_d k_ah_m t_uw th_ih_ng_k ah_b_aw_t ih_t ay d_ih_d_n_t iy_v_ah_n k_ae_ch hh_er n_ey_m
c;20;i think Im in love;ay th_ih_ng_k ay_m ih_n l_ah_v
d;22;been down this road before and Ive been back again;b_ih_n d_aw_n dh_ih_s r_ow_d b_ah_f_ao_r ah_n_d ay_v b_ih_n b_ae_k ah_g_eh_n
d;23;all this time before and now Ive lost my track again;ao_l dh_ih_s t_ay_m b_ah_f_ao_r ah_n_d n_aw ay_v l_ao_s_t m_ay t_r_ae_k ah_g_eh_n
f;24;what I should ignore has kept me back from when;w_ah_t ay sh_uh_d ih_g_n_ao_r hh_ah_z k_eh_p_t m_iy b_ae_k f_r_ah_m w_eh_n
d;25;what it takes to get you here (is) what im askin then;w_ah_t ih_t t_ey_k_s t_uw g_eh_t y_uw hh_ih_r ih_z w_ah_t ay_m ah_s_k_ih_n dh_eh_n
c;27;i think Im in love;ay th_ih_ng_k ay_m ih_n l_ah_v
