Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;you ain-t ever been down this road before;y_uw ey_n_t eh_v_er b_ih_n d_aw_n dh_ih_s r_ow_d b_ah_f_ao_r
i;1;you ain-t ever seen a J running with no clothes;y_uw ey_n_t eh_v_er s_iy_n ah jh_ey r_ah_n_ih_ng w_ih_dh n_ow k_l_ow_dh_z
b;2;grandmama beat the switches where the air wind rolls;g_r_ae_n_d_ha_m_aa_m_ah b_iy_t dh_ah s_w_ih_ch_ah_z w_eh_r dh_ah eh_r w_ih_n_d r_ow_l_z
b;3;sold a sack in the culdasack down that road;s_ow_l_d ah s_ae_k ih_n dh_ah  d_aw_n dh_ae_t r_ow_d
l;5;take a left motherfucker;t_ey_k ah l_eh_f_t m_ao_th_eh_r_f_uw_k_k_ax_r
b;7;catfish Billy ain-t it Bizarre tho;k_ae_t_f_ih_sh b_ih_l_iy ey_n_t ih_t b_ah_z_aa_r dh_ow
c;8;country motherfuckers yup I got a carload;k_ah_n_t_r_iy m_ao_th_eh_r_f_uw_k_k_ax_r_s y_ah_p ay g_aa_t ah k_aa_r_l_ow_d
c;9;got a 30 pack of Bud in this Monte Carlo;g_aa_t ah  p_ae_k ah_v b_ah_d ih_n dh_ih_s m_aa_n_t_iy k_aa_r_l_ow
a;10;and Im macking this slut who got an ass like a barn door;ah_n_d ay_m m_ae_k_ih_ng dh_ih_s s_l_ah_t hh_uw g_aa_t ae_n ae_s l_ay_k ah b_aa_r_n d_ao_r
m;11;told her Ill give her the stick for a carton of marlboro-s;t_ow_l_d hh_er ay_l g_ih_v hh_er dh_ah s_t_ih_k f_ao_r ah k_aa_r_t_ah_n ah_v m_aa_r_l_b_er_r_ow_z
b;12;my boy said Im tripping but she looked at it its charm tho;m_ay b_oy s_eh_d ay_m t_r_ih_p_ih_ng b_ah_t sh_iy l_uh_k_t ae_t ih_t ih_t_s ch_aa_r_m dh_ow
b;13;what a mystic man I am with this art flow;w_ah_t ah m_ih_s_t_ih_k m_ae_n ay ae_m w_ih_dh dh_ih_s aa_r_t f_l_ow
b;14;like creek water we harder than a drunk trying to dart throw;l_ay_k k_r_iy_k w_ao_t_er w_iy hh_aa_r_d_er dh_ae_n ah d_r_ah_ng_k t_r_ay_ih_ng t_uw d_aa_r_t th_r_ow
d;15;chevy-s in the back barrettas click clack;ch_eh_v_iy_z ih_n dh_ah b_ae_k b_aa_r_eh_t_ah_s k_l_ih_k k_l_ae_k
n;16;mullets in the Starter Jacket your babies in the bed;m_ah_l_ah_t_s ih_n dh_ah s_t_aa_r_t_er jh_ae_k_ah_t y_ao_r b_ey_b_iy_z ih_n dh_iy b_eh_d
d;17;gave my mama keys to a 1980 lac- ;g_ey_v m_ay m_aa_m_ah k_iy_z t_uw ah   l_ae_k
d;18;she let her boyfriend see it and we never got it back;sh_iy l_eh_t hh_er b_oy_f_r_eh_n_d s_iy ih_t ah_n_d w_iy n_eh_v_er g_aa_t ih_t b_ae_k
e;19;fuck it its a bucket;f_ah_k ih_t ih_t_s ah b_ah_k_ah_t
e;20;a bullets in budget Ill just go back to cookie cutting;ah b_uh_l_ah_t_s ih_n b_ah_jh_ah_t ay_l jh_ah_s_t g_ow b_ae_k t_uw k_uh_k_iy k_ah_t_ih_ng
e;21;and reach under the rug and pull out a sack of bud;ah_n_d r_iy_ch ah_n_d_er dh_ah r_ah_g ah_n_d p_uh_l aw_t ah s_ae_k ah_v b_ah_d
e;22;and hit my buddy up for a nugget;ah_n_d hh_ih_t m_ay b_ah_d_iy ah_p f_ao_r ah n_ah_g_ah_t
e;23;buddy its all in the family and I mean family by cousins;b_ah_d_iy ih_t_s ao_l ih_n dh_ah f_ae_m_ax_l_ih ah_n_d ay m_iy_n f_ae_m_ax_l_ih b_ay k_ah_z_ah_n_z
d;24;and we sitting in a fucking beanbag on the front porch swinging lean back;ah_n_d w_iy s_ih_t_ih_ng ih_n ah f_ah_k_ih_ng b_iy_n_b_ae_g aa_n dh_ah f_r_ah_n_t p_ao_r_ch s_w_ih_ng_ih_ng l_iy_n b_ae_k
o;25;big truck riding never clean that buckshot signs you ain-t ever seen that;b_ih_g t_r_ah_k r_ay_d_ih_ng n_eh_v_er k_l_iy_n dh_ae_t b_ah_k_sh_aa_t s_ay_n_z y_uw ey_n_t eh_v_er s_iy_n dh_ah_t
f;27;75 north an hour from Toledo; n_ao_r_th ae_n aw_er f_r_ah_m t_ah_l_iy_d_ow
p;28;blue chevy-s big body Regals;b_l_uw ch_eh_v_iy_z b_ih_g b_aa_d_iy 
q;29;hammerton tuxedo home of HKiller raised by lions tigers gorrillas;hh_ae_m_er_t_ah_n t_ah_k_s_iy_d_ow hh_ow_m ah_v  r_ey_z_d b_ay l_ay_ah_n_z t_ay_g_er_z 
r;31;red Magnum Helicopter doors Big potholes will fuck up your 24-s;r_eh_d m_ae_g_n_ah_m hh_eh_l_ih_k_aa_p_t_er d_ao_r_z b_ih_g p_aa_t_hh_ow_l_z w_ah_l f_ah_k ah_p y_ao_r 
a;32;detroit Michigan where people dont care no more;d_ih_t_r_oy_t m_ih_sh_ih_g_ah_n w_eh_r p_iy_p_ah_l d_aa_n_b k_eh_r n_ow m_ao_r
a;33;chrysler and Ford plant they ain-t there no more;k_r_ay_s_l_er ah_n_d f_ao_r_d p_l_ae_n_t dh_ey ey_n_t dh_eh_r n_ow m_ao_r
g;34;20 20 vision make the wrong decision;  v_ih_zh_ah_n m_ey_k dh_ah r_ao_ng d_ah_s_ih_zh_ah_n
g;35;get 5 to 10 and Jackson Prison;g_eh_t ah_ae t_uw  ah_n_d jh_ae_k_s_ah_n p_r_ih_z_ah_n
f;36;abandoned homes drug dealers;ah_b_ae_n_d_ah_n_d hh_ow_m_z d_r_ah_g d_iy_l_er_z
s;37;crack addicts lots of white boys but ain-t no B-Rabbit;k_r_ae_k ah_d_ih_k_t_s l_aa_t_s ah_v w_ay_t b_oy_z b_ah_t ey_n_t n_ow b_r_ae_b_ax_t
h;38;when I gotta have it blowing that kush;w_eh_n ay g_aa_t_ah hh_ae_v ih_t b_l_ow_ih_ng dh_ae_t k_uh_sh
h;39;car started out I need that push;k_aa_r s_t_aa_r_t_ah_d aw_t ay n_iy_d dh_ah_t p_uh_sh
i;40;the home of the purple gang and;dh_ah hh_ow_m ah_v dh_ah p_er_p_ah_l g_ae_ng ah_n_d
e;41;the home of Coleman Young;dh_iy hh_ow_m ah_v k_ow_l_m_ah_n y_ah_ng
e;42;detroit Michigan great place not to come;d_ih_t_r_oy_t m_ih_sh_ih_g_ah_n g_r_ey_t p_l_ey_s n_ax_t t_uw k_ah_m
