Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;life (is) a bitch wit all that bullshit;l_ay_f ah_z ey b_ih_ch w_ih_t ao_l dh_ah_t b_uh_l_sh_ih_t
e;1;mind so heavy feel like Im gona lose it;m_ay_n_d s_ow hh_eh_v_iy f_iy_l l_ay_k ay_m g_aa_n_d_ae l_uw_z ih_t
f;2;fuckin wit these losers got me going 0 to a hundred real quick make me;f_ah_k_iy_n w_ih_t dh_iy_z l_uw_z_er_z g_aa_t m_iy g_ow_ih_ng ah_ae t_uw ah hh_ah_n_d_r_ah_d r_iy_l k_w_ih_k m_ey_k m_iy
a;3;wanna kill shit real shit;w_aa_n_ah k_ih_l sh_iy_t r_iy_l sh_iy_t
a;4;im in the stu smoking till I can-t feel shit;ay_m ih_n dh_ah s_t_uw s_m_ow_k_ih_ng t_ih_l ay k_ae_n_t f_iy_l sh_iy_t
b;5;put the pain in my bars kan u feel this;p_uh_t dh_ah p_ey_n ih_n m_ay b_aa_r_z k_ae_n ih_k f_iy_l dh_ih_s
g;6;smokin dope spittin krack where the deal (is);s_m_ow_iy_n d_ow_p s_p_ih_t_t_ih_n k_r_ae_k w_eh_r dh_ah d_iy_l ih_z
g;7;im hungry for success like where the meal (is);ay_m hh_ah_ng_g_r_iy f_ao_r s_ah_k_s_eh_s l_ay_k w_eh_r dh_ah m_iy_l ih_z
g;8;im hungry for success like where the mill (is);ay_m hh_ah_ng_g_r_iy f_ao_r s_ah_k_s_eh_s l_ay_k w_eh_r dh_ah m_ih_l ih_z
b;9;i want a billion and a badass brazilian;ay w_aa_n_t ah b_ih_l_y_ah_n ah_n_d ah b_aa_d_ah_z_s b_r_ah_z_ih_l_y_ah_n
b;10;who give good brain I mean shorty brilliant;hh_uw g_ih_v g_uh_d b_r_ey_n ay m_iy_n sh_ao_r_t_iy b_r_ih_l_y_ah_n_t
b;11;cold ass nigah don-t mean we chillin;k_ow_l_d ae_s n_iy_g_a_hh d_ow_n_t m_iy_n w_iy ch_ih_l_iy_m
a;12;its a cold world so fuck ya feelings;ih_t_s ah k_ow_l_d w_er_l_d s_ow f_ah_k y_aa f_iy_l_ih_ng_z
b;13;burning good ni (*) (*) (as) smell me wen I walk in;b_er_n_ih_ng g_uh_d eh_n_ae ah_ae ah_ae ae_z s_m_eh_l m_iy w_eh_n ay w_ao_k ih_n
c;14;always loud just incase haters talkin;ao_l_w_ey_z l_aw_d jh_ah_s_t ih_n_k_ey_s hh_ey_t_er_z t_aa_k_ah_n
c;15;they don-t want red sox like boston;dh_ey d_ow_n_t w_aa_n_t r_eh_d s_aa_k_s l_ay_k b_aa_s_t_ah_n
d;16;just because my ni (*) (*) (as) r too cautious;jh_ah_s_t b_ih_k_ao_z m_ay eh_n_ae ah_ae ah_ae eh_z aa_r t_uw k_ao_sh_ah_s
d;17;word to mutha fake ni (*) (*) (as) make me nauseous;w_er_d t_ah m_uw_th_ae f_ey_k eh_n_ae ah_ae ah_ae ae_z m_ey_k m_iy n_ao_sh_ah_s
d;18;stay running they mouth like a faucet;s_t_ey r_ah_n_ih_ng dh_ey m_aw_th l_ay_k ah f_ao_s_ah_t
c;19;who the fuck let these fa (*) (*) ts out the closet;hh_uw dh_ah f_ah_k l_eh_t dh_iy_z f_ae ah_ae ah_ae t_iy_eh_s aw_t dh_ah k_l_aa_z_ah_t
a;20;now these ni (*) (*) (as) like aw shit;n_aw dh_iy_z eh_n_ae ah_ae ah_ae ae_z l_ay_k ao sh_iy_t
e;21;nnodays off everyday gon feel like august;n_ao_d_ae_ax_s ao_f eh_v_r_iy_d_ey g_aa_n f_iy_l l_ay_k ao_g_ax_s_t
a;22;grind hard til u get up on ya boss shit;g_r_ay_n_d hh_aa_r_d t_ih_l ih_k g_eh_t ah_p aa_n y_aa b_ao_s sh_iy_t
d;23;im working hard like Im stuck up in the office;ay_m w_er_k_ih_ng hh_aa_r_d l_ay_k ay_m s_t_ah_k ah_p ih_n dh_ah ao_f_ah_s
c;24;let em talk bitch nigahs always gossip;l_eh_t eh_m t_ao_k b_ih_ch n_iy_g_a_hh_s ao_l_w_ey_z g_aa_s_ah_p
a;25;like its progress thats why they never got shit;l_ay_k ih_t_s p_r_ow_g_r_eh_s dh_ae_t_s w_ay dh_ey n_eh_v_er g_aa_t sh_iy_t
b;26;talking hot shit Im focused on the top bitch;t_ao_k_ih_ng hh_aa_t sh_iy_t ay_m f_ow_k_ah_s_t aa_n dh_ah t_aa_p b_ih_ch
b;27;middle fingers to you haters like the cops bitch;m_ih_d_ah_l f_ih_ng_g_er_z t_uw y_uw hh_ey_t_er_z l_ay_k dh_ah k_aa_p_s b_ih_ch
