Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;december 21 2012 the beginning and the end;d_ah_s_eh_m_b_er   dh_iy b_ih_g_ih_n_ih_ng ah_n_d dh_iy eh_n_d
b;2;sitting in my room its midnight;s_ih_t_ih_ng ih_n_ch m_ay r_uw_m ih_t_s m_ih_d_n_ay_t
n;3;looking out my window waiting for a meteorite;l_uh_k_ih_ng aw_t m_ay w_ih_n_d_ow w_ey_t_ih_ng f_ao_r ah m_iy_t_iy_ao_r_ay_t
c;4;deep down hoping my house would be the crash site;d_iy_p d_aw_n hh_ow_p_ih_ng m_ay hh_aw_s w_uh_d b_iy dh_ah k_r_ae_sh s_ay_t
d;5;two hours to go then I know;t_uw aw_er_z t_uw g_ow dh_eh_n ay n_ow
d;6;my life changes and my soul;m_ay l_ay_f ch_ey_n_jh_ah_z ah_n_d m_ay s_ow_l
d;7;cuz lately my life-s been in a hole;k_ah_z l_ey_t_l_iy m_ay l_ay_f_s b_ih_n ih_n ah hh_ow_l
e;8;feeling bipolar you know and I was only 14 Deep Voice;f_iy_l_ih_ng b_ay_p_ow_l_er y_uw n_ow ah_n_d ay w_ah_z ow_n_l_iy  d_iy_p v_oy_s
a;9;waiting for the world to end;w_ey_t_ih_ng f_ao_r dh_ah w_er_l_d t_uw eh_n_d
e;10;and for god to send an invite High Voice;ah_n_d f_ao_r g_aa_d t_uw s_eh_n_d ae_n ih_n_v_ay_t hh_ay v_oy_s
f;11;to go see the whole galaxy;t_uw g_ow s_iy dh_ah hh_ow_l g_ae_l_ah_k_s_iy
o;12;no people getting mad at me;n_ow p_iy_p_ah_l g_eh_t_ih_ng m_ae_d ae_t m_iy
p;13;im Dreaming about UFOs and flying objects;ih_m d_r_iy_m_ih_ng ah_b_aw_t  ah_n_d f_l_ay_ih_ng ax_b_jh_eh_k_t_s
g;14;honest I wasn-t on conspiracy shit;aa_n_ah_s_t ay w_oh_z_n_t aa_n k_ah_n_s_p_ih_r_ah_s_iy sh_iy_t
q;15;but I sure (as) hell heard about it;b_ah_t ay sh_uh_r ae_z hh_eh_l hh_er_d ah_b_aw_t ih_t
b;16;i wanted to shout at it be loud and spit;ay w_oh_n_t_ih_d t_uw sh_aw_t ae_t ih_t b_iy l_aw_d ah_n_d s_p_ih_t
c;17;cuz it haunted my mind And made more tough times;k_ah_z ih_t hh_ao_n_ah_d m_ay m_ay_n_d ah_n_d m_ey_d m_ao_r t_ah_f t_ay_m_z
c;18;realizing Reality flaunted rough crimes;r_iy_l_ay_z_ih_ng r_iy_ae_l_ah_t_iy f_l_ao_n_t_ah_d r_ah_f k_r_ay_m_z
g;20;hahahaha 2012 isn-t a hoax little did he know or believe;hh_ah_hh_ah_hh_ae_hh_ax  ih_z_n_t ah hh_ow_k_s l_ih_t_ah_l d_ih_d hh_iy n_ow ao_r b_ah_l_iy_v
a;22;my Playlist running an hour left;m_ay P_l_ah_iy_l_ax_s_t r_ah_n_ih_ng ae_n aw_er l_eh_f_t
h;23;before the heavens gate discussion;b_ah_f_ao_r dh_ah hh_eh_v_ah_n_z g_ey_t d_ih_s_k_ah_sh_ah_n
h;24;i heard up there they hate cussin;ay hh_er_d ah_p dh_eh_r dh_ey hh_ey_t k_ah_s_iy_n
h;25;my favorite songs are bumpin;m_ay f_ey_v_er_ah_t s_ao_ng_z aa_r b_ah_m_p_iy_n
f;26;music (is) all I had;m_y_uw_z_ih_k ih_z ao_l ay hh_ae_d
f;27;so I listened and sat sad;s_ow ay l_ih_s_ah_n_d ah_n_d s_ae_t s_ae_d
b;28;i wanted a new beginning no sinning;ay w_oh_n_t_ih_d ah n_y_uw b_ih_g_ih_n_ih_ng n_ow s_ih_n_ih_ng
b;29;i was always a dreamer and thinker;ay w_ah_z ao_l_w_ey_z ah d_r_iy_m_er ah_n_d th_ih_ng_k_er
b;30;walking through the hall thinking;w_ao_k_ih_ng th_r_uw dh_ah hh_ao_l th_ih_ng_k_ah_ng
