Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;always got the pack;ao_l_w_iy_z g_aa_t dh_iy p_ae_k
a;1;now thats a fact;n_aw dh_ae_t_s ah f_ae_k_t
f;2;im like a cholo;ay_m l_ay_k ah l_oh
g;3;you know the game we stay in tact we mafioso;y_uw n_ow dh_ah g_ey_m w_iy s_t_ey ih_n t_ae_k_t w_iy m_ae_f_ax_o_z_o
a;4;don-t hit my jack;d_ow_n_t hh_ih_t m_ay jh_ae_k
b;5;lets sip on racks so Im like Oh no;w_iy_s s_ih_p aa_n r_ae_k_s s_ow ay_m l_ay_k ow n_ow
h;6;these niggas act like they can match cook it slow though woah woah;dh_iy_z n_ih_g_ae_s ae_k_t l_ay_k dh_ey k_ah_n m_ae_ch k_uh_k ih_t s_l_ow dh_ow w_oh_ax_hh w_oh_ax_hh
i;7;niggas see me out thats very rare I keep it lowkey;n_ae_s s_iy m_iy aw_t dh_ae_t_s v_eh_r_iy r_eh_r ay k_iy_p ih_t l_ao_w_k_er_ax
l;8;gotta keep me segregated from the niggas that don-t know me;g_aa_t_ah k_iy_p m_iy s_eh_g_r_ah_g_ey_t_ah_d f_r_ah_m dh_ah n_ih_g_ae_s dh_ae_t d_ow_n_t n_ow m_iy
c;9;cause these niggas hesitate and I keep ruins (as) my homies;k_aa_z dh_iy_z n_ih_g_ae_s hh_eh_z_ah_t_ey_t ah_n_d ay k_iy_p r_uw_ah_n_z ae_z m_ay hh_aa_m_ah_er_s
b;10;quick to pop a fuckin nigga if you disrespect the holy;k_w_ih_k t_uw p_aa_p ah f_ah_k_iy_n n_ih_g_ae ah_f y_uw d_ih_s_r_ah_s_p_eh_k_t dh_ah hh_ow_l_iy
m;11;now let me get it ugh;n_aw l_eh_t m_iy g_eh_t ih_t ah_g
d;12;nigga could get dead;n_ih_g_ae k_uh_d g_eh_t d_eh_d
n;13;but Id rather count my cheese than move the people like a reverend;b_ah_t ay_d r_ae_dh_er k_aw_n_t m_ay ch_iy_z dh_ae_n m_uw_v dh_ah p_iy_p_ah_l l_ay_k ah r_eh_v_ax_r_ax_n_d
o;14;just know I said it ugh Indigo protected;jh_ah_s_t n_ow ay s_eh_d ih_t ah_g ih_n_d_ah_g_ow p_r_ax_t_eh_k_t_ih_d
