Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;got a shank by his arsehole;g_aa_t ah sh_ae_ng_k b_ay hh_ih_z ah_r_s_eh_hh_oh_l_ax
l;1;flick that shank man-s face now hes got a shit face for actin a;f_l_ih_k dh_ae_t sh_ae_ng_k m_ae_n_z f_ey_s n_aw hh_iy_s g_aa_t ah sh_iy_t f_ey_s f_ao_r ae_k_t_ah_n ah
a;2;arsehole;ah_r_s_eh_hh_oh_l_ax
b;3;unwrap that box smoke am on the bus that parcel;ah_n_r_ae_p dh_ae_t b_aa_k_s s_m_ow_k ae_m aa_n dh_ah b_ah_s dh_ae_t p_aa_r_s_ah_l
c;4;im a king in the six and the whole of Brixton my castle;ay_m ey k_ih_ng ih_n_ch dh_iy s_ih_k_s ah_n_d dh_iy hh_ow_l ah_v  m_ay k_ae_s_ah_l
c;5;i mean the whole of south west my castle;ay m_iy_n dh_ah hh_ow_l ah_v s_aw_th w_eh_s_t m_ay k_ae_s_ah_l
b;6;i got boxes of am plus skengs on the block with gunners like arsenal;ay g_aa_t b_aa_k_s_ah_z ah_v ae_m p_l_ah_s s_k_er_ng_s aa_n dh_ah b_l_aa_k w_ih_dh g_ah_n_er_z l_ay_k aa_r_s_ah_n_ah_l
c;7;i ain-t trying to go back jail remember Thameside days I was chilling with rascal;ay ey_n_t t_r_ay_ih_ng t_uw g_ow b_ae_k jh_ey_l r_ih_m_eh_m_b_ax  d_ey_z ay w_ah_z ch_ih_l_ih_ng w_ih_dh r_ae_s_k_ah_l
m;8;i smoke a whole load of am;ay s_m_ow_k ah hh_ow_l l_ow_d ah_v ae_m
c;9;done a whole load of road for the gang;d_ah_n ah hh_ow_l l_ow_d ah_v r_ow_d f_ao_r dh_ah g_ae_ng
d;10;i smoke man in the face with the colt;ay s_m_ow_k m_ae_n ih_n dh_ah f_ey_s w_ih_dh dh_ah k_ow_l_t
n;11;32 same size (as) a can; s_ey_m s_ay_z ae_z ah k_ah_n
m;12;i got boxes on boxes of am;ay g_aa_t b_aa_k_s_ah_z aa_n b_aa_k_s_ah_z ah_v ae_m
e;13;the feds tried to arrest my team;dh_ah f_eh_d_z t_r_ay_d t_uw er_eh_s_t m_ay t_iy_m
c;14;got stressed and I flew out to Dam;g_aa_t s_t_r_eh_s_t ah_n_d ay f_l_uw aw_t t_uw d_ae_m
c;15;i came back with a whole other plan;ay k_ey_m b_ae_k w_ih_dh ah hh_ow_l ah_dh_er p_l_ae_n
c;16;them bitches be loving the gang;dh_eh_m b_ih_ch_ah_z b_iy l_ah_v_ih_ng dh_ah g_ae_ng
n;17;i don-t even like that hoe but I fuck that bitch cause I can;ay d_ow_n_t iy_v_ah_n l_ay_k dh_ae_t hh_ow b_ah_t ay f_ah_k dh_ae_t b_ih_ch k_aa_z ay k_ah_n
c;18;cell time they be throwing me bandz;s_eh_l t_ay_m dh_ey b_iy th_r_ow_ih_ng m_iy b_ae_n_d_z
e;19;we got beef in the streets;w_iy g_aa_t b_iy_f ih_n dh_ah s_t_r_iy_t_s
e;20;push work make money buy guns then we bring it all out in the streets;p_uh_sh w_er_k m_ey_k m_ah_n_iy b_ay g_ah_n_z dh_eh_n w_iy b_r_ih_ng ih_t ao_l aw_t ih_n dh_ah s_t_r_iy_t_s
e;21;feds grabbed J with a 45 spin but bro didn-t speak;f_eh_d_z g_r_ae_b_d jh_ey w_ih_dh ah  s_p_ih_n b_ah_t b_r_ow d_ih_d_n_t s_p_iy_k
