Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;1 (\) 95 ($) tate of;ah_ae ah_ae  ah_ae t_ey_t ah_v
b;1;mind;m_ay_n_d
c;2;2 (\) Summerof95;ah_ae ah_ae 
d;3;3 (\) Back ($) hots;ah_ae ah_ae b_ae_k ah_ae hh_aa_t_s
e;4;4 (\) Thank You;ah_ae ah_ae th_ae_ng_k y_uw
f;5;5 (\) Break it Down;ah_ae ah_ae b_r_ey_k ih_t d_aw_n
g;6;6 (\) Killa;ah_ae ah_ae K_iy_l_ax
h;7;7 (\) Deep Fried Frenz Remix;ah_ae ah_ae d_iy_p f_r_ay_d f_r_eh_n_z 
i;9;production 9 10;p_r_ax_d_ah_k_sh_n ah_ae 
l;10;delivery 8 5 10;d_ah_l_ih_v_er_iy ah_ae ah_ae 
m;11;flow 10 10;f_l_ow  
n;12;lyricism 7 5 10;l_ih_r_ah_s_ih_z_ah_m ah_ae ah_ae 
o;13;track Rating 7 4 10;t_r_ae_k r_ey_t_ih_ng ah_ae ah_ae 
p;15;(*) (*) Total Rating 7 4 10 74 (*) (*);ah_ae ah_ae t_ow_t_ah_l r_ey_t_ih_ng ah_ae ah_ae   ah_ae ah_ae
a;17;cop the EP Here;k_aa_p dh_ah  hh_ih_r
