Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;were coming out of the ozone;w_iy_r k_ah_m_ih_ng aw_t ah_v dh_iy ow_z_ow_n
a;1;we ain-t got no use for our old homes;w_iy ey_n_t g_aa_t n_ow y_uw_s f_ao_r aw_r ow_l_d hh_ow_m_z
a;2;you don-t hear the news till were long gone;y_uw d_ow_n_t hh_ih_r dh_ah n_y_uw_z t_ih_l w_iy_r l_ao_ng g_ao_n
b;3;we don-t deal in money we deal in time;w_iy d_ow_n_t d_iy_l ih_n m_ah_n_iy w_iy d_iy_l ih_n t_ay_m
c;4;were unstoppable;w_iy_r ah_n_s_t_aa_p_ah_b_ah_l
b;6;that you waste when youre inside;dh_ae_t y_uw w_ey_s_t w_eh_n y_uw_r ih_n_s_ay_d
b;7;prisoners of your own minds;p_r_ih_z_n_ax_z ah_v y_ao_r ow_n m_ay_n_d_z
b;8;prisoners of your own kind;p_r_ih_z_n_ax_z ah_v y_ao_r ow_n k_ay_n_d
a;9;were the winners of these goldmines;w_iy_r dh_ah w_ih_n_er_z ah_v dh_iy_z g_ow_l_d_m_ay_n_z
d;10;we pay our dues;w_iy p_ey aw_r d_uw_z
d;11;and we pay the dues of those who said that we were fools;ah_n_d w_iy p_ey dh_ah d_uw_z ah_v dh_ow_z hh_uw s_eh_d dh_ae_t w_iy w_er f_uw_l_z
e;12;payback (is) overdue;p_ey_b_ae_k ih_z ow_v_er_d_uw
c;13;these black cards heal these black hearts;dh_iy_z b_l_ae_k k_aa_r_d_z hh_iy_l dh_iy_z b_l_ae_k hh_aa_r_t_s
c;14;and these fast cars heal these bad scars;ah_n_d dh_iy_z f_ae_s_t k_aa_z hh_iy_l dh_iy_z b_ae_d s_k_aa_r_z
b;16;she-s gonna set the world alight;s_hh_iy_z g_aa_n_ah s_eh_t dh_ah w_er_l_d ah_l_ay_t
d;17;its a beautiful view she-s beautiful news;ih_t_s ah b_y_uw_t_ah_f_ah_l v_y_uw s_hh_iy_z b_y_uw_t_ah_f_ah_l n_y_uw_z
b;18;she-s gonna drift away from sight;s_hh_iy_z g_aa_n_ah d_r_ih_f_t ah_w_ey f_r_ah_m s_ay_t
b;19;in the world-s greatest heist escape to the sky;ih_n dh_ah w_er_l_d_z g_r_ey_t_ah_s_t hh_ay_s_t ah_s_k_ey_p t_uw dh_ah s_k_ay
