Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;headless theyre turning circles;hh_eh_d_l_ah_s dh_ey_r t_er_n_ih_ng s_er_k_ah_l_z
a;1;theyre losing attitude;dh_ey_r l_uw_z_ih_ng ae_t_ah_t_uw_d
i;2;they stagger in confusion;dh_ey s_t_ae_g_er ih_n k_ah_n_f_y_uw_zh_ah_n
b;3;disoriented move;d_ih_s_ao_r_iy_eh_n_t_ah_d m_uw_v
c;5;youre in the game see the pawn on the chessboard;y_uw_r ih_n dh_ah g_ey_m s_iy dh_ah p_ao_n aa_n dh_iy ch_eh_s_b_ao_r_d
b;6;recall your name and do your own move;r_iy_k_ao_l y_ao_r n_ey_m ah_n_d d_uw y_ao_r ow_n m_uw_v
d;8;c-mon take a ride on Adventure Highway;k_ah_m_aa_n t_ey_k ah r_ay_d aa_n ae_d_v_eh_n_ch_er hh_ay_w_ey
e;9;take a look inside whats hiding in your soul;t_ey_k ah l_uh_k ih_n_s_ay_d w_ah_t_s hh_ay_d_ih_ng ih_n y_ao_r s_ow_l
f;10;check out the mirror n say Ill do it my way;ch_eh_k aw_t dh_ah m_ih_r_er eh_n s_ey ay_l d_uw ih_t m_ay w_ey
e;11;yes I will be true to the roots of Rock n Roll;y_eh_s ay w_ah_l b_iy t_r_uw t_uw dh_ah r_uw_t_s ah_v r_aa_k eh_n r_ow_l
l;13;the dance attendance on you;dh_ah d_ae_n_s ah_t_eh_n_d_ah_n_s aa_n y_uw
d;14;theyre knitting at a plight;dh_ey_r n_ih_t_ih_ng ae_t ah p_l_ay_t
a;15;indoctrinating Mantra;ih_n_d_aa_k_t_r_ah_n_ey_t_ih_ng m_ae_n_t_r_ah
c;16;convolution parasite;k_aa_n_v_ah_l_uw_sh_ah_n p_eh_r_ah_s_ay_t
c;18;youre in the game see the pawn on the chessboard;y_uw_r ih_n dh_ah g_ey_m s_iy dh_ah p_ao_n aa_n dh_ah ch_eh_s_b_ao_r_d
b;19;recall your name and do your own move;r_iy_k_ao_l y_ao_r n_ey_m ah_n_d d_uw y_ao_r ow_n m_uw_v
d;21;c-mon take a ride on Adventure Highway;k_ah_m_aa_n t_ey_k ah r_ay_d aa_n ae_d_v_eh_n_ch_er hh_ay_w_ey
e;22;take a look inside whats hiding in your soul;t_ey_k ah l_uh_k ih_n_s_ay_d w_ah_t_s hh_ay_d_ih_ng ih_n y_ao_r s_ow_l
f;23;check out the mirror n say Ill do it my way;ch_eh_k aw_t dh_ah m_ih_r_er eh_n s_ey ay_l d_uw ih_t m_ay w_ey
e;24;yes I will be true to the roots of Rock n Roll;y_eh_s ay w_ah_l b_iy t_r_uw t_uw dh_ah r_uw_t_s ah_v r_aa_k eh_n r_ow_l
c;26;decline of independence;d_ih_k_l_ay_n ah_v ih_n_d_ah_p_eh_n_d_ah_n_s
g;27;the game (is) on the board;dh_ah g_ey_m ih_z aa_n dh_ah b_ao_r_d
e;28;theyre bending rules all over;dh_ey_r b_eh_n_d_ih_ng r_uw_l_z ao_l ow_v_er
g;29;just guess whos their lord;jh_ah_s_t g_eh_s hh_uw_s dh_eh_r l_ao_r_d
c;31;youre in the game see the pawn on the chessboard;y_uw_r ih_n dh_ah g_ey_m s_iy dh_ah p_ao_n aa_n dh_iy ch_eh_s_b_ao_r_d
b;32;recall your name and do your own move;r_iy_k_ao_l y_ao_r n_ey_m ah_n_d d_uw y_ao_r ow_n m_uw_v
d;34;c-mon take a ride on Adventure Highway;k_ah_m_aa_n t_ey_k ah r_ay_d aa_n ae_d_v_eh_n_ch_er hh_ay_w_ey
e;35;take a look inside whats hiding in your soul;t_ey_k ey l_uh_k ih_n_s_ay_d w_ah_t_s hh_ay_d_ih_ng ih_n y_ao_r s_ow_l
f;36;check out the mirror n say Ill do it my way;ch_eh_k aw_t dh_ah m_ih_r_er eh_n s_ey ay_l d_uw ih_t m_ay w_ey
e;37;yes I will be true to the roots of Rock n Roll;y_eh_s ay w_ah_l b_iy t_r_uw t_uw dh_ah r_uw_t_s ah_v r_aa_k eh_n r_ow_l
d;39;c-mon take a ride on Adventure Highway;k_ah_m_aa_n t_ey_k ah r_ay_d aa_n ae_d_v_eh_n_ch_er hh_ay_w_ey
e;40;take a look inside whats hiding in your soul;t_ey_k ey l_uh_k ih_n_s_ay_d w_ah_t_s hh_ay_d_ih_ng ih_n y_ao_r s_ow_l
f;41;check out the mirror n say Ill do it my way;ch_eh_k aw_t dh_ah m_ih_r_er eh_n s_ey ay_l d_uw ih_t m_ay w_ey
e;42;yes I will be true to the roots of Rock n Roll;y_eh_s ay w_ah_l b_iy t_r_uw t_uw dh_ah r_uw_t_s ah_v r_aa_k eh_n r_ow_l
