Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;0;i pressed my face against the glass;ay p_r_eh_s_t m_ay f_ey_s ah_g_eh_n_s_t dh_iy g_l_ae_s
a;1;smiled (as) my breath made some pattern or other;s_m_ay_l_d eh_z m_ay b_r_eh_th m_ey_d s_ah_m p_ae_t_er_n er ah_dh_er
b;2;the world beneath unfurled before me like a sail;dh_iy w_er_l_d b_ah_n_iy_th ah_n_f_er_l_d b_ah_f_ao_r m_iy l_ay_k ah s_ey_l
c;3;glinted in gold from this rich dawn sky;g_l_ih_n_t_er_d ih_n g_ow_l_d f_r_ah_m dh_ih_s r_ih_ch d_ao_n s_k_ay
a;4;awaiting the ship they had told me would come;ah_w_ey_t_ih_ng dh_ah sh_ih_p dh_ey hh_ae_d t_ow_l_d m_iy w_uh_d k_ah_m
a;5;quietly anticipating that which was to come;k_w_ay_ah_t_l_iy ae_n_t_ih_s_ah_p_ey_t_ih_ng dh_ae_t w_ih_ch w_ah_z t_uw k_ah_m
d;7;i couldn-t yet see you Still obscured by the city;ay k_uh_d_n_t y_eh_t s_iy y_uw s_t_ih_l ah_b_s_k_y_uh_r_d b_ay dh_iy s_ih_t_iy
a;8;a towers of glass reflected your coming;ey t_aw_er_z ah_v g_l_ae_s r_ah_f_l_eh_k_t_ah_d y_uh_r k_ah_m_ih_ng
a;9;silhouetted on the sunrise;s_ih_l_ah_w_eh_t_ah_d aa_n dh_iy s_ah_n_r_ay_z
c;10;did I blink (as) I watched Did I close my eyes;d_ih_d ay b_l_ih_ng_k ae_z ay w_aa_ch_t d_ih_d ay k_l_ow_s m_ay ay_z
c;12;i was not alone I think it was the first time;ay w_ah_z n_ax_t ah_l_ow_n ay th_ih_ng_k ah_t w_ah_z dh_iy f_er_s_t t_ay_m
b;13;watching you rise splendid and graceful;w_aa_ch_ih_ng y_uw r_ay_z s_p_l_eh_n_d_ah_d ah_n_d g_r_ey_s_f_ah_l
e;14;i cheered (as) you sailed a greatness unknown;ay ch_ih_r_d eh_z y_uw s_ey_l_d ey g_r_ey_t_n_ah_s ah_n_n_ow_n
l;15;i laughed (as) I waved and imagined you saw me;ay l_ae_f_t eh_z ay w_ey_v_d ah_n_d ih_m_ae_jh_ah_n_d y_uw s_ao m_iy
d;16;in the streets of the city the windows of buildings;ih_n_ch dh_iy s_t_r_iy_t_s ah_v dh_iy s_ih_t_iy dh_iy w_ih_n_d_ow_z ah_v b_ih_l_d_ih_ng_z
a;17;a million faces gazing upwards in wonder;ey m_ih_l_y_ah_n f_ey_s_ah_z g_ey_z_ih_ng ah_p_w_er_d_z ih_n_ch w_ah_n_d_er
c;18;a million faces together and cheering and smiling;ey m_ih_l_y_ah_n f_ey_s_ah_z t_ah_g_eh_dh_er ah_n_d ch_ih_r_ih_ng ah_n_d s_m_ay_l_ih_ng
f;19;you were the warmth of their hearts you were the sum of their dreams;y_uw w_er dh_iy w_ao_r_m_th ah_v dh_eh_r hh_aa_r_t_s y_uw w_er dh_iy s_ah_m ah_v dh_eh_r d_r_iy_m_z
