Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;me and my niggas pulling up sittin low;m_iy ah_n_d m_ay n_ih_g_ae_s p_uh_l_ih_ng ah_p s_ih_t_t_ih_n l_ow
b;1;i told ya now its time to show ya;ay t_ow_l_d y_aa n_aw ih_t_s t_ay_m t_uw sh_ow y_aa
c;2;pull up smoking heavy shit;p_uh_l ah_p s_m_ow_k_ih_ng hh_eh_v_iy sh_iy_t
h;3;hit my blunt now she say hold her;hh_ih_t m_ay b_l_ah_n_t n_aw sh_iy s_ey hh_ow_l_d hh_er
h;4;i said no sir stand back Im finna pick her up and throw her;ay s_eh_d n_ow s_er s_t_ae_n_d b_ae_k ay_m f_ih_n_ae p_ih_k hh_er ah_p ah_n_d th_r_ow hh_er
a;5;hollow Squad the coffin fleet will never see a closure;hh_aa_l_ow s_k_w_aa_d dh_ah k_ao_f_ih_n f_l_iy_t w_ah_l n_eh_v_er s_iy ah k_l_ow_zh_er
a;6;boy I get so high I end up lower;b_oy ay g_eh_t s_ow hh_ay ay eh_n_d ah_p l_ow_er
i;7;you should hit my line;y_uw sh_uh_d hh_ih_t m_ay l_ay_n
d;8;she be like Wulf will you come over here;sh_iy b_iy l_ay_k w_uh_l_f w_ah_l y_uw k_ah_m ow_v_er hh_ih_r
h;9;i said maybe if you call a Uber or a chauffeur;ay s_eh_d m_ey_b_iy ah_f y_uw k_ao_l ah y_uw_b_er ao_r ah sh_ow_f_er
e;11;im feeling rather excellent;ay_m f_iy_l_ih_ng r_ae_dh_er eh_k_s_ah_l_ah_n_t
b;12;i do whatever the fuck I want;ay d_uw w_ah_t_eh_v_er dh_ah f_ah_k ay w_aa_n_t
f;13;i give no fuck about nuthin now;ay g_ih_v n_ow f_ah_k ah_b_aw_t n_uw_th_ax_n n_aw
f;14;i walk up to decisions now;ay w_ao_k ah_p t_uw d_ah_s_ih_zh_ah_n_z n_aw
f;15;don-t know which car Im driving now;d_ow_n_t n_ow w_ih_ch k_aa_r ay_m d_r_ay_v_ih_ng n_aw
f;16;its cliché but its truer now;ih_t_s k_l_iy_sh_ey_ae b_ah_t ih_t_s t_r_uw_er n_aw
i;17;i raise up on anyone;ay r_ey_z ah_p aa_n eh_n_iy_w_ah_n
l;18;these rappers don-t amount to nuthin- ;dh_iy_z r_ae_p_er_z d_ow_n_t ah_m_aw_n_t t_uw  n_uw_th_ax_n
m;19;he look like he strugglin- ;hh_iy l_uh_k l_ay_k hh_iy  s_t_r_ah_g_ah_l_ih_ng_ae
e;20;i pulled up with my friends and em;ay p_uh_l_d ah_p w_ih_dh m_ay f_r_eh_n_d_z ah_n_d eh_m
e;21;just to come and get rid of em;jh_ah_s_t t_uw k_ah_m ah_n_d g_eh_t r_ih_d ah_v eh_m
e;22;im sick and tired of looking at em;ay_m s_ih_k ah_n_d t_ay_r_d ah_v l_uh_k_ih_ng ae_t eh_m
c;23;i pulled off Im ready to start shit;ay p_uh_l_d ao_f ay_m r_eh_d_iy t_uw s_t_aa_r_t sh_iy_t
n;24;aye I crank my engine up;ay ay k_r_ae_ng_k m_ay eh_n_jh_ih_n ah_p
c;25;now they thought I was god speed;n_aw dh_ey th_ao_t ay w_ah_z g_aa_d s_p_iy_d
c;26;i pulled off they think Im God Feet;ay p_uh_l_d ao_f dh_ey th_ih_ng_k ay_m g_aa_d f_iy_t
o;27;aye okay Im on my way;ay ow_k_ey ay_m aa_n m_ay w_ey
p;28;im in my coffin like its Hellsing;ay_m ih_n m_ay k_ao_f_ih_n l_ay_k ih_t_s H_er_l_s_ax_ng
q;29;im Alexander from the;ay_m ae_l_ah_g_z_ae_n_d_er f_r_ah_m dh_ah
g;30;movie;m_uw_v_iy
d;31;but I don-t preach bitch;b_ah_t ay d_ow_n_t p_r_iy_ch b_ih_ch
g;32;i skewer his ass up and keep it moving;ay s_k_y_uw_er hh_ih_z ae_s ah_p ah_n_d k_iy_p ih_t m_uw_v_ih_ng
g;33;boy I create my own conclusions;b_oy ay k_r_iy_ey_t m_ay ow_n k_ah_n_k_l_uw_zh_ah_n_z
g;34;and amusement and leave confusion with you losers;ah_n_d ah_m_y_uw_z_m_ah_n_t ah_n_d l_iy_v k_ah_n_f_y_uw_zh_ah_n w_ih_dh y_uw l_uw_z_er_z
d;35;you bitch;y_uw b_ih_ch
