Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;listen Im too inclined to free my mind;l_ih_s_ah_n ay_m t_uw ih_n_k_l_ay_n_d t_uw f_r_iy m_ay m_ay_n_d
a;1;its nothing to do with science Im doing fine;ih_t_s n_ah_th_ih_ng t_uw d_uw w_ih_dh s_ay_ah_n_s ay_m d_uw_ih_ng f_ay_n
a;2;just taking another step Im due to climb;jh_ah_s_t t_ey_k_ih_ng ah_n_ah_dh_er s_t_eh_p ay_m d_uw t_uw k_l_ay_m
a;3;saw the knowledge in the garden now the fruit (is) mine;s_ao dh_ah n_aa_l_ah_jh ih_n dh_ah g_aa_r_d_ah_n n_aw dh_ah f_r_uw_t ih_z m_ay_n
a;4;tried ending it all I guess the Lord declined;t_r_ay_d eh_n_d_ih_ng ih_t ao_l ay g_eh_s dh_ah l_ao_r_d d_ih_k_l_ay_n_d
a;5;hell erase it and I guess Ill leave my flaws behind;hh_iy_l ih_r_ey_s_ah ih_t ah_n_d ay g_eh_s ay_l l_iy_v m_ay f_l_ao_z b_ah_hh_ay_n_d
b;6;turn another page and never press rewind;t_er_n ah_n_ah_dh_er p_ey_jh ah_n_d n_eh_v_er p_r_eh_s r_iy_w_ay_n_d
a;7;and since I get another chance Im working over time;ah_n_d s_ih_n_s ay g_eh_t ah_n_ah_dh_er ch_ae_n_s ay_m w_er_k_ih_ng ow_v_er t_ay_m
a;8;creating a monster dark (as) the freshest wine;k_r_iy_ey_t_ih_ng ah m_aa_n_s_t_er d_aa_r_k ae_z dh_ah f_r_eh_sh_ah_s_t w_ay_n
a;9;quickly cut the power off and hurry close the blinds;k_w_ih_k_l_iy k_ah_t dh_ah p_aw_er ao_f ah_n_d hh_er_iy k_l_ow_s dh_ah b_l_ay_n_d_z
a;10;i can-t let the neighbors see until my boys alive;ay k_ae_n_t l_eh_t dh_ah n_ey_b_er_z s_iy ah_n_t_ih_l m_ay b_oy_z ah_l_ay_v
b;11;ha Im doctor Frankenstein;hh_ah ay_m d_aa_k_t_er f_r_ae_ng_k_ah_n_s_t_ay_n
