Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i can-t say I didn-t see it coming;ay k_ae_n_t s_ey ay d_ih_d_n_t s_iy ih_t k_ah_m_ih_ng
b;1;i pushed the pedal and we hit the wall;ay p_uh_sh_t dh_ah p_eh_d_ah_l ah_n_d w_iy hh_ih_t dh_ah w_ao_l
a;2;i can-t say I don-t want nothing;ay k_ae_n_t s_ey ay d_ow_n_t w_aa_n_t n_ah_th_ih_ng
b;3;i want it all or nothing at all;ay w_aa_n_t ih_t ao_l ao_r n_ah_th_ih_ng ae_t ao_l
c;5;i should-ve known should-ve known better;ay sh_uh_d_ah_v n_ow_n sh_uh_d_ah_v n_ow_n b_eh_t_er
e;6;i can-t say I didn-t see you fall;ay k_ae_n_t s_ey ay d_ih_d_n_t s_iy y_uw f_aa_l
c;7;i won-t settle for your love letters;ay w_ow_n_t s_eh_t_ah_l f_ao_r y_ao_r l_ah_v l_eh_t_er_z
b;8;i want it all or nothing at all;ay w_aa_n_t ih_t ao_l ao_r n_ah_th_ih_ng ae_t ao_l
f;10;you feel your heart beat loudest when its breaking;y_uw f_iy_l y_ao_r hh_aa_r_t b_iy_t l_aw_d_ah_s_t w_eh_n ih_t_s b_r_ey_k_ih_ng
b;11;you and I both know our fatal flaws;y_uw ah_n_d ay b_ow_th n_ow aw_r f_ey_t_ah_l f_l_ao_z
g;12;we both know that love (is) what you make it;w_iy b_ow_th n_ow dh_ae_t l_ah_v ih_z w_ah_t y_uw m_ey_k ih_t
h;13;i want you;ay w_aa_n_t y_uw
b;14;all or nothing at all;ao_l ao_r n_ah_th_ih_ng ae_t ao_l
b;15;all or nothing at all;ao_l ao_r n_ah_th_ih_ng ae_t ao_l
a;17;theres a fault line here running;dh_eh_r_s ah f_ao_l_t l_ay_n hh_ih_r r_ah_n_ih_ng
e;18;the walls shake like a cannonball;dh_ah w_ao_l_z sh_ey_k l_ay_k ah k_ae_n_ah_n_b_ao_l
a;19;so fight fair if you love something;s_ow f_ay_t f_eh_r ah_f y_uw l_ah_v s_ah_m_th_ih_ng
b;20;yeah but Im sick of fighting at all;y_ae b_ah_t ay_m s_ih_k ah_v f_ay_t_ih_ng ae_t ao_l
g;22;i can-t say that I don-t get it;ay k_ae_n_t s_ey dh_ae_t ay d_ow_n_t g_eh_t ih_t
b;23;i want it all or nothing at all;ay w_aa_n_t ih_t ao_l ao_r n_ah_th_ih_ng ae_t ao_l
b;25;all or nothing at all;ao_l ao_r n_ah_th_ih_ng ae_t ao_l
b;26;all or nothing at all;ao_l ao_r n_ah_th_ih_ng ae_t ao_l
d;27;eh we won-t stop till were getting it right;eh w_iy w_ow_n_t s_t_aa_p t_ih_l w_iy_r g_eh_t_ih_ng ih_t r_ay_t
d;28;eh eh we won-t stop till were getting it right;eh eh w_iy w_ow_n_t s_t_aa_p t_ih_l w_iy_r g_eh_t_ih_ng ih_t r_ay_t
c;29;yea yea yea now I know now I know better;y_ey y_ey y_ey n_aw ay n_ow n_aw ay n_ow b_eh_t_er
d;30;eh eh we won-t stop till were getting it right;eh eh w_iy w_ow_n_t s_t_aa_p t_ih_l w_iy_r g_eh_t_ih_ng ih_t r_ay_t
b;31;i want it all or nothing at all;ay w_aa_n_t ih_t ao_l ao_r n_ah_th_ih_ng ae_t ao_l
b;33;all or nothing at all;ao_l er n_ah_th_ih_ng ae_t ao_l
b;34;all or nothing all or nothing at all;ao_l ao_r n_ah_th_ih_ng ao_l er n_ah_th_ih_ng ae_t ao_l
b;35;all or nothing at all;ao_l ao_r n_ah_th_ih_ng ae_t ao_l
