Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;along in the sun and the rain;ah_l_ao_ng ih_n_ch dh_iy s_ah_n ah_n_d dh_iy r_ey_n
a;1;along in the sun and the rain;ah_l_ao_ng ih_n_ch dh_iy s_ah_n ah_n_d dh_iy r_ey_n
f;2;long oh long oh long oh long;l_ao_ng ow l_ao_ng ow l_ao_ng ow l_ao_ng
a;3;along in the sun and the rain;ah_l_ao_ng ih_n_ch dh_iy s_ah_n ah_n_d dh_iy r_ey_n
a;5;hey boys Ive come a long ways;hh_ey b_oy_z ay_v k_ah_m ah l_ao_ng w_ey_z
a;6;well boys Ive come a long ways;w_eh_l b_oy_z ay_v k_ah_m ah l_ao_ng w_ey_z
a;7;oh boys Ive come a long lonesome ways;ow b_oy_z ay_v k_ah_m ah l_ao_ng l_ow_n_s_ah_m w_ey_z
a;8;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_iy r_ey_n
b;10;i seen a whole lot of things;ay s_iy_n ah hh_ow_l l_aa_t ah_v th_ih_ng_z
b;11;i seen a whole lot of things;ay s_iy_n ah hh_ow_l l_aa_t ah_v th_ih_ng_z
b;12;yes oh yes well a whole lot of things;y_eh_s ow y_eh_s w_eh_l ah hh_ow_l l_aa_t ah_v th_ih_ng_z
a;13;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_iy r_ey_n
b;15;i kissed a whole lot of lips;ay k_ih_s_t ah hh_ow_l l_aa_t ah_v l_ih_p_s
b;16;ive kissed a whole lot of lips;ay_v k_ih_s_t ah hh_ow_l l_aa_t ah_v l_ih_p_s
b;17;lord oh lordy and a whole lot of lips;l_ao_r_d ow l_ao_r_d_iy ah_n_d ah hh_ow_l l_aa_t ah_v l_ih_p_s
a;18;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_ah r_ey_n
c;20;ive seen a lot of towns;ay_v s_iy_n ah l_aa_t ah_v t_aw_n_z
c;21;ive seen a lot of towns;ay_v s_iy_n ah l_aa_t ah_v t_aw_n_z
c;22;ive seen a lot of towns;ay_v s_iy_n ah l_aa_t ah_v t_aw_n_z
a;23;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_ah r_ey_n
d;25;ive had a lot of fights;ay_v hh_ae_d ah l_aa_t ah_v f_ay_t_s
d;26;ive had a lot of fights;ay_v hh_ae_d ah l_aa_t ah_v f_ay_t_s
g;27;ive had a lot of fights man;ay_v hh_ae_d ah l_aa_t ah_v f_ay_t_s m_ae_n
a;28;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_ah r_ey_n
a;30;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_ah r_ey_n
e;32;im gonna get my job done;ay_m g_aa_n_ah g_eh_t m_ay jh_oh_b d_ah_n
e;33;im gonna get my job done;ay_m g_aa_n_ah g_eh_t m_ay jh_oh_b d_ah_n
e;34;im gonna get my job done oh done;ay_m g_aa_n_ah g_eh_t m_ay jh_oh_b d_ah_n ow d_ah_n
a;35;along in the sun and the rain;ah_l_ao_ng ih_n dh_ah s_ah_n ah_n_d dh_ah r_ey_n
