Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;skin thin plastic a poor excuse for flesh;s_k_ih_n th_ih_n p_l_ae_s_t_ih_k ey p_uh_r ih_k_s_k_y_uw_s f_r_er f_l_eh_sh
a;1;steel enforced skeleton bound beneath the mesh;s_t_iy_l eh_n_f_ao_r_s_t s_k_eh_l_ah_t_ah_n b_aw_n_d b_ah_n_iy_th dh_iy m_eh_sh
b;2;working class trash with a flask;w_er_k_ih_ng k_l_ae_s t_r_ae_sh w_ah_dh ey f_l_ae_s_k
b;3;could pass for Clark Kent when he upload the mask;k_uh_d p_ae_s f_r_er k_l_aa_r_k k_eh_n_t hh_w_ih_n hh_iy ah_p_l_oh_ax_d dh_iy m_ae_s_k
a;4;words hardly dent Harvey Dent already spent;w_er_d_z hh_aa_r_d_l_iy d_eh_n_t hh_aa_r_v_iy d_eh_n_t ao_r_eh_d_iy s_p_eh_n_t
i;5;his last dime on modified insides;hh_ah_z l_ae_s d_ay_m aa_n m_aa_d_ah_f_ay_d ih_n_s_ay_d_z
c;6;yeah the kids got heart exhausted car parts;y_ae dh_iy k_ih_d_z g_aa_t hh_aa_r_t ih_g_z_ao_s_t_ah_d k_aa_r p_aa_r_t_s
a;7;(nano-techno) exo plus he stream exponential;n_aa_n_ow_t_eh_k_n_ow eh_k_s_oh p_l_ah_s hh_iy s_t_r_iy_m eh_k_s_p_ow_n_eh_n_sh_ah_l
a;8;wiring got his nervous system twisted like a pretzel;w_ay_r_ih_ng g_aa_t hh_ah_z n_er_v_ah_s s_ih_s_t_ah_m t_w_ih_s_t_ah_d l_ay_k ey p_r_eh_t_z_ah_l
b;9;implants in his hands air typist trance;ih_m_p_l_ae_n_t_s ih_n_ch hh_ah_z hh_ae_n_d_z eh_r t_ay_p_ih_s_t t_r_ae_n_s
b;10;mc oil pants hopeless human hybrid who keep asking;m_ih_k oy_l p_ae_n_t_s hh_ow_p_l_ah_s y_uw_m_ah_n hh_ay_b_r_ah_d hh_uw k_iy_p ae_s_k_ih_ng
d;11;why we living like this;w_ay w_iy l_ih_v_ih_ng l_ay_k dh_ih_s
e;12;still gets every implant allowed and hes proud;s_t_ih_l g_ih_t_s eh_v_r_iy ih_m_p_l_ae_n_t ah_l_aw_d ah_n_d hh_iy_s p_r_aw_d
e;13;alone in the crowd and hes loud;ah_l_ow_n ih_n dh_ah k_r_aw_d ah_n_d hh_iy_s l_aw_d
e;14;trying to figure out how much can you stream before you scream and you drown;t_r_ay_ih_ng t_uw f_ih_g_y_er aw_t hh_aw m_ah_ch k_ah_n y_uw s_t_r_iy_m b_ah_f_ao_r y_uw s_k_r_iy_m ah_n_d y_uw d_r_aw_n
l;15;the world in his pocket iGOD 6;dh_ah w_er_l_d ih_n hh_ih_z p_aa_k_ah_t iy_G_O_D ah_ae
f;16;micro processed progress documents the dogs;m_ay_k_r_ow p_r_aa_s_eh_s_t p_r_ow_g_r_eh_s d_oh_k_y_uh_m_eh_n_t_s dh_ah d_ah_g_z
c;17;(as) they govern the godless;ae_z dh_ey g_ah_v_er_n dh_ah g_aa_d_l_ah_s
c;18;a careful clock maker judged on how he watches;ah k_eh_r_f_ah_l k_l_aa_k m_ey_k_er jh_ah_jh_d aa_n hh_aw hh_iy w_aa_ch_ah_z
c;20;a car in every driveway a beer in every car;ah k_aa_r ih_n eh_v_er_iy d_r_ay_v_w_ey ah b_ih_r ih_n eh_v_er_iy k_aa_r
c;21;police see him sideways leaving from every bar;p_ah_l_iy_s s_iy hh_ih_m s_ay_d_w_ey_z l_iy_v_ih_ng f_r_ah_m eh_v_er_iy b_aa_r
