Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;did you think youd find whats left of me in another life in another life;d_ih_d y_uw th_ih_ng_k y_uw_d f_ay_n_d w_ah_t_s l_eh_f_t ah_v m_iy ih_n ah_n_ah_dh_er l_ay_f ih_n ah_n_ah_dh_er l_ay_f
b;1;youve had your chance but youre going to hell;y_uw_v hh_ae_d y_ao_r ch_ae_n_s b_ah_t y_uw_r g_ow_ih_ng t_uw hh_eh_l
f;2;did you ever listen to the lies that you told me that you told me;d_ih_d y_uw eh_v_er l_ih_s_ah_n t_uw dh_ah l_ay_z dh_ae_t y_uw t_ow_l_d m_iy dh_ah_t y_uw t_ow_l_d m_iy
f;3;it was meant for you not me;ih_t w_ah_z m_eh_n_t f_ao_r y_uw n_ax_t m_iy
c;5;all this time youve stolen from me now your blood will be washed away;ao_l dh_ih_s t_ay_m y_uw_v s_t_ow_l_ah_n f_r_ah_m m_iy n_aw y_ao_r b_l_ah_d w_ah_l b_iy w_aa_sh_t ah_w_ey
c;6;now your end (is) my escape my life was yours to take;n_aw y_ao_r eh_n_d ih_z m_ay ah_s_k_ey_p m_ay l_ay_f w_ah_z y_uh_r_z t_uw t_ey_k
c;7;i can-t feel anything but hate;ay k_ae_n_t f_iy_l eh_n_iy_th_ih_ng b_ah_t hh_ey_t
c;8;i wish you could be erased;ay w_ih_sh y_uw k_uh_d b_iy ih_r_ey_s_t
c;9;i can-t feel anything but hate;ay k_ae_n_t f_iy_l eh_n_iy_th_ih_ng b_ah_t hh_ey_t
c;10;i wish you could be erased;ay w_ih_sh y_uw k_uh_d b_iy ih_r_ey_s_t
c;12;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
c;13;forever eternal you will all pay;f_er_eh_v_er ih_t_er_n_ah_l y_uw w_ah_l ao_l p_ey
c;14;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
c;15;i am the reaper today (is) my day;ay ae_m dh_ah r_iy_p_er t_ah_d_ey ih_z m_ay d_ey
a;17;youve ruined my life youve ruined my mind;y_uw_v r_uw_ah_n_d m_ay l_ay_f y_uw_v r_uw_ah_n_d m_ay m_ay_n_d
d;18;close your mouth your sins are spilling out;k_l_ow_s y_ao_r m_aw_th y_ao_r s_ih_n_z aa_r s_p_ih_l_ih_ng aw_t
d;19;close your your sins are spilling out;k_l_ow_s y_ao_r y_ao_r s_ih_n_z aa_r s_p_ih_l_ih_ng aw_t
e;21;wipe off your grin you make me fuck ´  ing sick;w_ay_p ao_f y_ao_r g_r_ih_n y_uw m_ey_k m_iy f_ah_k  ah_ae ih_ng s_ih_k
e;22;wipe off your grin you make me fucking sick;w_ay_p ao_f y_ao_r g_r_ih_n y_uw m_ey_k m_iy f_ah_k_ih_ng s_ih_k
c;24;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
c;25;forever eternal you will all pay;f_er_eh_v_er ih_t_er_n_ah_l y_uw w_ah_l ao_l p_ey
c;26;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
c;27;i am the reaper today (is) my day;ay ae_m dh_ah r_iy_p_er t_ah_d_ey ih_z m_ay d_ey
c;28;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
c;29;forever eternal you will all pay;f_er_eh_v_er ih_t_er_n_ah_l y_uw w_ah_l ao_l p_ey
c;30;there won-t be peace for those who betray;dh_eh_r w_ow_n_t b_iy p_iy_s f_ao_r dh_ow_z hh_uw b_ah_t_r_ey
g;31;i am the reaper today (is) my;ay ae_m dh_ah r_iy_p_er t_ah_d_ey ih_z m_ay
b;33;youre going to hell;y_uw_r g_ow_ih_ng t_uw hh_eh_l
f;34;did you ever listen to the lies that you told me that you told me;d_ih_d y_uw eh_v_er l_ih_s_ah_n t_uw dh_ah l_ay_z dh_ae_t y_uw t_ow_l_d m_iy dh_ae_t y_uw t_ow_l_d m_iy
f;35;it was meant for you not me;ih_t w_ah_z m_eh_n_t f_ao_r y_uw n_ax_t m_iy
