Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;are you ready for that murda;er y_uw r_eh_d_iy f_r_er dh_ah_t m_er_d_iy_ae
h;2;i get em hit em with the 187 the venom I be spittin with the regulars are;ay g_ih_t eh_m hh_ih_t eh_m w_ah_dh dh_iy  dh_iy v_eh_n_ah_m ay b_iy s_p_ih_t_t_ih_n w_ah_dh dh_iy r_eh_g_y_ah_l_er_z er
b;3;written;r_ih_t_ah_n
i;4;and the syllables are fit into the sentence (as) a given and the motherfuckers;ah_n_d dh_iy s_ih_l_ah_b_ah_l_z er f_ih_t ih_n_t_ah dh_iy s_eh_n_t_ah_n_s eh_z ey g_ih_v_ah_n ah_n_d dh_iy m_ao_th_eh_r_f_uw_k_k_ax_r_s
b;5;that are pretending to be the sickest;dh_ah_t er p_r_iy_t_eh_n_d_ih_ng t_ah b_iy dh_iy s_ih_k_ah_s_t
c;6;ever heard on the microphone body you sounding like they peeling stuff;eh_v_er hh_er_d aa_n dh_iy m_ay_k_r_ah_f_ow_n b_aa_d_iy y_uw s_aw_n_d_ih_ng l_ay_k dh_ey p_iy_l_ih_ng s_t_ah_f
l;7;and they talk about violence but they can never kick it;ah_n_d dh_ey t_ao_k ah_b_aw_t v_ay_ah_l_ah_n_s b_ah_t dh_ey k_ae_n n_eh_v_er k_ih_k ah_t
c;8;temp rup it up like psychopaths you wannabe just give it up;t_eh_m_p r_uw_p ah_t ah_p l_ay_k s_ay_k_ow_p_ae_th_s y_uw w_aa_n_ah_b_iy jh_ah_s_t g_ih_v ah_t ah_p
c;9;you can act like a killer but I don-t really give a fuck;y_uw k_ae_n ae_k_t l_ay_k ey k_ih_l_er b_ah_t ay d_ow_n r_iy_l_iy g_ih_v ey f_ah_k
d;10;melodramatic hell of an attic;m_eh_l_ah_d_r_ah_m_ae_t_ih_k hh_eh_l ah_v ah_n ae_t_ih_k
m;11;you can tell when Im rappin I dwell at my manners since outa my mind and I;y_uw k_ae_n t_eh_l hh_w_ih_n ay_m r_ae_p_iy_n ay d_w_eh_l ae_t m_ay m_ae_n_er_z s_ih_n_s ow_t_ah m_ay m_ay_n_d ah_n_d ay
e;12;drag em;d_r_ae_g eh_m
d;13;to the next room visualize when you listen to this immaculate captain baggin;t_uw dh_ah n_eh_k_s_t r_uw_m v_ih_zh_w_ah_l_ay2_z w_eh_n y_uw l_ih_s_ah_n t_uw dh_ih_s ih_m_ae_k_y_uw_l_ah_t k_ae_p_t_ah_n b_ae_g_iy_n
d;14;competition actin like it never happened;k_aa_m_p_ah_t_ih_sh_ah_n ae_k_t_ah_n l_ay_k ih_t n_eh_v_er hh_ae_p_ah_n_d
n;15;out in the woods when Im feelin like I wanna disappear;aw_t ih_n dh_ah w_uh_d_z w_eh_n ay_m f_iy_l_iy_n l_ay_k ay w_aa_n_ah d_ih_s_ax_p_ia
b;16;got so many demons I just wanna pitch a spear;g_aa_t s_ow m_eh_n_iy d_iy_m_ah_n_z ay jh_ah_s_t w_aa_n_ah p_ih_ch ah s_p_ih_r
e;17;when Im starting to feel the sanity then I know it isn-t clear;w_eh_n ay_m s_t_aa_r_t_ih_ng t_uw f_iy_l dh_ah s_ae_n_ah_t_iy dh_eh_n ay n_ow ih_t ih_z_n_t k_l_ih_r
b;18;(re-ramble) the battles gamble you thought but you missing here;r_ey_r_ae_m_b_ah_l dh_ah b_ae_t_ah_l_z g_ae_m_b_ah_l y_uw th_ao_t b_ah_t y_uw m_ih_s_ih_ng hh_ih_r
e;19;when you take shots you take off cause you can-t take em;w_eh_n y_uw t_ey_k sh_aa_t_s y_uw t_ey_k ao_f k_aa_z y_uw k_ae_n_t t_ey_k eh_m
e;20;y-all are made soft or made cloth like a hands made em;y_ao_l aa_r m_ey_d s_aa_f_t ao_r m_ey_d k_l_ao_th l_ay_k ah hh_ae_n_d_z m_ey_d eh_m
o;21;you fuckin ponies and phonies you and all of your homies line up to be the;y_uw f_ah_k_iy_n p_ow_n_iy_z ah_n_d f_ow_n_iy_s y_uw ah_n_d ao_l ah_v y_ao_r hh_aa_m_ah_er_s l_ay_n ah_p t_uw b_iy dh_ah
p;22;human centipede and then all of you blow me;hh_y_uw_m_ax_n s_eh_n_t_ah_p_iy_d ah_n_d dh_eh_n ao_l ah_v y_uw b_l_ow m_iy
c;23;lot of you motherfuckers get too freaky now cause you were weaker than others;l_aa_t ah_v y_uw m_ao_th_eh_r_f_uw_k_k_ax_r_s g_eh_t t_uw f_r_iy_k_iy n_aw k_aa_z y_uw w_er w_iy_k_er dh_ae_n ah_dh_er_z
q;24;and you speakin death and I beat you dead only the strongest survive;ah_n_d y_uw s_p_iy_k_iy_n d_eh_th ah_n_d ay b_iy_t y_uw d_eh_d ow_n_l_iy dh_ah s_t_r_ao_ng_g_ah_s_t s_er_v_ay_v
f;25;you only prolonging your life its animalistic cannibal eatin you now;y_uw ow_n_l_iy p_r_ow_l_ao_ng_ih_ng y_ao_r l_ay_f ih_t_s ah_n_ih_m_ae_l_ax_s_t_ax_c k_ae_n_ah_b_ah_l iy_t_iy_n y_uw n_aw
f;26;ive been so cold Hasnt been told;ay_v b_ih_n s_ow k_ow_l_d H_ae_s_n_t b_ih_n t_ow_l_d
f;27;(as) this pain I have it slowly grows;ae_z dh_ih_s p_ey_n ay hh_ae_v ih_t s_l_ow_l_iy g_r_ow_z
a;29;are you ready for that murda;aa_r y_uw r_eh_d_iy f_ao_r dh_ae_t m_er_d_iy_ae
e;31;are you ready for the murder you be fuckin with a nigga ima burn em;aa_r y_uw r_eh_d_iy f_ao_r dh_ah m_er_d_er y_uw b_iy f_ah_k_iy_n w_ih_dh ah n_ih_g_ae ih_m_ah b_er_n eh_m
d;32;grabbin the backpack bet a bad bag;g_r_ae_b_b_ih_n dh_ah b_ae_k_p_ae_k b_eh_t ah b_ae_d b_ae_g
