Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;aristocratic PARTIES WITH PIANOS;er_ih_s_t_ah_k_r_ae_t_ih_k p_aa_r_t_iy_z w_ih_dh p_iy_ae_n_ow_z
b;2;they wasn-t sleepin on me homie I rap good enough to put-em in a coma;dh_ey w_oh_z_n_t s_l_iy_p_iy_n aa_n m_iy hh_ao_m_iy_ax ay r_ae_p g_ah_d ah_n_ah_f t_ah p_uh_t_er_m ih_n_ch ey k_ow_m_ah
b;3;when I die barry me inside the MOMA;hh_w_ih_n ay d_ay b_ae_r_iy m_iy ih_n_s_ay_d dh_iy m_ow_m_ah
g;4;oklahoma tornado flow way to go Antonym;ow_k_l_ah_hh_ow_m_ah t_ao_r_n_ey_d_ow f_l_ow w_ey t_ah g_ow A_n_t_oh_n_ax_m
h;5;you made a beat that got the geek a girl to dance with him;y_uw m_ey_d ey b_iy_t dh_ah_t g_aa_t dh_iy g_iy_k ey g_er_l t_ah d_ae_n_s w_ah_dh ih_m
b;6;im making up my own flow;ay_m m_ey_k_ih_ng ah_p m_ay ow_n f_l_ow
c;8;single shiny bells with no jingle;s_ih_ng_g_ah_l sh_ay_n_iy b_eh_l_z w_ih_dh n_ow jh_ih_ng_g_ah_l
c;9;your girl-s breath stinks tell her lay off the pringles;y_ao_r g_er_l_z b_r_eh_th s_t_ih_ng_k_s t_eh_l hh_er l_ey ao_f dh_ah p_r_ih_ng_g_ah_l_z
d;10;sorry I had to spit some bars about that cliché;s_aa_r_iy ay hh_ae_d t_uw s_p_ih_t s_ah_m b_aa_r_z ah_b_aw_t dh_ah_t k_l_iy_sh_ey_ae
d;11;that whole I got your girl in my pocket thing (is) on replay;dh_ah_t hh_ow_l ay g_aa_t y_uh_r g_er_l ih_n_ch m_ay p_aa_k_ah_t th_ih_ng ah_z aa_n r_iy_p_l_ey
d;12;and too many people tell me I try not to be mainstream;ah_n_d t_uw m_eh_n_iy p_iy_p_ah_l t_eh_l m_iy ay t_r_ay n_ax_t t_ah b_iy m_ey_n_s_t_r_iy_m
h;13;but your girls been around me and you I guess were on the same team;b_ah_t y_uh_r g_er_l_z b_ah_n er_aw_n m_iy ah_n_d y_uw ay g_eh_s w_iy_r aa_n dh_ah s_ey_m t_iy_m
e;14;don-t blame me she-s just following her heart;d_ow_n_t b_l_ey_m m_iy s_hh_iy_z jh_ah_s_t f_aa_l_ow_ih_ng hh_er hh_aa_r_t
e;15;just like when she-s with her girlfriends filling up that shopping cart;jh_ah_s_t l_ay_k w_eh_n s_hh_iy_z w_ih_dh hh_er g_er_l_f_r_eh_n_d_z f_ih_l_ih_ng ah_p dh_ae_t sh_aa_p_ih_ng k_aa_r_t
e;16;meanwhile Im in here thinking like a modern Descartes;m_iy_n_w_ay_l ay_m ih_n hh_ih_r th_ih_ng_k_ah_ng l_ay_k ah m_aa_d_er_n d_ey_k_aa_r_t
e;17;girls and I have one thing in common the room just stays dark;g_er_l_z ah_n_d ay hh_ae_v w_ah_n th_ih_ng ih_n k_aa_m_ah_n dh_ah r_uw_m jh_ah_s_t s_t_ey_z d_aa_r_k
e;18;thats that studio life beats start popin;dh_ae_t_s dh_ae_t s_t_uw_d_iy_ow l_ay_f b_iy_t_s s_t_aa_r_t p_aa_p_iy_n
b;19;music out of Paris I like it here Im raps Chopin;m_y_uw_z_ih_k aw_t ah_v p_ae_r_ih_s ay l_ay_k ih_t hh_ih_r ay_m r_ae_p_s sh_ow_p_ae_n
f;20;y-all don-t get the picture Apple K like you (croppin-);y_ao_l d_ow_n_t g_eh_t dh_ah p_ih_k_ch_er ae_p_ah_l k_ey l_ay_k y_uw k_r_aa_p_iy_n_eh
e;21;no question about stoping;n_ow k_w_eh_s_ch_ax_n ah_b_aw_t s_t_aa_p_ih_ng
f;23;ya-ll gotta let go let the kite go to heaven;y_aa_l g_aa_t_ah l_eh_t g_ow l_eh_t dh_ah k_ay_t g_ow t_uw hh_eh_v_ah_n
i;24;i been doing this shit since 1997;ay b_ih_n d_uw_ih_ng dh_ih_s sh_iy_t s_ih_n_s 
d;25;ever since day one cooking raps up in my apron;eh_v_er s_ih_n_s d_ey w_ah_n k_uh_k_ih_ng r_ae_p_s ah_p ih_n m_ay ey_p_r_ah_n
d;26;dealing with hot appliances Im in hell with satan;d_iy_l_ih_ng w_ih_dh hh_aa_t ah_p_l_ay_ah_n_s_ah_z ay_m ih_n hh_eh_l w_ih_dh s_ey_t_ah_n
b;27;im bout to pull the sword out the stone;ay_m b_aw_t t_uw p_uh_l dh_ah s_ao_r_d aw_t dh_ah s_t_ow_n
b;28;cook these Brits a couple scones for their bones;k_uh_k dh_iy_z b_r_ih_t_s ah k_ah_p_ah_l s_k_ow_n_z f_ao_r dh_eh_r b_ow_n_z
b;29;make-em go crazy ignore their calls of the phones;m_m_ah g_ow k_r_ey_z_iy ih_g_n_ao_r dh_eh_r k_ao_l_z ah_v dh_ah f_ow_n_z
