Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;0;yo we flying through your neighborhood in hyperspeed;y_ow w_iy f_l_ay_ih_ng th_r_uw y_uh_r n_ey_b_er_hh_uh_d ih_n_ch hh_ay_p_er_ha_s_p_iy_d
a;1;astro travellin off that hydro weed;ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n ao_f dh_ah_t hh_ay_d_r_ow w_iy_d
b;2;i always keep my weeds on deck smokin la;ay ao_l_w_iy_z k_iy_p m_ay w_iy_d_z aa_n d_eh_k s_m_ow_iy_n l_aa
c;4;never hittin no coke thats no joke;n_eh_v_er hh_ih_t_iy_n n_ow k_ow_k dh_ae_t_s n_ow jh_ow_k
d;5;and yo I don-t poke needles in my veins;ah_n_d y_ow ay d_ow_n_t p_ow_k n_iy_d_ah_l_z ih_n m_ay v_ey_n_z
c;6;i don-t be goin for broke;ay d_ow_n_t b_iy g_oy_n f_ao_r b_r_ow_k
e;7;strictly haze for days travellin higher;s_t_r_ih_k_t_l_iy hh_ey_z f_ao_r d_ey_z t_r_ae_v_ah_l_l_ih_n hh_ay_er
e;8;petty people-s down wonderin why Im so wired;p_eh_t_iy p_iy_p_ah_l_z d_aw_n w_ah_n_d_er_iy_n w_ay ay_m s_ow w_ay_er_d
a;10;cause we astro travellin smokin sticky green;k_aa_z w_iy ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n s_m_ow_iy_n s_t_ih_k_iy g_r_iy_n
f;11;then we mental over madlib instrumentals;dh_eh_n w_iy m_eh_n_t_ah_l ow_v_er m_ae_d_ah_l_iy_b ih_n_s_t_r_ah_m_eh_n_t_ah_l_z
g;13;pull out the water tube;p_uh_l aw_t dh_ah w_ao_t_er t_uw_b
g;14;i got the water jewels;ay g_aa_t dh_ah w_ao_t_er jh_uw_ah_l_z
m;15;on the level then all the negatives seckle;aa_n dh_ah l_eh_v_ah_l dh_eh_n ao_l dh_ah n_eh_g_ah_t_ih_v_z s_l_er
h;17;tranquility but still on the rugged;t_r_ae_ng_k_w_ih_l_ah_t_iy b_ah_t s_t_ih_l aa_n dh_ah r_ah_g_ah_d
h;18;like a gentle giant unplugged tokin on bud;l_ay_k ah jh_eh_n_t_l jh_ay_ah_n_t ah_n_p_l_ah_g_d t_ow_k_iy_ow_n aa_n b_ah_d
i;20;man I get so high I hope I don-t start babblin;m_ae_n ay g_eh_t s_ow hh_ay ay hh_ow_p ay d_ow_n_t s_t_aa_r_t b_ae_b_l_ih_n
i;21;yo we astro travellin;y_ow w_iy ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n
l;23;yo we flying through your neighborhood in hyperspeed;y_ow w_iy f_l_ay_ih_ng th_r_uw y_ao_r n_ey_b_er_hh_uh_d ih_n hh_ay_p_er_ha_s_p_iy_d
a;24;astro travellin off that hydro weed;ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n ao_f dh_ae_t hh_ay_d_r_ow w_iy_d
b;25;i always keep my weeds on deck smokin la;ay ao_l_w_ey_z k_iy_p m_ay w_iy_d_z aa_n d_eh_k s_m_ow_iy_n l_aa
c;27;never hittin no coke thats no joke;n_eh_v_er hh_ih_t_iy_n n_ow k_ow_k dh_ae_t_s n_ow jh_ow_k
d;28;and yo I don-t poke needles in my veins;ah_n_d y_ow ay d_ow_n_t p_ow_k n_iy_d_ah_l_z ih_n m_ay v_ey_n_z
c;29;i don-t be goin for broke;ay d_ow_n_t b_iy g_oy_n f_ao_r b_r_ow_k
e;30;strictly haze for days travellin higher;s_t_r_ih_k_t_l_iy hh_ey_z f_ao_r d_ey_z t_r_ae_v_ah_l_l_ih_n hh_ay_er
e;31;petty people-s down wonderin why Im so wired;p_eh_t_iy p_iy_p_ah_l_z d_aw_n w_ah_n_d_er_iy_n w_ay ay_m s_ow w_ay_er_d
a;33;cause we astro travellin smokin sticky green;k_aa_z w_iy ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n s_m_ow_iy_n s_t_ih_k_iy g_r_iy_n
f;34;then we mental over madlib instrumentals;dh_eh_n w_iy m_eh_n_t_ah_l ow_v_er m_ae_d_ah_l_iy_b ih_n_s_t_r_ah_m_eh_n_t_ah_l_z
g;36;pull out the water tube I got the water jewels;p_uh_l aw_t dh_ah w_ao_t_er t_uw_b ay g_aa_t dh_ah w_ao_t_er jh_uw_ah_l_z
l;37;on the level then all the negatives seckle;aa_n dh_ah l_eh_v_ah_l dh_eh_n ao_l dh_ah n_eh_g_ah_t_ih_v_z s_l_er
h;39;tranquility but still on the rugged;t_r_ae_ng_k_w_ih_l_ah_t_iy b_ah_t s_t_ih_l aa_n dh_ah r_ah_g_ah_d
h;40;like a gentle giant unplugged tokin on bud;l_ay_k ah jh_eh_n_t_l jh_ay_ah_n_t ah_n_p_l_ah_g_d t_ow_k_iy_ow_n aa_n b_ah_d
i;42;we astro travellin;w_iy ae_s_t_r_ow t_r_ae_v_ah_l_l_ih_n
