Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;swept from home to a place that doesn-t call me one of its own;s_w_eh_p_t f_er_m hh_ow_m t_ah ey p_l_ey_s dh_ah_t d_ah_z_ah_n k_ao_l m_iy hh_w_ah_n ah_v ah_t_s ow_n
a;1;time just like the river never flows the other way;t_ay_m jh_ah_s_t l_ay_k dh_iy r_ih_v_er n_eh_v_er f_l_ow_z dh_iy ah_dh_er w_ey
a;2;life (is) just a breath itll take everything it gave;l_ay_f ah_z jh_ah_s_t ey b_r_eh_th ih_t_l t_ey_k eh_v_r_iy_th_ih_ng ih_t g_ey_v
b;3;finding out this isn-t you I went 10 0 miles in another-s shoes;f_ay_n_d_ih_ng aw_t dh_ih_s ih_z_n_t y_uw ay w_eh_n_t  ah_ae m_ay_l_z ih_n ah_n_ah_dh_er_z sh_uw_z
c;4;this current has me scared (wide-eyed) wasting in the tide;dh_ih_s k_ah_r_ax_n_t hh_ah_z m_iy s_k_eh_r_d w_ay_d_ay_d w_ey_s_t_ih_ng ih_n dh_ah t_ay_d
d;5;im a healing scar I have a heart;ay_m ah hh_iy_l_ih_ng s_k_aa_r ay hh_ae_v ah hh_aa_r_t
d;6;but its beating inside a chest I keep locked;b_ah_t ih_t_s b_iy_t_ih_ng ih_n_s_ay_d ah ch_eh_s_t ay k_iy_p l_aa_k_t
f;7;but the same blood runs through me;b_ah_t dh_ah s_ey_m b_l_ah_d r_ah_n_z th_r_uw m_iy
g;8;(as) every other man whose done great things;ae_z eh_v_er_iy ah_dh_er m_ae_n hh_uw_z d_ah_n g_r_ey_t th_ih_ng_z
b;9;i grew when I saw every dream wouldn-t come true;ay g_r_uw w_eh_n ay s_ao eh_v_er_iy d_r_iy_m w_uh_d_ah_n_t k_ah_m t_r_uw
c;10;but for some reason I can-t just sit by I shoot for the sky;b_ah_t f_ao_r s_ah_m r_iy_z_ah_n ay k_ae_n_t jh_ah_s_t s_ih_t b_ay ay sh_uw_t f_ao_r dh_ah s_k_ay
f;11;i live (as) if Ill never die but I can feel that open water calling for me;ay l_ay_v ae_z ah_f ay_l n_eh_v_er d_ay b_ah_t ay k_ah_n f_iy_l dh_ae_t ow_p_ah_n w_ao_t_er k_ao_l_ih_ng f_ao_r m_iy
e;12;the (ice-cold) current carries us to sea;dh_ah ay_s_ah_k_ow_l_d k_ah_r_ax_n_t k_ae_r_iy_z ah_s t_uw s_iy
