Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;put us together;p_uh_t y_uw_eh_s t_ah_g_eh_dh_er
b;1;its like Vodka amp Milk;ih_t_s l_ay_k v_aa_d_k_ah ae_m_p m_ih_l_k
a;2;put us together;p_uh_t ah_s t_ah_g_eh_dh_er
b;3;its like mixing Vodka amp Milk;ih_t_s l_ay_k m_ih_k_s_ih_ng v_aa_d_k_ah ae_m_p m_ih_l_k
c;5;i apply pressure like a post game;ay ah_p_l_ay p_r_eh_sh_er l_ay_k ah p_ow_s_t g_ey_m
c;6;so many fakes and fouls its like a post game;s_ow m_eh_n_iy f_ey_k_s ah_n_d f_aw_l_z ih_t_s l_ay_k ah p_ow_s_t g_ey_m
a;7;i feel like Kevin Ware;ay f_iy_l l_ay_k k_eh_v_ih_n w_eh_r
b;8;my options are getting loose around here;m_ay aa_p_sh_ah_n_z aa_r g_eh_t_ih_ng l_uw_s er_aw_n_d hh_ih_r
b;9;just his buddy acting like its weird;jh_ah_s_t hh_ih_z b_ah_d_iy ae_k_t_ih_ng l_ay_k ih_t_s w_ih_r_d
a;10;niggas know my name before I drop a LP;n_ih_g_ae_s n_ow m_ay n_ey_m b_ah_f_ao_r ay d_r_aa_p ah eh_l_p_iy
a;11;but once it start drop they call you Josh Selby;b_ah_t w_ah_n_s ih_t s_t_aa_r_t d_r_aa_p dh_ey k_ao_l y_uw jh_aa_sh s_eh_l_b_iy
h;12;and Im not trying to win the lottery;ah_n_d ay_m n_ax_t t_r_ay_ih_ng t_uw w_ih_n dh_ah l_aa_t_er_iy
a;13;Rich music boys club jeans fitting real wealthy;r_ih_ch m_y_uw_z_ih_k b_oy_z k_l_ah_b jh_iy_n_z f_ih_t_ih_ng r_iy_l w_eh_l_th_iy
h;14;the creole miss me;dh_ah k_r_iy_ow_l m_ih_s m_iy
b;15;Eli out here;iy_l_ay aw_t hh_ih_r
h;16;everybody tryna catch me;eh_v_r_iy_b_aa_d_iy t_r_ih_n_ah k_ae_ch m_iy
h;17;match me;m_ae_ch m_iy
b;18;like they had less than I did;l_ay_k dh_ey hh_ae_d l_eh_s dh_ae_n ay d_ih_d
b;19;now Im king of the hill;n_aw ay_m k_ih_ng ah_v dh_ah hh_ih_l
b;20;cause everybody else been (flat-lined) kid;k_aa_z eh_v_r_iy_b_aa_d_iy eh_l_s b_ih_n f_l_ae_t_l_ay_n_d k_ih_d
d;21;shit;sh_iy_t
i;22;changed my last name into (eighty-five);ch_ey_n_jh_d m_ay l_ae_s_t n_ey_m ih_n_t_uw ey_t_ih_f_ay_v
e;23;on the interstate so much I need a brake line;aa_n dh_ah ih_n_t_ax_s_t_ey_t s_ow m_ah_ch ay n_iy_d ah b_r_ey_k l_ay_n
e;24;i guess you heard about some wine through the grape vine;ay g_eh_s y_uw hh_er_d ah_b_aw_t s_ah_m w_ay_n th_r_uw dh_ah g_r_ey_p v_ay_n
e;25;ain-t mind span I been malignant ya-ll can stay benign;ey_n_t m_ay_n_d s_p_ae_n ay b_ih_n m_ah_l_ih_g_n_ah_n_t y_aa_l k_ah_n s_t_ey b_ah_n_ay_n
f;26;so how could it be ours;s_ow hh_aw k_uh_d ih_t b_iy aw_er_z
f;27;i been in the car for ten minutes hopped in right after the shower;ay b_ih_n ih_n dh_ah k_aa_r f_ao_r t_eh_n m_ih_n_ah_t_s hh_aa_p_t ih_n r_ay_t ae_f_t_er dh_ah sh_aw_er
f;28;for lunch I had money respect and power;f_ao_r l_ah_n_ch ay hh_ae_d m_ah_n_iy r_ih_s_p_eh_k_t ah_n_d p_aw_er
l;29;it goes good with some whiskey sour;ih_t g_ow_z g_uh_d w_ih_dh s_ah_m w_ih_s_k_ih s_ao_r
f;30;and some powder;ah_n_d s_ah_m p_aw_d_er
d;31;this for the people who heat seek not seek heat;dh_ih_s f_ao_r dh_ah p_iy_p_ah_l hh_uw hh_iy_t s_iy_k n_ax_t s_iy_k hh_iy_t
d;32;they vegetarian but only when it come to beef;dh_ey v_eh_jh_ah_t_eh_r_iy_ah_n b_ah_t ow_n_l_iy w_eh_n ih_t k_ah_m t_uw b_iy_f
d;33;they been holding their breath like they staring at a coral reef;dh_ey b_ih_n hh_ow_l_d_ih_ng dh_eh_r b_r_eh_th l_ay_k dh_ey s_t_eh_r_ih_ng ae_t ah k_ao_r_ah_l r_iy_f
d;34;and when they speak their peace;ah_n_d w_eh_n dh_ey s_p_iy_k dh_eh_r p_iy_s
d;35;all we get (is) a little piece;ao_l w_iy g_eh_t ih_z ah l_ih_t_ah_l p_iy_s
m;37;all life-s about (is) work man;ao_l l_ay_f_s ah_b_aw_t ih_z w_er_k m_ae_n
f;38;so everybody dropping out;s_ow eh_v_r_iy_b_aa_d_iy d_r_aa_p_ih_ng aw_t
f;39;stupid bitches bicker but they don-t know what they be talking bout;s_t_uw_p_ah_d b_ih_ch_ah_z b_ih_k_er b_ah_t dh_ey d_ow_n_t n_ow w_ah_t dh_ey b_iy t_ao_k_ih_ng b_aw_t
f;40;i ain-t bout that drama that you bring about;ay ey_n_t b_aw_t dh_ae_t d_r_aa_m_ah dh_ae_t y_uw b_r_ih_ng ah_b_aw_t
f;41;my homies got the word and they told me you got caught up south;m_ay hh_aa_m_ah_er_s g_aa_t dh_ah w_er_d ah_n_d dh_ey t_ow_l_d m_iy y_uw g_aa_t k_aa_t ah_p s_aw_th
f;42;ill murk you on wax and all your goons hold they mouth;ay_l m_er_k y_uw aa_n w_ae_k_s ah_n_d ao_l y_ao_r g_uw_n_z hh_ow_l_d dh_ey m_aw_th
a;43;cause Im attractin attention;k_aa_z ay_m ah_t_r_ae_k_t_iy_n ah_t_eh_n_sh_ah_n
a;44;so on the bird get a mention;s_ow aa_n dh_ah b_er_d g_eh_t ah m_eh_n_sh_ah_n
a;45;i want some keys to a Bentley;ay w_aa_n_t s_ah_m k_iy_z t_uw ah b_eh_n_t_l_iy
a;46;im loaded up like a semi;ay_m l_ow_d_ah_d ah_p l_ay_k ey s_eh_m_ay
a;47;so give me more like Im Demi;s_ow g_ih_v m_iy m_ao_r l_ay_k ay_m d_eh_m_iy
d;48;please;p_l_iy_z
h;49;you got some beats you can send me;y_uw g_aa_t s_ah_m b_iy_t_s y_uw k_ah_n s_eh_n_d m_iy
n;50;i murder them conservative;ay m_er_d_er dh_eh_m k_ah_n_s_er_v_ah_t_ih_v
g;51;i get the flipping cause my burger-s done;ay g_eh_t dh_ah f_l_ih_p_ih_ng k_aa_z m_ay b_er_g_er_z d_ah_n
g;52;how many times I tell you turds to run;hh_aw m_eh_n_iy t_ay_m_z ay t_eh_l y_uw s_er_d_z t_uw r_ah_n
g;53;im waiting on my surge to come;ay_m w_ey_t_ih_ng aa_n m_ay s_er_jh t_ah k_ah_m
g;54;im chewy like some bubble gum;ay_m ch_uw_iy l_ay_k s_ah_m b_ah_b_ah_l g_ah_m
g;55;im not smart youre just hella dumb;ay_m n_ax_t s_m_aa_r_t y_uw_r jh_ah_s_t hh_eh_l_ae d_ah_m
a;56;if you got one you know I got seven of them;ah_f y_uw g_aa_t w_ah_n y_uw n_ow ay g_aa_t s_eh_v_ah_n ah_v dh_eh_m
d;57;so kid keep bringing them beats;s_ow k_ih_d k_iy_p b_r_ih_ng_ih_ng dh_eh_m b_iy_t_s
a;58;because you know I love them;b_ih_k_ao_z y_uw n_ow ay l_ah_v dh_eh_m
