Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i put you hoes on the map with my dick;ay p_uh_t y_uw hh_ow_z aa_n dh_ah m_ae_p w_ih_dh m_ay d_ih_k
a;1;then I stuck my nine in them hoes but I made em sick;dh_eh_n ay s_t_ah_k m_ay n_ay_n ih_n dh_eh_m hh_ow_z b_ah_t ay m_ey_d eh_m s_ih_k
b;2;now ya supposed to wonder what Im gonna do;n_aw y_aa s_ah_p_ow_z_d t_uw w_ah_n_d_er w_ah_t ay_m g_aa_n_ah d_uw
g;3;well I got it on my mind lets try the pump throw away the nine;w_eh_l ay g_aa_t ah_t aa_n m_ay m_ay_n_d w_iy_s t_r_ay dh_iy p_ah_m_p th_r_ow ah_w_ey dh_iy n_ay_n
c;5;try to use his nine but his nine wasn-t (workin-);t_r_ay t_ah y_uw_z hh_ah_z n_ay_n b_ah_t hh_ah_z n_ay_n w_oh_z_n_t w_er_k_iy_n_eh
h;6;started bangin with his pump and the bitch started twerkin- ;s_t_aa_r_t_ah_d b_ae_ng_iy_n w_ih_dh hh_ih_z p_ah_m_p ah_n_d dh_ah b_ih_ch s_t_aa_r_t_ah_d  t_w_er_r_k_ax_n
c;7;try to use his nine but his nine wasn-t (workin-);t_r_ay t_uw y_uw_s hh_ih_z n_ay_n b_ah_t hh_ih_z n_ay_n w_oh_z_n_t w_er_k_iy_n_eh
h;8;started bangin with his pump and the bitch started twerkin- ;s_t_aa_r_t_ah_d b_ae_ng_iy_n w_ih_dh hh_ih_z p_ah_m_p ah_n_d dh_ah b_ih_ch s_t_aa_r_t_ah_d  t_w_er_r_k_ax_n
c;10;im still tired of fuckin you bitches everyday;ay_m s_t_ih_l t_ay_r_d ah_v f_ah_k_iy_n y_uw b_ih_ch_ah_z eh_v_r_iy_d_ey
i;11;i try to use my nine later on the a-k;ay t_r_ay t_uw y_uw_s m_ay n_ay_n l_ey_t_er aa_n dh_ah ae_k_
d;12;but you wasn-t satisfied it wasn-t good enough;b_ah_t y_uw w_oh_z_n_t s_ae_t_ah_s_f_ay_d ih_t w_oh_z_n_t g_uh_d ah_n_ah_f
d;13;so ya tried to test my nuts to see if I was tough;s_ow y_aa t_r_ay_d t_uw t_eh_s_t m_ay n_ah_t_s t_ah s_iy ah_f ay w_ah_z t_ah_f
