Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;with the greenery that surrounds me;w_ah_dh dh_iy g_r_iy_n_er_iy dh_ah_t s_er_aw_n_d_z m_iy
a;2;just a walk through the open country;jh_ah_s_t ey w_aa_k th_r_uw dh_iy ow_p_ah_n k_ah_n_t_r_iy
f;3;it inflates me with an entirely different perspective;ah_t ih_n_f_l_ey_t_s m_iy w_ah_dh ah_n eh_n_t_ay_er_l_iy d_ih_f_r_ah_n_t p_er_s_p_eh_k_t_ih_v
b;5;after a winter with nothing left;ae_f_t_er ey w_ih_n_t_er w_ah_dh n_ah_th_ih_ng l_eh_f_t
b;6;you need a place to rest your head;y_uw n_iy_d ey p_l_ey_s t_ah r_eh_s_t y_uh_r hh_eh_d
g;7;and a great escape to make your hands warm;ah_n_d ey g_r_ey_t ah_s_k_ey_p t_ah m_ey_k y_uh_r hh_ae_n_d_z w_ao_r_m
a;8;but we will sleep again When we feel it in our blood;b_ah_t w_iy w_ah_l s_l_iy_p ah_g_eh_n w_eh_n w_iy f_iy_l ah_t ih_n_ch aa_r b_l_ah_d
a;9;we will rest our heads When the time comes;w_iy w_ah_l r_eh_s_t aw_r hh_eh_d_z w_eh_n dh_iy t_ay_m k_ah_m_z
c;10;i will open up my skin;ay w_ih_l ow_p_ah_n ah_p m_ay s_k_ih_n
a;12;and let this small town in with love;ah_n_d l_eh_t dh_ah_s s_m_ao_l t_aw_n ih_n_ch w_ih_dh l_ah_v
c;14;i will breathe this in;ay w_ah_l b_r_iy_dh dh_ih_s ih_n
a;16;let it fill my lungs;l_eh_t ih_t f_ih_l m_ay l_ah_ng_z
d;18;there should be a scar from the hours weve wasted at work;dh_eh_r sh_uh_d b_iy ah s_k_aa_r f_r_ah_m dh_ah aw_er_z w_iy_v w_ey_s_t_ah_d ae_t w_er_k
d;19;why should living be something we earn;hh_w_ay sh_uh_d l_ih_v_ih_ng b_iy s_ah_m_th_ih_ng w_iy er_n
d;20;there should be a mark from the launch when we outgrew this Earth;dh_eh_r sh_uh_d b_iy ah m_aa_r_k f_r_ah_m dh_ah l_ao_n_ch w_eh_n w_iy aw_t_g_r_uw dh_ih_s er_th
e;21;this ship keeps us safe until we return;dh_ih_s sh_ih_p k_iy_p_s ah_s s_ey_f ah_n_t_ih_l w_iy r_ih_t_er_n
