Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;something deep inside of me;s_ah_m_th_ih_ng d_iy_p ih_n_s_ay_d ah_v m_iy
e;1;that when it comes it won-t bring too much prolong;dh_ah_t hh_w_ih_n ah_t k_ah_m_z ah_t w_ow_n_t b_r_ih_ng t_uw m_ah_ch p_r_ah_l_ao_ng
a;2;i don-t know how hard itll be when I suffer;ay d_ow_n n_ow hh_aw hh_aa_r_d ih_t_l b_iy w_eh_n ay s_ah_f_er
f;3;affection (is) a start for me I hope its gonna move on;ah_f_eh_k_sh_ah_n ih_z ah s_t_aa_r_t f_ao_r m_iy ay hh_ow_p ih_t_s g_aa_n_ah m_uw_v aa_n
a;4;this time its gonna be hard for me I don-t wanna suffer;dh_ih_s t_ay_m ih_t_s g_aa_n_ah b_iy hh_aa_r_d f_ao_r m_iy ay d_ow_n_t w_aa_n_ah s_ah_f_er
b;6;i fight it hard when it tears my heart;ay f_ay_t ih_t hh_aa_r_d w_eh_n ih_t t_eh_r_z m_ay hh_aa_r_t
a;7;oh when I want someone I gotta have someone;ow w_eh_n ay w_aa_n_t s_ah_m_w_ah_n ay g_aa_t_ah hh_ae_v s_ah_m_w_ah_n
c;8;and when I come to the conclusion;ah_n_d w_eh_n ay k_ah_m t_uw dh_ah k_ah_n_k_l_uw_zh_ah_n
b;9;so scared I don-t want to fall;s_ow s_k_eh_r_d ay d_ow_n_t w_aa_n_t t_uw f_aa_l
a;11;please don-t make me suffer;p_l_iy_z d_ow_n_t m_ey_k m_iy s_ah_f_er
a;12;please don-t make me suffer;p_l_iy_z d_ow_n_t m_ey_k m_iy s_ah_f_er
g;14;did he break his broken heart for you;d_ih_d hh_iy b_r_ey_k hh_ih_z b_r_ow_k_ah_n hh_aa_r_t f_ao_r y_uw
d;15;oh no mother he never loved a single other person;ow n_ow m_ah_dh_er hh_iy n_eh_v_er l_ah_v_d ah s_ih_ng_g_ah_l ah_dh_er p_er_s_ah_n
a;16;this time its gonna be hard for me I don-t want to suffer;dh_ih_s t_ay_m ih_t_s g_aa_n_ah b_iy hh_aa_r_d f_ao_r m_iy ay d_ow_n_t w_aa_n_t t_uw s_ah_f_er
b;18;i fight it hard when it tears my heart;ay f_ay_t ih_t hh_aa_r_d w_eh_n ih_t t_eh_r_z m_ay hh_aa_r_t
a;19;oh when I want someone I gotta have someone;ow w_eh_n ay w_aa_n_t s_ah_m_w_ah_n ay g_aa_t_ah hh_ae_v s_ah_m_w_ah_n
c;20;and when I come to the conclusion;ah_n_d w_eh_n ay k_ah_m t_uw dh_ah k_ah_n_k_l_uw_zh_ah_n
b;21;so scared I don-t want to fall;s_ow s_k_eh_r_d ay d_ow_n_t w_aa_n_t t_uw f_aa_l
a;23;please don-t make me suffer;p_l_iy_z d_ow_n_t m_ey_k m_iy s_ah_f_er
a;24;please don-t make me suffer;p_l_iy_z d_ow_n_t m_ey_k m_iy s_ah_f_er
a;25;im not hard enough Im not strong enough;ay_m n_ax_t hh_aa_r_d ah_n_ah_f ay_m n_ax_t s_t_r_ao_ng ah_n_ah_f
a;26;don-t make me suffer;d_ow_n_t m_ey_k m_iy s_ah_f_er
