Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;incinerate my skin;ih_n_s_ih_n_er_ey_t m_ay s_k_ih_n
b;1;and touch me far far beyond;ah_n_d t_ah_ch m_iy f_aa_r f_aa_r b_iy_ao_n_d
a;2;burn me out my sin;b_er_n m_iy aw_t m_ay s_ih_n
c;3;and take me deeper underground;ah_n_d t_ey_k m_iy d_iy_p_er ah_n_d_er_g_r_aw_n_d
d;4;i know its way too late;ay n_ow ih_t_s w_ey t_uw l_ey_t
e;5;when this dance has begun;w_eh_n dh_ih_s d_ae_n_s hh_ah_z b_ih_g_ah_n
f;6;so put on the heat;s_ow p_uh_t aa_n dh_ah hh_iy_t
c;7;and let the fire run;ah_n_d l_eh_t dh_ah f_ay_er r_ah_n
d;8;take me away my black flame;t_ey_k m_iy ah_w_ey m_ay b_l_ae_k f_l_ey_m
g;9;immaculate you are;ih_m_ae_k_y_uw_l_ah_t y_uw er
h;10;in your tender violence;ih_n_ch y_uh_r t_eh_n_d_er v_ay_ah_l_ah_n_s
i;11;and when you touch my heart;ah_n_d hh_w_ih_n y_uw t_ah_ch m_ay hh_aa_r_t
e;12;ill always lower my defense;ay_l ao_l_w_ey_z l_ow_er m_ay d_ah_f_eh_n_s
b;13;don-t let me wait too long;d_ow_n_t l_eh_t m_iy w_ey_t t_uw l_ao_ng
d;14;cause I don-t like to be save;k_aa_z ay d_ow_n_t l_ay_k t_uw b_iy s_ey_v
b;15;we know we can-t go wrong;w_iy n_ow w_iy k_ae_n_t g_ow r_ao_ng
d;16;on our way through time and space;aa_n aw_r w_ey th_r_uw t_ay_m ah_n_d s_p_ey_s
d;17;take me away my black flame;t_ey_k m_iy ah_w_ey m_ay b_l_ae_k f_l_ey_m
