Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;got the Bob Dylan blues;g_aa_t dh_iy b_aa_b d_ih_l_ah_n b_l_uw_z
a;1;and the Bob Dylan shoes;ah_n_d dh_iy b_aa_b d_ih_l_ah_n sh_uw_z
b;2;and my clothes and my hair-s in a mess;ah_n_d m_ay k_l_ow_dh_z ah_n_d m_ay hh_eh_r_z ih_n_ch ey m_eh_s
b;3;but you know I just couldn-t care less;b_ah_t y_uw n_ow ay jh_ah_s_t k_uh_d_n_t k_eh_r l_eh_s
c;5;goin to write me a song;g_oy_n t_uw r_ay_t m_iy ah s_ao_ng
c;6;Bout whats right and whats wrong;b_aw_t w_ah_t_s r_ay_t ah_n_d w_ah_t_s r_ao_ng
d;7;Bout god and my god and all that;b_aw_t g_aa_d ah_n_d m_ay g_aa_d ah_n_d ao_l dh_ae_t
d;8;quiet while I make like a cat;k_w_ay_ah_t w_ay_l ay m_ey_k l_ay_k ah k_ae_t
i;10;cause Im a poet don-t ya know it;k_aa_z ay_m ah p_ow_ah_t d_ow_n_t y_aa n_ow ih_t
i;11;and the wind you can blow it;ah_n_d dh_ah w_ih_n_d y_uw k_ah_n b_l_ow ih_t
e;12;cause Im Mr Dylan the king;k_aa_z ay_m m_ih_s_t_er d_ih_l_ah_n dh_ah k_ih_ng
e;13;and Im free (as) a bird on the wind;ah_n_d ay_m f_r_iy ae_z ah b_er_d aa_n dh_ah w_ih_n_d
f;15;roam from town to town;r_ow_m f_r_ah_m t_aw_n t_uw t_aw_n
f;16;guess I get people down;g_eh_s ay g_eh_t p_iy_p_ah_l d_aw_n
d;17;but I don-t care too much about that;b_ah_t ay d_ow_n_t k_eh_r t_uw m_ah_ch ah_b_aw_t dh_ae_t
d;18;cause my gut and my wallet are fat;k_aa_z m_ay g_ah_t ah_n_d m_ay w_ao_l_ah_t aa_r f_ae_t
g;20;make a whole lotta dough;m_ey_k ah hh_ow_l l_aa_t_ah d_ow
g;21;but I deserve it though;b_ah_t ay d_ah_z_er_v ih_t dh_ow
g;22;ive got soul and a good heart of gold;ay_v g_aa_t s_ow_l ah_n_d ah g_uh_d hh_aa_r_t ah_v g_ow_l_d
g;23;so Ill sing about war in the cold;s_ow ay_l s_ih_ng ah_b_aw_t w_ao_r ih_n dh_ah k_ow_l_d
i;25;cause Im a poet don-t ya know it;k_aa_z ay_m ah p_ow_ah_t d_ow_n_t y_aa n_ow ih_t
i;26;and the wind you can blow it;ah_n_d dh_ah w_ih_n_d y_uw k_ah_n b_l_ow ih_t
e;27;cause Im Mr Dylan the king;k_aa_z ay_m m_ih_s_t_er d_ih_l_ah_n dh_ah k_ih_ng
e;28;and Im free (as) a bird on the wind;ah_n_d ay_m f_r_iy ae_z ah b_er_d aa_n dh_ah w_ih_n_d
h;30;well I sing about dreams;w_eh_l ay s_ih_ng ah_b_aw_t d_r_iy_m_z
h;31;and I rhymes it with seems;ah_n_d ay r_ay_m_z ih_t w_ih_dh s_iy_m_z
h;32;cause it seems that my dream always means;k_aa_z ih_t s_iy_m_z dh_ae_t m_ay d_r_iy_m ao_l_w_ey_z m_iy_n_z
e;33;that I can prophesy all kinds of things;dh_ae_t ay k_ah_n p_r_aa_f_ah_s_iy ao_l k_ay_n_d_z ah_v th_ih_ng_z
l;35;well the guy that digs me;w_eh_l dh_ah g_ay dh_ae_t d_ih_g_z m_iy
h;36;should try hard to see;sh_uh_d t_r_ay hh_aa_r_d t_uw s_iy
d;37;that he buys all my discs and a hat;dh_ah_t hh_iy b_ay_z ao_l m_ay d_ih_s_k_s ah_n_d ah hh_ae_t
d;38;and when Im in town go see that;ah_n_d w_eh_n ay_m ih_n t_aw_n g_ow s_iy dh_ae_t
i;40;cause Im a poet don-t ya know it;k_aa_z ay_m ah p_ow_ah_t d_ow_n_t y_aa n_ow ih_t
i;41;and the wind you can blow it;ah_n_d dh_ah w_ih_n_d y_uw k_ah_n b_l_ow ih_t
e;42;cause Im Mr Dylan the king;k_aa_z ay_m m_ih_s_t_er d_ih_l_ah_n dh_ah k_ih_ng
e;43;and Im free (as) a bird on the wind;ah_n_d ay_m f_r_iy ae_z ah b_er_d aa_n dh_ah w_ih_n_d
