Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i want to create a system;ay w_aa_n_t t_ah k_r_iy_ey_t ey s_ih_s_t_ah_m
b;1;that allows you to succeed in both area Life and your enterprise;dh_ah_t ah_l_aw_z y_uw t_ah s_ah_k_s_iy_d ih_n_ch b_ow_th eh_r_iy_ah l_ay_f ah_n_d y_uh_r eh_n_t_er_p_r_ay_z
c;2;by the way which one would you say (is) more valuable;b_ay dh_ah w_ey w_ih_ch w_ah_n w_uh_d y_uw s_ey ih_z m_ao_r v_ae_l_y_uw_b_ah_l
l;3;which one;w_ih_ch w_ah_n
d;4;life;l_ay_f
e;5;thats not how most people live the game;dh_ae_t_s n_ax_t hh_aw m_ow_s_t p_iy_p_ah_l l_ay_v dh_ah g_ey_m
b;7;x7;eh_k_s_ae
c;9;yeah;y_ae
f;10;i was born a motivator;ay w_ah_z b_ao_r_n ah m_ow_t_ah_v_ey_t_er
e;11;familiar with the paper;f_ah_m_ih_l_y_er w_ih_dh dh_ah p_ey_p_er
b;13;x3;eh_k_s_ae
f;15;i was born a motivator;ay w_ah_z b_ao_r_n ah m_ow_t_ah_v_ey_t_er
e;16;familiar with the paper;f_ah_m_ih_l_y_er w_ih_dh dh_ah p_ey_p_er
g;18;if you the jack of all trades you amass to nothing;ah_f y_uw dh_ah jh_ae_k ah_v ao_l t_r_ey_d_z y_uw ah_m_ae_s t_uw n_ah_th_ih_ng
g;19;staring at my bread hoping Imma pass you a crumb;s_t_eh_r_ih_ng ae_t m_ay b_r_eh_d hh_ow_p_ih_ng I_m_ae p_ae_s y_uw ah k_r_ah_m
l;20;blocc Star bitch Im on;b_l_aa_k_k s_t_aa_r b_ih_ch ay_m aa_n
m;21;some grown man shit;s_ah_m g_r_ow_n m_ae_n sh_iy_t
a;22;by my own drawers own socks own socks tricks;b_ay m_ay ow_n d_r_ao_r_z ow_n s_aa_k_s ow_n s_aa_k_s t_r_ih_k_s
b;23;yeah nigga Im talking to you again;y_ae n_ih_g_ae ay_m t_ao_k_ih_ng t_uw y_uw ah_g_eh_n
b;24;classification Time to do and forgive again;k_l_ae_s_ah_f_ah_k_ey_sh_ah_n t_ay_m t_uw d_uw ah_n_d f_er_g_ih_v ah_g_eh_n
c;25;you so broke your dog look at you like What you doing get your own damn;y_uw s_ow b_r_ow_k y_ao_r d_ah_g l_uh_k ae_t y_uw l_ay_k w_ah_t y_uw d_uw_ih_ng g_eh_t y_ao_r ow_n d_ae_m
a;26;stick;s_t_ih_k
