Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;and this (is) how it feels when I ignore the words you spoke to me;ah_n_d dh_ah_s ah_z hh_aw ah_t f_iy_l_z hh_w_ih_n ay ih_g_n_ao_r dh_iy w_er_d_z y_uw s_p_ow_k t_ah m_iy
e;1;and this (is) where I lose myself when I keep running away from you;ah_n_d dh_ih_s ih_z w_eh_r ay l_uw_z m_ay_s_eh_l_f w_eh_n ay k_iy_p r_ah_n_ih_ng ah_w_ey f_r_ah_m y_uw
f;2;and this (is) who I am when when I don-t know myself anymore;ah_n_d dh_ah_s ah_z hh_uw ay ae_m hh_w_ih_n hh_w_ih_n ay d_ow_n n_ow m_ay_s_eh_l_f eh_n_iy_m_ao_r
d;3;and this (is) what I choose when its all left up to me;ah_n_d dh_ah_s ah_z hh_w_ah_t ay ch_uw_z hh_w_ih_n ih_t_s ao_l l_eh_f_t ah_p t_uw m_iy
d;5;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;6;i can-t feel you;ay k_ae_n_t f_iy_l y_uw
a;7;im falling falling faster;ay_m f_aa_l_ih_ng f_aa_l_ih_ng f_ae_s_t_er
d;8;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;9;i still need you;ay s_t_ih_l n_iy_d y_uw
b;10;im falling falling;ay_m f_aa_l_ih_ng f_aa_l_ih_ng
d;11;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;12;breathe into me;b_r_iy_dh ih_n_t_ah m_iy
g;14;and this (is) how it looks when I am standing on the edge;ah_n_d dh_ih_s ih_z hh_aw ih_t l_uh_k_s w_eh_n ay ae_m s_t_ae_n_d_ih_ng aa_n dh_ah eh_jh
h;15;and this (is) how I break apart when I finally hit the ground;ah_n_d dh_ih_s ih_z hh_aw ay b_r_ey_k ah_p_aa_r_t w_eh_n ay f_ay_n_ah_l_iy hh_ih_t dh_ah g_r_aw_n_d
c;16;and this (is) how it hurts when I pretend I don-t feel any pain;ah_n_d dh_ih_s ih_z hh_aw ih_t hh_er_t_s w_eh_n ay p_r_iy_t_eh_n_d ay d_ow_n_t f_iy_l eh_n_iy p_ey_n
c;17;and this (is) how I disappear when I throw myself away;ah_n_d dh_ih_s ih_z hh_aw ay d_ih_s_ax_p_ia w_eh_n ay th_r_ow m_ay_s_eh_l_f ah_w_ey
d;19;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;20;i can-t feel you;ay k_ae_n_t f_iy_l y_uw
a;21;im falling falling faster;ay_m f_aa_l_ih_ng f_aa_l_ih_ng f_ae_s_t_er
d;22;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;23;i still need you;ay s_t_ih_l n_iy_d y_uw
b;24;im falling falling;ay_m f_aa_l_ih_ng f_aa_l_ih_ng
d;25;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;26;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;27;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;28;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;30;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;31;carry me home to you;k_ae_r_iy m_iy hh_ow_m t_uw y_uw
d;32;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;33;i can-t feel you;ay k_ae_n_t f_iy_l y_uw
a;34;im falling falling faster;ay_m f_aa_l_ih_ng f_aa_l_ih_ng f_ae_s_t_er
d;35;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
e;36;i still need you;ay s_t_ih_l n_iy_d y_uw
b;37;im falling falling;ay_m f_aa_l_ih_ng f_aa_l_ih_ng
d;38;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;40;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
a;41;im falling falling faster;ay_m f_aa_l_ih_ng f_aa_l_ih_ng f_ae_s_t_er
d;42;breathe your life into me;b_r_iy_dh y_ao_r l_ay_f ih_n_t_uw m_iy
b;43;falling falling falling falling;f_aa_l_ih_ng f_aa_l_ih_ng f_aa_l_ih_ng f_aa_l_ih_ng
d;44;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;45;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;46;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
d;47;breathe into me;b_r_iy_dh ih_n_t_uw m_iy
