Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;a butcher yes that was my trade but the King-s shilling (is) now my fee;ah b_uh_ch_er y_eh_s dh_ae_t w_ah_z m_ay t_r_ey_d b_ah_t dh_ah k_ih_ng_z sh_ih_l_ih_ng ih_z n_aw m_ay f_iy
a;1;a butcher I may (as) well have stayed for the slaughter that I see;ah b_uh_ch_er ay m_ey ae_z w_eh_l hh_ae_v s_t_ey_d f_ao_r dh_ah s_l_ao_t_er dh_ae_t ay s_iy
b;2;and the preacher in his pulpit sermoned Go and fight do what (is) right;ah_n_d dh_ah p_r_iy_ch_er ih_n hh_ih_z p_uh_l_p_ih_t s_er_m_ah_n_er_d g_ow ah_n_d f_ay_t d_uw w_ah_t ih_z r_ay_t
b;3;but he don-t have to hear these guns and I bet he sleeps at night;b_ah_t hh_iy d_ow_n_t hh_ae_v t_uw hh_ih_r dh_iy_z g_ah_n_z ah_n_d ay b_eh_t hh_iy s_l_iy_p_s ae_t n_ay_t
c;5;and I and I can-t stop shaking my hands won-t stop shaking;ah_n_d ay ah_n_d ay k_ae_n_t s_t_aa_p sh_ey_k_ih_ng m_ay hh_ae_n_d_z w_ow_n_t s_t_aa_p sh_ey_k_ih_ng
c;6;my arms won-t stop shaking my mind won-t stop shaking;m_ay aa_r_m_z w_ow_n_t s_t_aa_p sh_ey_k_ih_ng m_ay m_ay_n_d w_ow_n_t s_t_aa_p sh_ey_k_ih_ng
d;7;i want to go home Please let me go home go home;ay w_aa_n_t t_uw g_ow hh_ow_m p_l_iy_z l_eh_t m_iy g_ow hh_ow_m g_ow hh_ow_m
e;9;and I have seen a friend of mine hang on the wire like some rag toy;ah_n_d ay hh_ae_v s_iy_n ah f_r_eh_n_d ah_v m_ay_n hh_ae_ng aa_n dh_ah w_ay_er l_ay_k s_ah_m r_ae_g t_oy
e;10;then in the heat the flies come down and cover up the boy;dh_eh_n ih_n dh_iy hh_iy_t dh_ah f_l_ay_z k_ah_m d_aw_n ah_n_d k_ah_v_er ah_p dh_ah b_oy
f;11;and the flies come down in Gommecourt Thiepval Mametz Wood and French Verdun;ah_n_d dh_ah f_l_ay_z k_ah_m d_aw_n ih_n  T_hh_ih_er_p_v_ax_l M_ae_m_ax_t_z w_uh_d ah_n_d f_r_eh_n_ch v_er_d_ah_n
f;12;if the preacher he could see those flies wouldn-t preach for the sound of guns;ah_f dh_ah p_r_iy_ch_er hh_iy k_uh_d s_iy dh_ow_z f_l_ay_z w_uh_d_ah_n_t p_r_iy_ch f_ao_r dh_ah s_aw_n_d ah_v g_ah_n_z
c;14;and I and I can-t stop shaking my hands won-t stop shaking;ah_n_d ay ah_n_d ay k_ae_n_t s_t_aa_p sh_ey_k_ih_ng m_ay hh_ae_n_d_z w_ow_n_t s_t_aa_p sh_ey_k_ih_ng
c;15;my arms won-t stop shaking my mind won-t stop shaking;m_ay aa_r_m_z w_ow_n_t s_t_aa_p sh_ey_k_ih_ng m_ay m_ay_n_d w_ow_n_t s_t_aa_p sh_ey_k_ih_ng
d;16;i want to go home Please let me go home go home;ay w_aa_n_t t_uw g_ow hh_ow_m p_l_iy_z l_eh_t m_iy g_ow hh_ow_m g_ow hh_ow_m
