Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;(as) the rain ﻿ tossed above us;eh_z dh_iy r_ey_n ah_ae t_ao_s_t ah_b_ah_v ah_s
b;1;in the garden of the world;ih_n dh_ah g_aa_r_d_ah_n ah_v dh_ah w_er_l_d
a;2;but a flame arrives to guide us;b_ah_t ah f_l_ey_m er_ay_v_z t_uw g_ay_d ah_s
c;3;past the gold between the angles of the stars;p_ae_s_t dh_iy g_ow_l_d b_ah_t_w_iy_n dh_iy ae_ng_g_ah_l_z ah_v dh_ah s_t_aa_r_z
d;4;watch you over all the children in the rain;w_aa_ch y_uw ow_v_er ao_l dh_iy ch_ih_l_d_r_ah_n ih_n dh_ah r_ey_n
g;5;and the streets where I remember;ah_n_d dh_ah s_t_r_iy_t_s hh_w_eh_r ay r_ih_m_eh_m_b_ax
d;6;where the fire that lights a candle soars again;w_eh_r dh_ah f_ay_er dh_ae_t l_ay_t_s ah k_ae_n_d_ah_l s_ao_r_z ah_g_eh_n
d;7;a flaring flame;ah f_l_eh_r_ih_ng f_l_ey_m
e;8;hear it call;hh_ih_r ih_t k_ao_l
c;9;through the darkness;th_r_uw dh_ah d_aa_r_k_n_ah_s
e;10;hear it call to us all;hh_ih_r ih_t k_ao_l t_uw ah_s ao_l
f;11;and start again;ah_n_d s_t_aa_r_t ah_g_eh_n
c;12;its beating heart;ih_t_s b_iy_t_ih_ng hh_aa_r_t
f;13;comes again;k_ah_m_z ah_g_eh_n
f;15;instrumental bells;ih_n_s_t_r_ah_m_eh_n_t_ah_l b_eh_l_z
h;16;instrumental whistling;ih_n_s_t_r_ah_m_eh_n_t_ah_l w_ih_s_l_ih_ng
i;17;instrumental la-la;ih_n_s_t_r_ah_m_eh_n_t_ah_l l_ax_ae
g;19;when the light dries all the fields;w_eh_n dh_ah l_ay_t d_r_ay_z ao_l dh_ah f_iy_l_d_z
d;20;and the joy drives out our pain;ah_n_d dh_ah jh_oy d_r_ay_v_z aw_t aw_r p_ey_n
a;21;and the nations come to greet us;ah_n_d dh_ah n_ey_sh_ah_n_z k_ah_m t_uw g_r_iy_t ah_s
e;22;waving molten loaves and waves of golden corn;w_ey_v_ih_ng m_ow_l_t_ah_n l_ow_v_z ah_n_d w_ey_v_z ah_v g_ow_l_d_ah_n k_ao_r_n
a;23;can you hear us;k_ah_n y_uw hh_ih_r ah_s
b;24;oh the spirit of the world;ow dh_ah s_p_ih_r_ah_t ah_v dh_ah w_er_l_d
a;25;may your light be ever near us;m_ey y_ao_r l_ay_t b_iy eh_v_er n_ih_r ah_s
c;26;always heal us from the dark that we may fall;ao_l_w_ey_z hh_iy_l ah_s f_r_ah_m dh_ah d_aa_r_k dh_ae_t w_iy m_ey f_aa_l
d;27;were a flame;w_iy_r ah f_l_ey_m
f;28;and reflect;ah_n_d r_ah_f_l_eh_k_t
e;29;were the corn;w_iy_r dh_ah k_ao_r_n
