Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;0;oh what a ride I can-t believe it;ow hh_w_ah_t ey r_ay_d ay k_ae_n_t b_ah_l_iy_v ih_t
a;1;felt so free Inside;f_eh_l_t s_ow f_r_iy ih_n_s_ay_d
f;2;a new beginning Dare I believe it;ah n_y_uw b_ih_g_ih_n_ih_ng d_eh_r ay b_ah_l_iy_v ih_t
a;3;my friends advise me to step inside;m_ay f_r_eh_n_d_z ax_d_v_ay_z m_iy t_uw s_t_eh_p ih_n_s_ay_d
b;5;she-s trapped inside a carousel;s_hh_iy_z t_r_ae_p_t ih_n_s_ay_d ah k_eh_r_ah_s_eh_l
b;6;that will spin her round and force her right towards the end;dh_ae_t w_ah_l s_p_ih_n hh_er r_aw_n_d ah_n_d f_ao_r_s hh_er r_ay_t t_ah_w_ao_r_d_z dh_ah eh_n_d
a;7;she-s in for the ride of her lifetime;s_hh_iy_z ih_n f_ao_r dh_ah r_ay_d ah_v hh_er l_ay_f_t_ay_m
a;8;sadly nothing could ever make her turn while theres still time;s_ae_d_l_iy n_ah_th_ih_ng k_uh_d eh_v_er m_ey_k hh_er t_er_n w_ay_l dh_eh_r_s s_t_ih_l t_ay_m
g;10;never looking back she just craves for more and more;n_eh_v_er l_uh_k_ih_ng b_ae_k sh_iy jh_ah_s_t k_r_ey_v_z f_ao_r m_ao_r ah_n_d m_ao_r
a;12;dancing with the souls that she thought she would never find;d_ae_n_s_ih_ng w_ih_dh dh_ah s_ow_l_z dh_ae_t sh_iy th_ao_t sh_iy w_uh_d n_eh_v_er f_ay_n_d
c;14;why should I care to look into the rear view mirror;w_ay sh_uh_d ay k_eh_r t_uw l_uh_k ih_n_t_uw dh_ah r_ih_r v_y_uw m_ih_r_er
c;15;when all that view has to offer me (is) misery;w_eh_n ao_l dh_ae_t v_y_uw hh_ah_z t_uw ao_f_er m_iy ih_z m_ih_z_er_iy
d;16;ive come so far Ive feel so free;ay_v k_ah_m s_ow f_aa_r ay_v f_iy_l s_ow f_r_iy
h;17;ive been offered a sip of life without the bitter taste of pain;ay_v b_ih_n ao_f_er_d ah s_ih_p ah_v l_ay_f w_ih_th_aw_t dh_ah b_ih_t_er t_ey_s_t ah_v p_ey_n
d;19;my reality (is) flying through the air of my dreams;m_ay r_iy_ae_l_ah_t_iy ih_z f_l_ay_ih_ng th_r_uw dh_iy eh_r ah_v m_ay d_r_iy_m_z
b;20;dreams where I am the alpha and the omega;d_r_iy_m_z w_eh_r ay ae_m dh_ah ae_l_f_ah ah_n_d dh_ah ow_m_eh_g_ah
b;22;stepped into a carousel;s_t_eh_p_t ih_n_t_uw ah k_eh_r_ah_s_eh_l
e;23;to lift me up and bring me closer to the stars;t_uw l_ih_f_t m_iy ah_p ah_n_d b_r_ih_ng m_iy k_l_ow_s_ax_r t_uw dh_ah s_t_aa_r_z
a;24;im in for the ride of my lifetime;ay_m ih_n f_ao_r dh_ah r_ay_d ah_v m_ay l_ay_f_t_ay_m
i;25;nothing could ever force me back to the ground;n_ah_th_ih_ng k_uh_d eh_v_er f_ao_r_s m_iy b_ae_k t_ah dh_iy g_r_aw_n_d
a;27;im never going back to the hell I called my life;ay_m n_eh_v_er g_ow_ih_ng b_ae_k t_uw dh_ah hh_eh_l ay k_ao_l_d m_ay l_ay_f
a;29;cause now Im dancing with the friends that I though I would never find;k_aa_z n_aw ay_m d_ae_n_s_ih_ng w_ih_dh dh_ah f_r_eh_n_d_z dh_ae_t ay dh_ow ay w_uh_d n_eh_v_er f_ay_n_d
a;31;let me go now let me leave your life;l_eh_t m_iy g_ow n_aw l_eh_t m_iy l_iy_v y_ao_r l_ay_f
a;32;let me feel free let me see with own eyes;l_eh_t m_iy f_iy_l f_r_iy l_eh_t m_iy s_iy w_ih_dh ow_n ay_z
f;33;i will never be the one youll love;ay w_ah_l n_eh_v_er b_iy dh_ah w_ah_n y_uw_l l_ah_v
e;34;you will never be the ones Ill depend upon;y_uw w_ih_l n_eh_v_er b_iy dh_ah w_ah_n_z ay_l d_ah_p_eh_n_d ah_p_aa_n
