Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;the roof blew off the club in Oklahoma City;dh_iy r_uw_f b_l_uw ao_f dh_iy k_l_ah_b ih_n_ch ow_k_l_ah_hh_ow_m_ah s_ih_t_iy
i;1;the fireman said the show can-t go on;dh_iy f_ay_r_m_ah_n s_eh_d dh_iy sh_ow k_ae_n_t g_ow aa_n
b;2;so we spent another night somewhere in New Mexico;s_ow w_iy s_p_eh_n_t ah_n_ah_dh_er n_ay_t s_ah_m_w_eh_r ih_n n_uw m_eh_k_s_ah_k_ow
c;3;drinking Until all our money was gone;d_r_ih_ng_k_ih_ng ah_n_t_ih_l ao_l aw_r m_ah_n_iy w_ah_z g_ao_n
d;4;we had a day to kill so we climbed up a mountain;w_iy hh_ae_d ah d_ey t_uw k_ih_l s_ow w_iy k_l_ay_m_d ah_p ah m_aw_n_t_ah_n
e;5;walked straight down The other side;w_ao_k_t s_t_r_ey_t d_aw_n dh_ah ah_dh_er s_ay_d
d;6;picked up a (hitch-hiker) on the way back to Taos;p_ih_k_t ah_p ey hh_ih_ch_hh_ay_k_er aa_n dh_ah w_ey b_ae_k t_uw t_aw_z
e;7;she said thank You boys for the ride;sh_iy s_eh_d th_ae_ng_k y_uw b_oy_z f_ao_r dh_ah r_ay_d
f;9;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ah_n d_r_iy_m_ih_ng
g;10;i could live to fight another day;ay k_uh_d l_ay_v t_ah f_ay_t ah_n_ah_dh_er d_ey
l;11;if Id have listened to my mom;ah_f ay_d hh_ae_v l_ih_s_ah_n_d t_ah m_ay m_aa_m
g;12;when She said don-t be believing everything those writers say;hh_w_ih_n sh_iy s_eh_d d_ow_n b_iy b_ah_l_iy_v_ih_ng eh_v_r_iy_th_ih_ng dh_ow_z r_ay_t_er_z s_ey
c;13;theres no line at the door;dh_eh_r_s n_ow l_ay_n ae_t dh_ah d_ao_r
g;14;and only thirty people bothered to advance pay;ah_n_d ow_n_l_iy th_er_d_iy p_iy_p_ah_l b_aa_dh_er_d t_uw ah_d_v_ae_n_s p_ey
f;15;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
g;16;i could live to fight another day;ay k_uh_d l_ay_v t_uw f_ay_t ah_n_ah_dh_er d_ey
m;18;we unpacked everything and we set it all up;w_iy ah_n_p_ae_k_t eh_v_r_iy_th_ih_ng ah_n_d w_iy s_eh_t ih_t ao_l ah_p
h;19;to play three songs on a radio show;t_uw p_l_ey th_r_iy s_ao_ng_z aa_n ah r_ey_d_iy_ow sh_ow
n;20;well you never can tell If anyone (is) listening;w_eh_l y_uw n_eh_v_er k_ah_n t_eh_l ah_f eh_n_iy_w_ah_n ih_z l_ih_s_n_ih_ng
h;21;and I guess it won-t kill us what we don-t know;ah_n_d ay g_eh_s ih_t w_ow_n_t k_ih_l ah_s w_ah_t w_iy d_ow_n_t n_ow
g;22;so we play them Just the same and we tell them our name;s_ow w_iy p_l_ey dh_eh_m jh_ah_s_t dh_ah s_ey_m ah_n_d w_iy t_eh_l dh_eh_m aw_r n_ey_m
f;23;and where to find us on the computer screen;ah_n_d w_eh_r t_uw f_ay_n_d ah_s aa_n dh_ah k_ah_m_p_y_uw_t_er s_k_r_iy_n
g;24;when were packing it up I hear Stu on the phone saying;w_eh_n w_iy_r p_ae_k_ih_ng ih_t ah_p ay hh_ih_r s_t_uw aa_n dh_ah f_ow_n s_ey_ih_ng
f;25;Baby Im living the dream;b_ey_b_iy ay_m l_ih_v_ih_ng dh_ah d_r_iy_m
f;27;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
g;28;i could live to fight another day;ay k_uh_d l_ay_v t_uw f_ay_t ah_n_ah_dh_er d_ey
b;29;if I had listened to my mom when she said;ah_f ay hh_ae_d l_ih_s_ah_n_d t_uw m_ay m_aa_m w_eh_n sh_iy s_eh_d
g;30;don-t be believing everything those writers say;d_ow_n_t b_iy b_ah_l_iy_v_ih_ng eh_v_r_iy_th_ih_ng dh_ow_z r_ay_t_er_z s_ey
c;31;theres no line at the door;dh_eh_r_s n_ow l_ay_n ae_t dh_ah d_ao_r
g;32;and only twenty people bothered to advance pay;ah_n_d ow_n_l_iy t_w_eh_n_t_iy p_iy_p_ah_l b_aa_dh_er_d t_uw ah_d_v_ae_n_s p_ey
f;33;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
g;34;i could live to fight another day;ay k_uh_d l_ay_v t_uw f_ay_t ah_n_ah_dh_er d_ey
f;36;we got ta sell ten (T-shirts) and twenty CDs;w_iy g_aa_t t_aa s_eh_l t_eh_n sh_er_t_s ah_n_d t_w_eh_n_t_iy s_iy_d_iy_z
d;37;to get from Stephenville to Houston town;t_uw g_eh_t f_r_ah_m s_t_iy_v_ah_n_v_ih_l t_uw hh_y_uw_s_t_ah_n t_aw_n
i;38;well There-S people there who care a little about me;w_eh_l dh_eh_r_z p_iy_p_ah_l dh_eh_r hh_uw k_eh_r ah l_ih_t_ah_l ah_b_aw_t m_iy
d;39;and You know they won-t let the poor boy down;ah_n_d y_uw n_ow dh_ey w_ow_n_t l_eh_t dh_ah p_uh_r b_oy d_aw_n
e;40;it was 5 29 Central Daylight time;ih_t w_ah_z ah_ae  s_eh_n_t_r_ah_l d_ey_l_ay_t t_ay_m
a;41;when The five of us come strolling in;w_eh_n dh_ah f_ay_v ah_v ah_s k_ah_m s_t_r_ow_l_ih_ng ih_n
d;42;and its smiles all around cause its 76 hours;ah_n_d ih_t_s s_m_ay_l_z ao_l er_aw_n_d k_aa_z ih_t_s  aw_er_z
b;43;before We got to be leaving again;b_ah_f_ao_r w_iy g_aa_t t_uw b_iy l_iy_v_ih_ng ah_g_eh_n
f;45;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
g;46;i could live to fight another day;ay k_uh_d l_ay_v t_uw f_ay_t ah_n_ah_dh_er d_ey
b;47;if I had listened to my dad who said;ah_f ay hh_ae_d l_ih_s_ah_n_d t_uw m_ay d_ae_d hh_uw s_eh_d
g;48;don-t be beleivin everything that them writers say;d_ow_n_t b_iy b_eh_l_eh_iy_v_ax_n eh_v_r_iy_th_ih_ng dh_ae_t dh_eh_m r_ay_t_er_z s_ey
c;49;theres no line at the door;dh_eh_r_s n_ow l_ay_n ae_t dh_ah d_ao_r
g;50;and only five people bothered to advance pay;ah_n_d ow_n_l_iy f_ay_v p_iy_p_ah_l b_aa_dh_er_d t_uw ah_d_v_ae_n_s p_ey
f;51;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
g;52;i could live to fight another day;ay k_uh_d l_ay_v t_uw f_ay_t ah_n_ah_dh_er d_ey
f;53;if I could separate whats real from what Ive been dreaming;ah_f ay k_uh_d s_eh_p_r_ax_t w_ah_t_s r_iy_l f_r_ah_m w_ah_t ay_v b_ih_n d_r_iy_m_ih_ng
