Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;orders shouted in a strange guttural tongue that resounded;ao_r_d_er_z sh_aw_t_ah_d ih_n_ch ey s_t_r_ey_n_jh g_ah_t_er_ah_l t_ah_ng dh_ah_t r_iy_s_aw_n_d_er_d
g;1;along the walls of the houses which seemed dead and deserted;ah_l_ao_ng dh_iy w_ao_l_z ah_v dh_iy hh_aw_s_ah_z hh_w_ih_ch s_iy_m_d d_eh_d ah_n_d d_ah_z_er_t_ah_d
h;2;while behind the closed shutters eyes watched the conquerors;hh_w_ay_l b_ah_hh_ay_n_d dh_iy k_l_ow_z_d sh_ah_t_er_z ay_z w_aa_ch_t dh_iy k_aa_ng_k_er_er_z
b;3;who by right of war were now masters of the city and of the lives;hh_uw b_ay r_ay_t ah_v w_ao_r w_er n_aw m_ae_s_t_er_z ah_v dh_iy s_ih_t_iy ah_n_d ah_v dh_iy l_ih_v_z
c;4;and fortunes of its people;ah_n_d f_ao_r_ch_ah_n_z ah_v ah_t_s p_iy_p_ah_l
d;6;in their darkened ruins the inhabitants have given way to the same;ih_n_ch dh_eh_r d_aa_r_k_ah_n_d r_uw_ah_n_z dh_iy ih_n_hh_ae_b_ah_t_ah_n_t_s hh_ae_v g_ih_v_ah_n w_ey t_ah dh_iy s_ey_m
i;7;feeling of panic which (is) aroused by natural cataclysms those;f_iy_l_ih_ng ah_v p_ae_n_ih_k hh_w_ih_ch ah_z er_aw_z_d b_ay n_ae_ch_r_ah_l k_ae_t_ah_k_l_ih_s_ah_m_z dh_ow_z
l;8;devastating upheavals of the Earth against which wisdom and;d_eh_v_ah_s_t_ey_t_ih_ng ah_p_hh_iy_v_ah_l_z ah_v dh_iy er_th ah_g_eh_n_s_t hh_w_ih_ch w_ih_z_d_ah_m ah_n_d
d;9;strength alike are of no avail;s_t_r_eh_ng_k_th ah_l_ay_k er ah_v n_ow ah_v_ey_l
e;11;though the same feeling (is) experienced wherever the established;dh_ow dh_iy s_ey_m f_iy_l_ih_ng ah_z ih_k_s_p_ih_r_iy_ah_n_s_t hh_w_eh_r_eh_v_er dh_iy iy_s_t_ae_b_l_ih_sh_t
m;12;order of things (is) upset when security ceases to exist when all that;ao_r_d_er ah_v th_ih_ng_z ah_z ah_p_s_eh_t hh_w_ih_n s_ih_k_y_uh_r_ah_t_iy s_iy_s_ah_z t_ah ih_g_z_ih_s_t hh_w_ih_n ao_l dh_ah_t
n;13;was previously protected by the laws of man and nature (is) suddenly;w_ah_z p_r_iy_v_iy_ah_s_l_iy p_er_t_eh_k_t_ah_d b_ay dh_iy l_ao_z ah_v m_ae_n ah_n_d n_ey_ch_er ah_z s_ah_d_ah_n_l_iy
o;14;placed at the mercy of brutal unreasoning force;p_l_ey_s_t ae_t dh_iy m_er_s_iy ah_v b_r_uw_t_ah_l ah_n_r_iy_z_n_ih_ng f_ao_r_s
f;16;the earthquake burying a whole people beneath the ruins of their;dh_iy er_th_k_w_ey_k b_eh_r_iy_ih_ng ey hh_ow_l p_iy_p_ah_l b_ah_n_iy_th dh_iy r_uw_ah_n_z ah_v dh_eh_r
a;17;houses the river in spate sweeping away the bodies of drowned;hh_aw_s_ah_z dh_iy r_ih_v_er ih_n_ch s_p_ey_t s_w_iy_p_ih_ng ah_w_ey dh_iy b_aa_d_iy_z ah_v d_r_aw_n_d
p;18;peasants together with the carcasses of cattle and rafters torn from;p_eh_z_ah_n_t_s t_ah_g_eh_dh_er w_ah_dh dh_iy k_aa_r_k_ah_s_ah_z ah_v k_ae_t_ah_l ah_n_d r_ae_f_t_er_z t_ao_r_n f_er_m
d;19;roofs and the victorious army slaughtering all who resist making;r_uw_f_s ah_n_d dh_iy v_ih_k_t_ao_r_iy_ah_s aa_r_m_iy s_l_ao_t_er_ih_ng ao_l hh_uw r_iy_z_ih_s_t m_ey_k_ih_ng
f;20;prisoners of the rest looting by right of the sword and thanking their;p_r_ih_z_ah_n_er_z ah_v dh_iy r_eh_s_t l_uw_t_ih_ng b_ay r_ay_t ah_v dh_iy s_ao_r_d ah_n_d th_ae_ng_k_ih_ng dh_eh_r
e;21;god to the sound of cannon;g_aa_d t_ah dh_iy s_aw_n_d ah_v k_ae_n_ah_n
b;23;all these are terrifying scourges which undermine all our belief in;ao_l dh_iy_z er t_eh_r_ah_f_ay_ih_ng s_k_er_jh_ah_z hh_w_ih_ch ah_n_d_er_m_ay_n ao_l aa_r b_ah_l_iy_f ih_n_ch
g;24;eternal justice and all the trust we have been taught to place in divine;iy_t_er_n_ah_l jh_ah_s_t_ah_s ah_n_d ao_l dh_iy t_r_ah_s_t w_iy hh_ae_v b_ah_n t_ao_t t_ah p_l_ey_s ih_n_ch d_ih_v_ay_n
c;25;protection and human reason;p_r_ah_t_eh_k_sh_ah_n ah_n_d y_uw_m_ah_n r_iy_z_ah_n
