Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;somewhere impossible light still shines;s_ah_m_hh_w_eh_r ih_m_p_aa_s_ah_b_ah_l l_ay_t s_t_ih_l sh_ay_n_z
a;1;and every smile (is) if (as) new;ah_n_d eh_v_r_iy s_m_ay_l ah_z ih_f eh_z n_y_uw
b;2;sometimes I feel like the static in the attic;s_ah_m_t_ay_m_z ay f_iy_l l_ay_k dh_iy s_t_ae_t_ih_k ih_n_ch dh_iy ae_t_ih_k
f;3;(is) making me;ah_z m_ey_k_ih_ng m_iy
a;4;just confused;jh_ah_s_t k_ah_n_f_y_uw_z_d
f;6;if I fall will you catch me;ah_f ay f_aa_l w_ah_l y_uw k_ae_ch m_iy
c;7;if Im sorry sorry enough;ah_f ay_m s_aa_r_iy s_aa_r_iy ah_n_ah_f
f;8;if I fall will you pity me;ah_f ay f_aa_l w_ah_l y_uw p_ih_t_iy m_iy
d;9;Will you confuse my love for the cobwebs;w_ah_l y_uw k_ah_n_f_y_uw_z m_ay l_ah_v f_ao_r dh_ah k_aa_b_w_eh_b_z
d;10;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_ao_r dh_ah k_aa_b_w_eh_b_z
b;12;i always pause if I can on 5th avenue;ay ao_l_w_ey_z p_ao_z ah_f ay k_ah_n aa_n  ae_v_ah_n_uw
d;13;look uptown with my head in the stars;l_uh_k ah_p_t_aw_n w_ih_dh m_ay hh_eh_d ih_n dh_ah s_t_aa_r_z
c;14;somewhere the buildings give way to sunlight;s_ah_m_w_eh_r dh_ah b_ih_l_d_ih_ng_z g_ih_v w_ey t_uw s_ah_n_l_ay_t
d;15;give way to east and west Central Park;g_ih_v w_ey t_uw iy_s_t ah_n_d w_eh_s_t s_eh_n_t_r_ah_l p_aa_r_k
f;17;if I fall will you catch me;ah_f ay f_aa_l w_ah_l y_uw k_ae_ch m_iy
c;18;if Im sorry sorry enough;ah_f ay_m s_aa_r_iy s_aa_r_iy ah_n_ah_f
e;19;if I fall will you pity me;ih_f ay f_aa_l w_ih_l y_uw p_ih_t_iy m_iy
d;20;Will you confuse my love for the cobwebs;w_ah_l y_uw k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;21;Will you confuse my love for the cobwebs;w_ah_l y_uw k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;22;for the cobwebs;f_r_er dh_iy k_aa_b_w_eh_b_z
d;24;Will you confuse my love for the cobwebs;w_ah_l y_uw k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;25;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;26;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;27;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;28;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;29;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;30;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;31;confuse my love for the cobwebs;k_ah_n_f_y_uw_z m_ay l_ah_v f_r_er dh_iy k_aa_b_w_eh_b_z
d;32;for the cobwebs;f_r_er dh_iy k_aa_b_w_eh_b_z
d;33;for the cobwebs;f_r_er dh_iy k_aa_b_w_eh_b_z
d;34;for the cobwebs;f_r_er dh_iy k_aa_b_w_eh_b_z
d;35;for the cobwebs;f_r_er dh_iy k_aa_b_w_eh_b_z
