Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;id rather stay inside than being out tonight;ay_d r_ae_dh_er s_t_ey ih_n_s_ay_d dh_ae_n b_iy_ih_ng aw_t t_ah_n_ay_t
d;1;just sipping coffee and nothing to look forward to;jh_ah_s_t s_ih_p_ih_ng k_aa_f_iy ah_n_d n_ah_th_ih_ng t_uw l_uh_k f_ao_r_w_er_d t_uw
b;2;savoring my solitude;s_ey_v_er_ih_ng m_ay s_aa_l_ah_t_uw_d
c;3;and no one will ever know you the way I do;ah_n_d n_ow w_ah_n w_ah_l eh_v_er n_ow y_uw dh_iy w_ey ay d_uw
d;5;in high definition Im dreaming of you;ih_n_ch hh_ay d_eh_f_ah_n_ih_sh_ah_n ay_m d_r_iy_m_ih_ng ah_v y_uw
c;6;with my disposition Im losing my cool;w_ih_dh m_ay d_ih_s_p_ah_z_ih_sh_ah_n ay_m l_uw_z_ih_ng m_ay k_uw_l
d;7;with my everything Id give anything to be with you;w_ih_dh m_ay eh_v_r_iy_th_ih_ng ay_d g_ih_v eh_n_iy_th_ih_ng t_uw b_iy w_ih_dh y_uw
a;9;and I will try my best to let it subside;ah_n_d ay w_ah_l t_r_ay m_ay b_eh_s_t t_uw l_eh_t ih_t s_ah_b_s_ay_d
e;10;im letting go without taking any part of;ay_m l_eh_t_ih_ng g_ow w_ih_th_aw_t t_ey_k_ih_ng eh_n_iy p_aa_r_t ah_v
b;11;something what my heart truly wants;s_ah_m_th_ih_ng w_ah_t m_ay hh_aa_r_t t_r_uw_l_iy w_aa_n_t_s
c;12;and no one will ever see you the way I do;ah_n_d n_ow w_ah_n w_ah_l eh_v_er s_iy y_uw dh_ah w_ey ay d_uw
d;14;in high definition Im dreaming of you;ih_n hh_ay d_eh_f_ah_n_ih_sh_ah_n ay_m d_r_iy_m_ih_ng ah_v y_uw
c;15;with my disposition Im losing my cool;w_ih_dh m_ay d_ih_s_p_ah_z_ih_sh_ah_n ay_m l_uw_z_ih_ng m_ay k_uw_l
d;16;with my everything Id give anything to be with you;w_ih_dh m_ay eh_v_r_iy_th_ih_ng ay_d g_ih_v eh_n_iy_th_ih_ng t_uw b_iy w_ih_dh y_uw
d;17;in high definition Im dreaming of you;ih_n hh_ay d_eh_f_ah_n_ih_sh_ah_n ay_m d_r_iy_m_ih_ng ah_v y_uw
c;18;with my disposition Im losing my cool;w_ih_dh m_ay d_ih_s_p_ah_z_ih_sh_ah_n ay_m l_uw_z_ih_ng m_ay k_uw_l
d;19;with my everything Id give anything to be with you;w_ih_dh m_ay eh_v_r_iy_th_ih_ng ay_d g_ih_v eh_n_iy_th_ih_ng t_uw b_iy w_ah_dh y_uw
