Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;sample of Melvin Van Peebles;s_ae_m_p_ah_l ah_v m_eh_l_v_ah_n v_ae_n p_iy_b_ah_l_z
b;1;come on feet x5;k_ah_m aa_n f_iy_t eh_k_s_ae
g;3;come on feet cruise for me;k_ah_m aa_n f_iy_t k_r_uw_z f_r_er m_iy
a;4;trouble ain-t no place to be;t_r_ah_b_ah_l ey_n_t n_ow p_l_ey_s t_uw b_iy
c;5;come on feet do ya thang aw nah;k_ah_m aa_n f_iy_t d_uw y_aa dh_ae_n_b ao n_aa
d;6;come on legs come on run;k_ah_m aa_n l_eh_g_z k_ah_m aa_n r_ah_n
a;7;come on knees don-t be mean;k_ah_m aa_n n_iy_z d_ow_n_t b_iy m_iy_n
a;8;come on knees cause that ain-t the first red youve ever seen;k_ah_m aa_n n_iy_z k_aa_z dh_ae_t ey_n_t dh_ah f_er_s_t r_eh_d y_uw_v eh_v_er s_iy_n
h;9;come on feet do ya thang;k_ah_m aa_n f_iy_t d_uw y_aa dh_ae_n_b
g;10;don-t cop out on me;d_ow_n_t k_aa_p aw_t aa_n m_iy
g;11;don-t give in on me;d_ow_n_t g_ih_v ih_n aa_n m_iy
g;12;come on legs come on cruise for me;k_ah_m aa_n l_eh_g_z k_ah_m aa_n k_r_uw_z f_ao_r m_iy
g;14;come on feet cruise for me;k_ah_m aa_n f_iy_t k_r_uw_z f_ao_r m_iy
d;15;come on run;k_ah_m aa_n r_ah_n
e;16;anyway the way I pick them up and put them down;eh_n_iy_w_ey dh_ah w_ey ay p_ih_k dh_eh_m ah_p ah_n_d p_uh_t dh_eh_m d_aw_n
e;17;even if they got my name on it won-t catch me now;iy_v_ah_n ah_f dh_ey g_aa_t m_ay n_ey_m aa_n ih_t w_ow_n_t k_ae_ch m_iy n_aw
e;18;never put us in some cold ass ground;n_eh_v_er p_uh_t ah_s ih_n s_ah_m k_ow_l_d ae_s g_r_aw_n_d
f;19;sure was dark never been out this late;sh_uh_r w_ah_z d_aa_r_k n_eh_v_er b_ih_n aw_t dh_ih_s l_ey_t
b;20;anyway safe and sound but we broke the olympic two twenty;eh_n_iy_w_ey s_ey_f ah_n_d s_aw_n_d b_ah_t w_iy b_r_ow_k dh_ah ow_l_ih_m_p_ih_k t_uw t_w_eh_n_t_iy
d;21;cross country or something;k_r_ao_s k_ah_n_t_r_iy ao_r s_ah_m_th_ih_ng
f;22;whatever happened to the sun Sure gone away;w_ah_t_eh_v_er hh_ae_p_ah_n_d t_uw dh_ah s_ah_n sh_uh_r g_ao_n ah_w_ey
i;23;sure blacker than a landlords soul;sh_uh_r b_l_ae_k_er dh_ae_n ah l_ae_n_d_l_ao_r_d_z s_ow_l
f;24;must have run all day;m_ah_s_t hh_ae_v r_ah_n ao_l d_ey
f;25;must-ve run all day;m_ah_s_t_ih_v r_ah_n ao_l d_ey
g;27;come on feet cruise for me;k_ah_m aa_n f_iy_t k_r_uw_z f_ao_r m_iy
d;28;come on feet come on run;k_ah_m aa_n f_iy_t k_ah_m aa_n r_ah_n
a;29;come on feet;k_ah_m aa_n f_iy_t
d;30;come on feet come on run;k_ah_m aa_n f_iy_t k_ah_m aa_n r_ah_n
l;32;wcet;w_s_e_t
b;33;thank you for the station 88 1 FM;th_ae_ng_k y_uw f_ao_r dh_ah s_t_ey_sh_ah_n  ah_ae eh_f_eh_m
m;34;i was going through the crazy shit man I can-t really call it the cat;ay w_ah_z g_ow_ih_ng th_r_uw dh_ah k_r_ey_z_iy sh_iy_t m_ae_n ay k_ae_n_t r_ih_l_iy k_ao_l ih_t dh_ah k_ae_t
n;35;quasimoto;k_w_aa_s_iy_m_ow_t_ow
c;36;i played few tunes yesterday to sponsor;ay p_l_ey_d f_y_uw t_uw_n_z y_eh_s_t_er_d_ey t_uw s_p_aa_n_s_er
o;37;real cool they digged it;r_iy_l k_uw_l dh_ey d_ih_g_er_d ih_t
p;38;and the new album came in its at your local store its Quasimoto The;ah_n_d dh_ah n_y_uw ae_l_b_ah_m k_ey_m ih_n ih_t_s ae_t y_ao_r l_ow_k_ah_l s_t_ao_r ih_t_s  dh_ah
a;39;unseen;ah_n_s_iy_n
q;40;i-mma play another tune for y-all;iy_ax_ p_l_ey ah_n_ah_dh_er t_uw_n f_ao_r y_ao_l
g;41;if y-all sleep you know were gonna have tears about this;ah_f y_ao_l s_l_iy_p y_uw n_ow w_iy_r g_aa_n_ah hh_ae_v t_eh_r_z ah_b_aw_t dh_ih_s
e;42;this (is) WCET 88 1 FM midnight hour;dh_ih_s ih_z   ah_ae eh_f_eh_m m_ih_d_n_ay_t aw_er
