Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;0;well I had to have been programmed;w_eh_l ay hh_ae_d t_uw hh_ae_v b_ih_n p_r_ow_g_r_ae_m_d
a;1;for anything but this;f_ao_r eh_n_iy_th_ih_ng b_ah_t dh_ih_s
a;2;and to be honest you weren-t a mark Id aim to miss;ah_n_d t_uw b_iy aa_n_ah_s_t y_uw w_er_n_t ah m_aa_r_k ay_d ey_m t_ah m_ih_s
g;3;with your ten gallon hat and the spurs on your shoes;w_ah_dh y_uh_r t_eh_n g_ae_l_ah_n hh_ae_t ah_n_d dh_iy s_p_er_z aa_n y_uh_r sh_uw_z
h;4;its everything in me that wants to kill you;ih_t_s eh_v_r_iy_th_ih_ng ih_n m_iy dh_ae_t w_aa_n_t_s t_uw k_ih_l y_uw
b;6;so lay me down Ill smoke you out;s_ow l_ey m_iy d_aw_n ay_l s_m_ow_k y_uw aw_t
b;7;you won-t make a sound Ill find you without;y_uw w_ow_n_t m_ey_k ah s_aw_n_d ay_l f_ay_n_d y_uw w_ih_th_aw_t
c;9;it was a mad man;ih_t w_ah_z ah m_ae_d m_ae_n
d;10;who put this in my head;hh_uw p_uh_t dh_ih_s ih_n m_ay hh_eh_d
d;11;a virus that makes me want all cowboys dead;ah v_ay_r_ah_s dh_ae_t m_ey_k_s m_iy w_aa_n_t ao_l k_aw_b_oy_z d_eh_d
e;12;with this gun on my arm and this look in my eye;w_ih_dh dh_ih_s g_ah_n aa_n m_ay aa_r_m ah_n_d dh_ih_s l_uh_k ih_n m_ay ay
e;13;bitch you better know that its time to die;b_ih_ch y_uw b_eh_t_er n_ow dh_ae_t ih_t_s t_ay_m t_uw d_ay
b;15;lay me down Ill smoke you out;l_ey m_iy d_aw_n ay_l s_m_ow_k y_uw aw_t
b;16;you won-t make a sound Ill find you without;y_uw w_ow_n_t m_ey_k ah s_aw_n_d ay_l f_ay_n_d y_uw w_ih_th_aw_t
b;18;lay me down Ill smoke you out;l_ey m_iy d_aw_n ay_l s_m_ow_k y_uw aw_t
c;20;ill put holes in your chest with my laser cannons;ay_l p_uh_t hh_ow_l_z ih_n y_ao_r ch_eh_s_t w_ih_dh m_ay l_ey_z_er k_ae_n_ah_n_z
d;21;im gonna rip off your head I want all cowboys dead;ay_m g_aa_n_ah r_ih_p ao_f y_ao_r hh_eh_d ay w_aa_n_t ao_l k_aw_b_oy_z d_eh_d
c;22;ill put holes in your chest with my laser cannons;ay_l p_uh_t hh_ow_l_z ih_n y_ao_r ch_eh_s_t w_ih_dh m_ay l_ey_z_er k_ae_n_ah_n_z
d;23;im gonna rip off your head I want all cowboys dead;ay_m g_aa_n_ah r_ih_p ao_f y_uh_r hh_eh_d ay w_aa_n_t ao_l k_aw_b_oy_z d_eh_d
