Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;on a tidal wave I stand;aa_n ey t_ay_d_ah_l w_ey_v ay s_t_ae_n_d
b;1;perhaps of me youve heard;p_er_hh_ae_p_s ah_v m_iy y_uw_v hh_er_d
a;2;with a storm cloud in my hand;w_ih_dh ah s_t_ao_r_m k_l_aw_d ih_n m_ay hh_ae_n_d
b;3;ive come dispensing word;ay_v k_ah_m d_ih_s_p_eh_n_s_ih_ng w_er_d
c;5;of your company Ive tired;ah_v y_ao_r k_ah_m_p_ah_n_iy ay_v t_ay_r_d
d;6;your welcome here (is) worn;y_ao_r w_eh_l_k_ah_m hh_ih_r ih_z w_ao_r_n
c;7;it (is) you who lit this cradle pyre;ih_t ih_z y_uw hh_uw l_ih_t dh_ih_s k_r_ey_d_ah_l p_ay_ax
d;8;it (is) you who woke this storm;ih_t ih_z y_uw hh_uw w_ow_k dh_ih_s s_t_ao_r_m
e;10;so I do this with regret;s_ow ay d_uw dh_ih_s w_ih_dh r_ih_g_r_eh_t
f;11;but youve left me little choice;b_ah_t y_uw_v l_eh_f_t m_iy l_ih_t_ah_l ch_oy_s
e;12;when your mouth (is) full of threats;w_eh_n y_ao_r m_aw_th ih_z f_uh_l ah_v th_r_eh_t_s
f;13;when you speak you use my voice;w_eh_n y_uw s_p_iy_k y_uw y_uw_s m_ay v_oy_s
g;15;oh child where will you run;ow ch_ay_l_d w_eh_r w_ah_l y_uw r_ah_n
c;16;when the world-s on fire;w_eh_n dh_ah w_er_l_d_z aa_n f_ay_er
g;17;old man see what youve done;ow_l_d m_ae_n s_iy w_ah_t y_uw_v d_ah_n
c;18;(as) the flames grow higher;ae_z dh_ah f_l_ey_m_z g_r_ow hh_ay_er
