Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;everybody do the crayon crayon;eh_v_r_iy_b_aa_d_iy d_uw dh_ah k_r_ey_aa_n k_r_ey_aa_n
b;1;x4;eh_k_s_ae
e;3;im aware of my surroundings Everyone (is) a color;ay_m ah_w_eh_r ah_v m_ay s_er_aw_n_d_ih_ng_z eh_v_r_iy_w_ah_n ah_z ey k_ao_l_er
c;4;for once well do it for a greater cause Each other;f_r_er w_ah_n_s w_iy_l d_uw ih_t f_r_er ey g_r_ey_t_er k_aa_z iy_ch ah_dh_er
d;5;lets act like some Brothers and sisters;w_iy_s ae_k_t l_ay_k s_ah_m b_r_ah_dh_er_z ah_n_d s_ih_s_t_er_z
d;6;so well can make this beautiful picture;s_ow w_eh_l k_ae_n m_ey_k dh_ah_s b_y_uw_t_ah_f_ah_l p_ih_k_ch_er
f;8;red Black Yellow Green Purple and turquoise;r_eh_d b_l_ae_k y_eh_l_ow g_r_iy_n p_er_p_ah_l ah_n_d t_er_k_w_oy_z
g;9;a splash of heavy duty paint will definitely hurt boy;ey s_p_l_ae_sh ah_v hh_eh_v_iy d_uw_t_iy p_ey_n_t w_ih_l d_eh_f_ah_n_ah_t_l_iy hh_er_t b_oy
a;10;weve been using these colors the wrong way;w_iy_v b_ih_n y_uw_z_ih_ng dh_iy_z k_ah_l_er_z dh_ah r_ao_ng w_ey
b;11;Martin said one day these white and black children will play together;m_aa_r_t_ah_n s_eh_d w_ah_n d_ey dh_iy_z w_ay_t ah_n_d b_l_ae_k ch_ih_l_d_r_ah_n w_ah_l p_l_ey t_ah_g_eh_dh_er
h;13;and now they do and its no big thang;ah_n_d n_aw dh_ey d_uw ah_n_d ih_t_s n_ow b_ih_g dh_ae_n_b
i;14;but dont forget everyone had to march and sang;b_ah_t d_aa_n_b f_ax_g_eh_t eh_v_r_iy_w_ah_n hh_ae_d t_uw m_aa_r_ch ah_n_d s_ae_ng
l;15;black folk blue person red people;b_l_ae_k f_ow_k b_l_uw p_er_s_ah_n r_eh_d p_iy_p_ah_l
c;16;we all equal in God-s eyes thats the way he sees us;w_iy ao_l iy_k_w_ah_l ih_n g_aa_d_z ay_z dh_ae_t_s dh_ah w_ey hh_iy s_iy_z ah_s
e;18;diversity makes a great painting;d_ih_v_er_s_ah_t_iy m_ey_k_s ah g_r_ey_t p_ey_n_t_ih_ng
a;19;my 2nd impressionistic movement (is) in the making;m_ay  ih_m_p_r_eh_sh_ah_n_ih_s_t_ih_k m_uw_v_m_ah_n_t ih_z ih_n dh_ah m_ey_k_ih_ng
c;20;yeah the world (is) full of many colors;y_ae dh_ah w_er_l_d ih_z f_uh_l ah_v m_eh_n_iy k_ah_l_er_z
c;21;6 4 billion in this box and many others;ah_ae ah_ae b_ih_l_y_ah_n ih_n dh_ih_s b_aa_k_s ah_n_d m_eh_n_iy ah_dh_er_z
