Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;yeah yeah;y_ae y_ae
b;2;i get the bread and the chedda and I don-t give a hoot about shit;ay g_ih_t dh_iy b_r_eh_d ah_n_d dh_iy ch_er_d_ax ah_n_d ay d_ow_n g_ih_v ey hh_uw_t ah_b_aw_t sh_iy_t
b;3;i beat the cheeks and I don-t give a trout about none of that shit;ay b_iy_t dh_iy ch_iy_k_s ah_n_d ay d_ow_n g_ih_v ey t_r_aw_t ah_b_aw_t n_ah_n ah_v dh_ah_t sh_iy_t
c;5;yeah O G Pimp;y_ae ow jh_iy p_ih_m_p
d;6;(self-made) legend;s_eh_l_f_m_ey_d l_eh_jh_ah_n_d
e;7;Rich white man son you hearing what Im saying;r_ih_ch w_ay_t m_ae_n s_ah_n y_uw hh_ih_r_ih_ng w_ah_t ay_m s_ey_ih_ng
b;8;feel like Don Juan I;f_iy_l l_ay_k d_aa_n w_aa_n ay
b;9;stay beating cheeks;s_t_ey b_iy_t_ih_ng ch_iy_k_s
b;10;i rep that shit daily thats the Z H G;ay r_eh_p dh_ae_t sh_iy_t d_ey_l_iy dh_ae_t_s dh_ah z_iy ey_ch jh_iy
c;12;makonnen (is) a bitch bitch ass nigga;m_ae_k_aa_n_ah_n ih_z ah b_ih_ch b_ih_ch ae_s n_ih_g_ae
g;13;Rich white man son I;r_ih_ch w_ay_t m_ae_n s_ah_n ay
c;14;stay getting figures;s_t_ey g_eh_t_ih_ng f_ih_g_y_er_z
e;15;im the bigger picture 3pacalypse baby;ay_m dh_ah b_ih_g_er p_ih_k_ch_er  b_ey_b_iy
h;16;she play my favorite song yeah thats my song;sh_iy p_l_ey m_ay f_ey_v_er_ah_t s_ao_ng y_ae dh_ae_t_s m_ay s_ao_ng
i;18;pimping all my wives;p_ih_m_p_ih_ng ao_l m_ay w_ay_v_z
l;19;getting mozzarella;g_eh_t_ih_ng m_ao_z_ah_r_er_l_ax
d;20;pussy so wet son I might need an umbrella;p_uh_s_iy s_ow w_eh_t s_ah_n ay m_ay_t n_iy_d ae_n ah_m_b_r_eh_l_ah
c;21;got a bad bitch take her to the crib;g_aa_t ah b_ae_d b_ih_ch t_ey_k hh_er t_uw dh_ah k_r_ih_b
c;22;z H G mansion son all we do (is) win;z_iy ey_ch jh_iy m_ae_n_sh_ah_n s_ah_n ao_l w_iy d_uw ih_z w_ih_n
a;24;Rich white nigga the rich white man;r_ih_ch w_ay_t n_ih_g_ae dh_ah r_ih_ch w_ay_t m_ae_n
a;25;selling out arenas for about 100 grand;s_eh_l_ih_ng aw_t er_iy_n_ah_z f_ao_r ah_b_aw_t  g_r_ae_n_d
f;26;chedda mommas wanna own bitch my man Al Capone;ch_er_d_ax m_aa_m_ah_z w_aa_n_ah ow_n b_ih_ch m_ay m_ae_n ae_l k_ah_p_ow_n
f;27;bad bitches son they blowing up my phone;b_ae_d b_ih_ch_ah_z s_ah_n dh_ey b_l_ow_ih_ng ah_p m_ay f_ow_n
