Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;keep your hands to yourself;k_iy_p y_uh_r hh_ae_n_d_z t_ah y_ao_r_s_eh_l_f
a;1;its so easy;ih_t_s s_ow iy_z_iy
b;2;to mistreat history;t_uw m_ih_s_t_r_iy_t hh_ih_s_t_r_ih
b;3;youre a thorn in my side;y_uw_r ah th_ao_r_n ih_n m_ay s_ay_d
b;4;just a drone to the hive;jh_ah_s_t ah d_r_ow_n t_uw dh_ah hh_ay_v
a;5;one goal hidden in the trees;w_ah_n g_ow_l hh_ih_d_ah_n ih_n dh_ah t_r_iy_z
c;6;its the sting of love that I missed;ih_t_s dh_ah s_t_ih_ng ah_v l_ah_v dh_ae_t ay m_ih_s_t
c;7;its too late Im already up to my wrist;ih_t_s t_uw l_ey_t ay_m ao_l_r_eh_d_iy ah_p t_uw m_ay r_ih_s_t
d;8;with the buzz that keeps me coming back;w_ih_dh dh_ah b_ah_z dh_ae_t k_iy_p_s m_iy k_ah_m_ih_ng b_ae_k
d;9;when the buzz buzz keeps me coming back;w_eh_n dh_ah b_ah_z b_ah_z k_iy_p_s m_iy k_ah_m_ih_ng b_ae_k
e;10;i never meant to steal your honey;ay n_eh_v_er m_eh_n_t t_uw s_t_iy_l y_ao_r hh_ah_n_iy
f;11;cause it ain-t worth the tears;k_aa_z ih_t ey_n_t w_er_th dh_ah t_eh_r_z
e;12;too sweet to keep me running;t_uw s_w_iy_t t_uw k_iy_p m_iy r_ah_n_ih_ng
f;13;cause Im your daddy bear;k_aa_z ay_m y_ao_r d_ae_d_iy b_eh_r
b;14;the owl was right;dh_ah aw_l w_ah_z r_ay_t
b;15;its an upward fight;ih_t_s ae_n ah_p_w_er_d f_ay_t
b;16;a hundred acres in my mind;ah hh_ah_n_d_r_ah_d ey_k_er_z ih_n m_ay m_ay_n_d
g;17;small Early and Late;s_m_ao_l er_l_iy ah_n_d l_ey_t
g;18;all reasonable names;ao_l r_iy_z_n_ax_b_l n_ey_m_z
g;19;the rabbit (is) the one to blame;dh_ah r_ae_b_ih_t ih_z dh_ah w_ah_n t_uw b_l_ey_m
i;20;can-t keep my paws off you;k_ae_n_t k_iy_p m_ay p_ao_z ao_f y_uw
g;21;these hives all look the same;dh_iy_z hh_ay_v_z ao_l l_uh_k dh_ah s_ey_m
i;22;im stuck on you;ay_m s_t_ah_k aa_n y_uw
l;23;youre stuck to me;y_uw_r s_t_ah_k t_uw m_iy
h;24;together well make history;t_ah_g_eh_dh_er w_iy_l m_ey_k hh_ih_s_t_r_ih
e;25;i never meant to steal your honey;ay n_eh_v_er m_eh_n_t t_uw s_t_iy_l y_ao_r hh_ah_n_iy
f;26;cause it ain-t worth the tears;k_aa_z ih_t ey_n_t w_er_th dh_ah t_eh_r_z
e;27;too sweet to keep me running;t_uw s_w_iy_t t_uw k_iy_p m_iy r_ah_n_ih_ng
f;28;cause Im your daddy bear;k_aa_z ay_m y_ao_r d_ae_d_iy b_eh_r
