Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;youre drivin back home down 246;y_uw_r d_r_ih_v_iy_n b_ae_k hh_ow_m d_aw_n 
i;1;you almost hit a deer and you end up in a ditch;y_uw ao_l_m_ow_s_t hh_ih_t ah d_ih_r ah_n_d y_uw eh_n_d ah_p ih_n ah d_ih_ch
a;2;you can-t pull forward and you can-t back out;y_uw k_ae_n_t p_uh_l f_ao_r_w_er_d ah_n_d y_uw k_ae_n_t b_ae_k aw_t
a;3;youre sittin there thinkin whatcha gonna do now;y_uw_r s_ih_t_t_ih_n dh_eh_r th_ih_ng_k_ah_n w_ah_t_ch_aa g_aa_n_ah d_uw n_aw
b;4;youd be a little nervous if a cop showed up;y_uw_d b_iy ah l_ih_t_ah_l n_er_v_ah_s ah_f ah k_aa_p sh_ow_d ah_p
b;5;‘  Cause you drank a little maybe just a little too much; ah_ae k_aa_z y_uw d_r_ae_ng_k ah l_ih_t_ah_l m_ey_b_iy jh_ah_s_t ey l_ih_t_ah_l t_uw m_ah_ch
c;6;waitin on a tow truck takes too long;w_ay_t_ih_n aa_n ah t_ow t_r_ah_k t_ey_k_s t_uw l_ao_ng
c;7;its two in the mornin-  …  who you gonna call;ih_t_s t_uw ih_n dh_ah  m_ao_r_n_ih_ng_ae  ah_ae hh_uw y_uw g_aa_n_ah k_ao_l
d;9;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
a;10;seven minutes later theyre pullin you out;s_eh_v_ah_n m_ih_n_ah_t_s l_ey_t_er dh_ey_r p_uh_l_ih_n y_uw aw_t
a;11;you know the ones Im talkin about;y_uw n_ow dh_ah w_ah_n_z ay_m t_aa_k_ah_n ah_b_aw_t
d;12;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
e;13;you can count ‘  em all on one of your hands;y_uw k_ah_n k_aw_n_t  ah_ae eh_m ao_l aa_n w_ah_n ah_v y_ao_r hh_ae_n_d_z
b;14;you got a hundred buddies;y_uw g_aa_t ah hh_ah_n_d_r_ah_d b_ah_d_iy_z
d;15;a couple of damn good friends;ah k_ah_p_ah_l ah_v d_ae_m g_uh_d f_r_eh_n_d_z
f;17;so youre all shootin pool on a Saturday night;s_ow y_uw_r ao_l sh_uw_t_iy_n p_uw_l aa_n ah s_ae_t_er_d_iy n_ay_t
f;18;this little brunette keeps givin you the eye;dh_ih_s l_ih_t_ah_l b_r_uw_n_eh_t k_iy_p_s g_ih_v_ih_n y_uw dh_ah ay
c;19;so you buy her a drink before too long;s_ow y_uw b_ay hh_er ah d_r_ih_ng_k b_ah_f_ao_r t_uw l_ao_ng
c;20;youre out on the floor in the middle of a song;y_uw_r aw_t aa_n dh_ah f_l_ao_r ih_n dh_ah m_ih_d_ah_l ah_v ah s_ao_ng
b;21;about that time her ex shows up;ah_b_aw_t dh_ae_t t_ay_m hh_er eh_k_s sh_ow_z ah_p
b;22;hes starin you down getting all bowed up;hh_iy_s s_t_ae_r_ih_n y_uw d_aw_n g_eh_t_ih_ng ao_l b_aw_d ah_p
g;23;hes a big ol jacked up S O B;hh_iy_s ah b_ih_g ow_l jh_ae_k_t ah_p eh_s ow b_iy
l;24;thats alright hes about to meet your … ;dh_ae_t_s ao_l_r_ay_t hh_iy_s ah_b_aw_t t_uw m_iy_t y_ao_r  ah_ae
d;26;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
g;27;a few seconds later hes startin to see;ah f_y_uw s_eh_k_ah_n_d_z l_ey_t_er hh_iy_s s_t_aa_r_t_iy_n t_uw s_iy
h;28;it ain-t one on one …  its one on three;ih_t ey_n_t w_ah_n aa_n w_ah_n  ah_ae ih_t_s w_ah_n aa_n th_r_iy
d;29;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
d;30;they do it for you ‘  cause youd do it for them;dh_ey d_uw ih_t f_ao_r y_uw  ah_ae k_aa_z y_uw_d d_uw ih_t f_ao_r dh_eh_m
b;31;you got a hundred buddies;y_uw g_aa_t ah hh_ah_n_d_r_ah_d b_ah_d_iy_z
d;32;but a couple of damn good friends;b_ah_t ey k_ah_p_ah_l ah_v d_ae_m g_uh_d f_r_eh_n_d_z
b;34;theyre there even when you don-t see ‘  em (as) much;dh_ey_r dh_eh_r iy_v_ah_n w_eh_n y_uw d_ow_n_t s_iy  ah_ae eh_m ae_z m_ah_ch
b;35;cause you moved away or you fell in love;k_aa_z y_uw m_uw_v_d ah_w_ey ao_r y_uw f_eh_l ih_n l_ah_v
a;36;but theyre wearin a tux when youre sayin your vows;b_ah_t dh_ey_r w_eh_r_iy_n ah t_ah_k_s w_eh_n y_uw_r s_ey_iy_n y_ao_r v_aw_z
a;37;and if you crash and burn you can crash on their couch;ah_n_d ah_f y_uw k_r_ae_sh ah_n_d b_er_n y_uw k_ah_n k_r_ae_sh aa_n dh_eh_r k_aw_ch
d;39;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
a;40;they love you like a brother there ain-t no doubt;dh_ey l_ah_v y_uw l_ay_k ah b_r_ah_dh_er dh_eh_r ey_n_t n_ow d_aw_t
a;41;you know the ones Im talkin about;y_uw n_ow dh_ah w_ah_n_z ay_m t_aa_k_ah_n ah_b_aw_t
d;42;friends …  damn good friends;f_r_eh_n_d_z  ah_ae d_ae_m g_uh_d f_r_eh_n_d_z
e;43;you can count em all on one of your hands;y_uw k_ah_n k_aw_n_t eh_m ao_l aa_n w_ah_n ah_v y_ao_r hh_ae_n_d_z
b;44;you got a hundred buddies;y_uw g_aa_t ah hh_ah_n_d_r_ah_d b_ah_d_iy_z
d;45;and a couple of damn good friends;ah_n_d ah k_ah_p_ah_l ah_v d_ae_m g_uh_d f_r_eh_n_d_z
d;46;oh damn good friends;ow d_ae_m g_uh_d f_r_eh_n_d_z
