Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;money on my mind circling around inside my head;m_ah_n_iy aa_n m_ay m_ay_n_d s_er_k_l_ih_ng er_aw_n ih_n_s_ay_d m_ay hh_eh_d
a;1;im on my grind but minimum wage won-t stack the bread so instead;ay_m aa_n m_ay g_r_ay_n_d b_ah_t m_ih_n_ah_m_ah_m w_ey_jh w_ow_n_t s_t_ae_k dh_ah b_r_eh_d s_ow ih_n_s_t_eh_d
b;2;i gotta save it up and spend it lightly;ay g_aa_t_ah s_ey_v ih_t ah_p ah_n_d s_p_eh_n_d ih_t l_ay_t_l_iy
c;3;the luxuries will have to wait until my budget ain-t so tightly wound;dh_ah l_ah_g_zh_er_iy_z w_ah_l hh_ae_v t_uw w_ey_t ah_n_t_ih_l m_ay b_ah_jh_ah_t ey_n_t s_ow t_ay_t_l_iy w_uw_n_d
c;4;around paying for bills and school;er_aw_n_d p_ey_ih_ng f_ao_r b_ih_l_z ah_n_d s_k_uw_l
c;5;cause dropping out for easy money would just make me a damn fool;k_aa_z d_r_aa_p_ih_ng aw_t f_ao_r iy_z_iy m_ah_n_iy w_uh_d jh_ah_s_t m_ey_k m_iy ah d_ae_m f_uw_l
a;6;i know through hardships you learn life lessons;ay n_ow th_r_uw hh_aa_r_d_sh_ih_p_s y_uw l_er_n l_ay_f l_eh_s_ah_n_z
d;7;and working hard for your success will always bring you blessings so;ah_n_d w_er_k_ih_ng hh_aa_r_d f_ao_r y_ao_r s_ah_k_s_eh_s w_ah_l ao_l_w_ey_z b_r_ih_ng y_uw b_l_eh_s_ih_ng_z s_ow
f;8;ill leave stackin the paper for a later time and just focus on the words I;ay_l l_iy_v s_t_ae_k_iy_n dh_ah p_ey_p_er f_ao_r ah l_ey_t_er t_ay_m ah_n_d jh_ah_s_t f_ow_k_ah_s aa_n dh_ah w_er_d_z ay
b;9;need to finish this rhyme;n_iy_d t_uw f_ih_n_ih_sh dh_ih_s r_ay_m
a;10;i had some jackson-s in my possession;ay hh_ae_d s_ah_m jh_ae_k_s_ah_n_z ih_n m_ay p_ah_z_eh_sh_ah_n
g;11;but they left a trail of tears cause theyre disappearing quick throughout the;b_ah_t dh_ey l_eh_f_t ah t_r_ey_l ah_v t_eh_r_z k_aa_z dh_ey_r d_ih_s_ah_p_ih_r_ih_ng k_w_ih_k th_r_uw_aw_t dh_ah
h;12;recession;r_ih_s_eh_sh_n
d;13;and all my lincolns were emancipated the washinngtons remain still although;ah_n_d ao_l m_ay l_ih_ng_k_ah_n_z w_er ah_m_ae_n_s_ah_p_ey_t_ah_d dh_ah w_ah_sh_ih_n_g_t_oh_n_s r_ih_m_ey_n s_t_ih_l ao_l_dh_ow
i;14;its complicated;ih_t_s k_aa_m_p_l_ah_k_ey_t_ah_d
l;15;to not spend money in this crazy world;t_uw n_ax_t s_p_eh_n_d m_ah_n_iy ih_n dh_ih_s k_r_ey_z_iy w_er_l_d
g;16;were on the paper train that makes the world go round no need to add to the;w_iy_r aa_n dh_ah p_ey_p_er t_r_ey_n dh_ae_t m_ey_k_s dh_iy w_er_l_d g_ow r_aw_n_d n_ow n_iy_d t_uw ae_d t_uw dh_ah
e;17;coals uh;k_ow_l_z ah
m;18;apparently thats how we move along;ah_p_eh_r_ah_n_t_l_iy dh_ae_t_s hh_aw w_iy m_uw_v ah_l_ao_ng
f;19;the money spendin paper chasin (is) what helps us go on;dh_ah m_ah_n_iy s_p_eh_n_d_iy_n p_ey_p_er ch_ae_s_ih_n ih_z w_ah_t hh_eh_l_p_s ah_s g_ow aa_n
e;20;but right now im gettin left in the dust;b_ah_t r_ay_t n_aw ay_m s_eh_t_iy_n l_eh_f_t ih_n dh_ah d_ah_s_t
c;21;ill catch up later im just focused on the things that I must do;ay_l k_ae_ch ah_p l_ey_t_er ay_m jh_ah_s_t f_ow_k_ah_s_t aa_n dh_ah th_ih_ng_z dh_ae_t ay m_ah_s_t d_uw
b;22;to be the best in all the things I aspire;t_uw b_iy dh_ah b_eh_s_t ih_n ao_l dh_ah th_ih_ng_z ay ah_s_p_ay_r
b;23;got more than money on my mind thats not my only desire;g_aa_t m_ao_r dh_ae_n m_ah_n_iy aa_n m_ay m_ay_n_d dh_ae_t_s n_ax_t m_ay ow_n_l_iy d_ah_z_ay_r
e;24;just take a look at any bill if you must;jh_ah_s_t t_ey_k ah l_uh_k ae_t eh_n_iy b_ih_l ah_f y_uw m_ah_s_t
e;25;you shouldn-t put your faith in cash it tells us In God We Trust;y_uw sh_uh_d_ah_n_t p_uh_t y_ao_r f_ey_th ih_n k_ae_sh ih_t t_eh_l_z ah_s ih_n g_aa_d w_iy t_r_ah_s_t
