Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;same old games looking in my phone its the same old names;s_ey_m ow_l_d g_ey_m_z l_uh_k_ih_ng ih_n_ch m_ay f_ow_n ih_t_s dh_ah s_ey_m ow_l_d n_ey_m_z
a;1;ive been going hard just like cold paint;ay_v b_ih_n g_ow_ih_ng hh_aa_r_d jh_ah_s_t l_ay_k k_ow_l_d p_ey_n_t
b;2;trying to keep it closed to these hoes cause I know;t_r_ay_ih_ng t_uw k_iy_p ih_t k_l_ow_z_d t_uw dh_iy_z hh_ow_z k_aa_z ay n_ow
b;3;that I fuck and duck em and change clothes stone cold;dh_ae_t ay f_ah_k ah_n_d d_ah_k eh_m ah_n_d ch_ey_n_jh k_l_ow_dh_z s_t_ow_n k_ow_l_d
b;4;yea I roll blow o-s;y_ey ay r_ow_l b_l_ow ow_z
b;5;i get high no joke and we fly no coach;ay g_eh_t hh_ay n_ow jh_ow_k ah_n_d w_iy f_l_ay n_ow k_ow_ch
c;7;then you came on through;dh_eh_n y_uw k_ey_m aa_n th_r_uw
c;8;in a summer haze like better days do;ih_n ah s_ah_m_er hh_ey_z l_ay_k b_eh_t_er d_ey_z d_uw
d;9;i approached you and you brushed me off;ay ah_p_r_ow_ch_t y_uw ah_n_d y_uw b_r_ah_sh_t m_iy ao_f
g;10;but I loved that shit cause you played your cards;b_ah_t ay l_ah_v_d dh_ae_t sh_iy_t k_aa_z y_uw p_l_ey_d y_ao_r k_aa_r_d_z
c;11;so I played it cool;s_ow ay p_l_ey_d ih_t k_uw_l
c;12;let dudes make moves while I chilled with my crew;l_eh_t d_y_uw_d_z m_ey_k m_uw_v_z w_ay_l ay ch_ih_l_d w_ih_dh m_ay k_r_uw
h;13;got faded too;g_aa_t f_ey_d_ah_d t_uw
c;14;Til you came back through like deja vu;t_ih_l y_uw k_ey_m b_ae_k th_r_uw l_ay_k d_iy_jh_ah v_uw
a;16;it came in like a wave;ih_t k_ey_m ih_n l_ay_k ah w_ey_v
a;17;same way went away;s_ey_m w_ey w_eh_n_t ah_w_ey
h;18;one night me and you;w_ah_n n_ay_t m_iy ah_n_d y_uw
c;19;memories in the nude;m_eh_m_ax_r_iy_z ih_n dh_ah n_uw_d
e;20;it came in like a rush;ih_t k_ey_m ih_n l_ay_k ah r_ah_sh
e;21;every time we touched;eh_v_er_iy t_ay_m w_iy t_ah_ch_t
c;22;underneath the moon;ah_n_d_er_n_iy_th dh_ah m_uw_n
c;23;now its gone like deja vu;n_aw ih_t_s g_ao_n l_ay_k d_iy_jh_ah v_uw
b;25;no clothes yea I love to see it when you stop and pose;n_ow k_l_ow_dh_z y_ey ay l_ah_v t_uw s_iy ih_t w_eh_n y_uw s_t_aa_p ah_n_d p_ow_z
b;26;like a private show;l_ay_k ah p_r_ay_v_ah_t sh_ow
b;27;get up on this pole in my sunset home;g_eh_t ah_p aa_n dh_ih_s p_ow_l ih_n m_ay s_ah_n_s_eh_t hh_ow_m
b;28;well be up all night till the cocks come crow;w_iy_l b_iy ah_p ao_l n_ay_t t_ih_l dh_ah k_aa_k_s k_ah_m k_r_ow
b;29;and I hold you close;ah_n_d ay hh_ow_l_d y_uw k_l_ow_s
b;30;and I love you slow til you tell me go;ah_n_d ay l_ah_v y_uw s_l_ow t_ih_l y_uw t_eh_l m_iy g_ow
b;31;then Im in that zone;dh_eh_n ay_m ih_n dh_ae_t z_ow_n
b;32;getting all up in it have you hitting high notes;g_eh_t_ih_ng ao_l ah_p ih_n ih_t hh_ae_v y_uw hh_ih_t_ih_ng hh_ay n_ow_t_s
f;33;its funny how we fit like a puzzle piece;ih_t_s f_ah_n_iy hh_aw w_iy f_ih_t l_ay_k ah p_ah_z_ah_l p_iy_s
f;34;underneath these sheets its so easy to believe;ah_n_d_er_n_iy_th dh_iy_z sh_iy_t_s ih_t_s s_ow iy_z_iy t_uw b_ah_l_iy_v
f;35;nothing (is) forever though or so they preach;n_ah_th_ih_ng ah_z f_er_eh_v_er dh_ow ao_r s_ow dh_ey p_r_iy_ch
f;36;youll be gone in the morning yea life-s a beach;y_uw_l b_iy g_ao_n ih_n dh_ah m_ao_r_n_ih_ng y_ey l_ay_f_s ah b_iy_ch
f;37;but I live by the sea;b_ah_t ay l_ay_v b_ay dh_ah s_iy
i;38;so if you waan go dipping under stars Im willing;s_ow ah_f y_uw w_aa_ae_n g_ow d_ih_p_ih_ng ah_n_d_er s_t_aa_r_z ay_m w_ih_l_ih_ng
l;39;i don-t do this with these women but girl I swear that youre different;ay d_ow_n_t d_uw dh_ih_s w_ih_dh dh_iy_z w_ih_m_ah_n b_ah_t g_er_l ay s_w_eh_r dh_ae_t y_uw_r d_ih_f_r_ax_n_t
l;40;youre magnificent;y_uw_r m_ae_g_n_ih_f_ah_s_ah_n_t
a;42;it came in like a wave;ih_t k_ey_m ih_n l_ay_k ah w_ey_v
a;43;same way went away;s_ey_m w_ey w_eh_n_t ah_w_ey
h;44;one night me and you;w_ah_n n_ay_t m_iy ah_n_d y_uw
c;45;memories in the nude;m_eh_m_ax_r_iy_z ih_n dh_ah n_uw_d
e;46;it came in like a rush;ih_t k_ey_m ih_n l_ay_k ah r_ah_sh
e;47;every time we touched;eh_v_er_iy t_ay_m w_iy t_ah_ch_t
c;48;underneath the moon;ah_n_d_er_n_iy_th dh_ah m_uw_n
c;49;now its gone like deja vu;n_aw ih_t_s g_ao_n l_ay_k d_iy_jh_ah v_uw
b;51;girl you know Ive gotta go;g_er_l y_uw n_ow ay_v g_aa_t_ah g_ow
d;52;yea you know tomorrow Ill be gone;y_ey y_uw n_ow t_ah_m_aa_r_ow ay_l b_iy g_ao_n
e;53;and the sun (is) coming up;ah_n_d dh_ah s_ah_n ih_z k_ah_m_ih_ng ah_p
m;54;but in the sky these stars shine on;b_ah_t ih_n dh_ah s_k_ay dh_iy_z s_t_aa_r_z sh_ay_n aa_n
b;55;let it go and let it show;l_eh_t ih_t g_ow ah_n_d l_eh_t ih_t sh_ow
d;56;yea I know this feeling (is) not wrong;y_ey ay n_ow dh_ih_s f_iy_l_ih_ng ih_z n_ax_t r_ao_ng
e;57;and the sun (is) coming up;ah_n_d dh_ah s_ah_n ih_z k_ah_m_ih_ng ah_p
m;58;and memories live on;ah_n_d m_eh_m_ax_r_iy_z l_ay_v aa_n
a;60;it came in like a wave;ih_t k_ey_m ih_n l_ay_k ah w_ey_v
a;61;same way went away;s_ey_m w_ey w_eh_n_t ah_w_ey
g;62;one night me and you;w_ah_n n_ay_t m_iy ah_n_d y_uw
c;63;memories in the nude;m_eh_m_ax_r_iy_z ih_n dh_ah n_uw_d
e;64;it came in like a rush;ih_t k_ey_m ih_n l_ay_k ah r_ah_sh
e;65;every time we touched;eh_v_er_iy t_ay_m w_iy t_ah_ch_t
c;66;underneath the moon;ah_n_d_er_n_iy_th dh_ah m_uw_n
c;67;now its gone like deja vu;n_aw ih_t_s g_ao_n l_ay_k d_iy_jh_ah v_uw
