Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;destroyer;d_ah_s_t_r_oy_er
b;2;he spent his life;hh_iy s_p_eh_n_t hh_ah_z l_ay_f
c;3;a silent sentinel;ey s_ay_l_ah_n_t s_eh_n_t_ah_n_ah_l
d;4;for all to fear;f_r_er ao_l t_ah f_ih_r
e;5;he walks he talks he thinks he feels;hh_iy w_ao_k_s hh_iy t_ao_k_s hh_iy th_ih_ng_k_s hh_iy f_iy_l_z
d;6;but no one dare go near;b_ah_t n_ow w_ah_n d_eh_r g_ow n_ih_r
e;8;he takes in all he sees;hh_iy t_ey_k_s ih_n ao_l hh_iy s_iy_z
f;9;nothing escapes his gaze;n_ah_th_ih_ng ah_s_k_ey_p_s hh_ih_z g_ey_z
b;10;and when he strikes;ah_n_d w_eh_n hh_iy s_t_r_ay_k_s
b;11;he strikes for right;hh_iy s_t_r_ay_k_s f_ao_r r_ay_t
b;12;a glorious sight;ah g_l_ao_r_iy_ah_s s_ay_t
a;14;destroyer Destroyer Destroyer;d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er
g;15;hes in town;hh_iy_s ih_n_ch t_aw_n
i;17;he came to be;hh_iy k_ey_m t_ah b_iy
f;18;from a grand mistake;f_er_m ey g_r_ae_n_d m_ih_s_t_ey_k
f;19;a mystical charade;ey m_ih_s_t_ih_k_ah_l sh_er_ey_d
l;20;created to decide the good;k_r_iy_ey_t_ah_d t_ah d_ah_s_ay_d dh_iy g_ah_d
f;21;and bring repercussive aid;ah_n_d b_r_ih_ng r_iy_p_er_k_ah_sh_v_er ey_d
f;23;(as) awareness filled his fame;eh_z ah_w_eh_r_n_ah_s f_ih_l_d hh_ah_z f_ey_m
m;24;he examined those who leered;hh_iy ih_g_z_ae_m_ah_n_d dh_ow_z hh_uw 
c;25;then he cleaved the air;dh_eh_n hh_iy k_l_iy_v_b dh_iy eh_r
c;26;with his fiery stare;w_ah_dh hh_ah_z f_ay_er_iy s_t_eh_r
c;27;rend all those there;r_eh_n_b ao_l dh_ow_z dh_eh_r
a;29;destroyer Destroyer Destroyer;d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er
g;30;hes in town;hh_iy_s ih_n t_aw_n
a;31;destroyer Destroyer Destroyer;d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er
g;32;hes in town;hh_iy_s ih_n t_aw_n
h;34;a day will come;ah d_ey w_ah_l k_ah_m
d;35;youll be drawn into;y_uw_l b_iy d_r_ao_n ih_n_t_uw
g;36;the center of your town;dh_ah s_eh_n_t_ax ah_v y_ao_r t_aw_n
e;37;and come upon a mass of steel;ah_n_d k_ah_m ah_p_aa_n ah m_ae_s ah_v s_t_iy_l
g;38;that cracks the very ground;dh_ae_t k_r_ae_k_s dh_ah v_eh_r_iy g_r_aw_n_d
h;40;prepare to meet your judge;p_r_iy_p_eh_r t_uw m_iy_t y_ao_r jh_ah_jh
f;41;don-t think to run away;d_ow_n_t th_ih_ng_k t_uw r_ah_n ah_w_ey
f;42;just pray your face;jh_ah_s_t p_r_ey y_ao_r f_ey_s
f;43;holds no disgrace;hh_ow_l_d_z n_ow d_ih_s_g_r_ey_s
f;44;for the deadly ace;f_ao_r dh_ah d_eh_d_l_iy ey_s
a;46;destroyer Destroyer Destroyer;d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er
g;47;hes in town;hh_iy_s ih_n t_aw_n
a;48;destroyer Destroyer Destroyer;d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er d_ah_s_t_r_oy_er
g;50;oh hes in town;ow hh_iy_s ih_n t_aw_n
g;51;yeah hes in town;y_ae hh_iy_s ih_n t_aw_n
f;52;you better stay out of his fuckin way;y_uw b_eh_t_er s_t_ey aw_t ah_v hh_ih_z f_ah_k_iy_n w_ey
i;53;hes gonna kick your ass;hh_iy_s g_aa_n_ah k_ih_k y_ao_r ae_s
a;55;destroyer;d_ah_s_t_r_oy_er
a;56;destroyer;d_ah_s_t_r_oy_er
