Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;i can-t be no one;ay k_ae_n_t b_iy n_ow w_ah_n
h;1;i can-t see no one;ay k_ae_n_t s_iy n_ow w_ah_n
i;2;do you follow me;d_uw y_uw f_aa_l_ow m_iy
h;3;i can-t touch no one;ay k_ae_n_t t_ah_ch n_ow w_ah_n
a;4;i can-t have no fun;ay k_ae_n_t hh_ae_v n_ow f_ah_n
i;5;do you follow me;d_uw y_uw f_aa_l_ow m_iy
b;6;cause Im blind;k_aa_z ih_m b_l_ay_n_d
b;7;in my mind;ih_n m_ay m_ay_n_d
c;8;and thats all;ah_n_d dh_ae_t_s ao_l
i;9;that anything means to me;dh_ae_t eh_n_iy_th_ih_ng m_iy_n_z t_uw m_iy
d;10;just how it seemed to be;jh_ah_s_t hh_aw ih_t s_iy_m_d t_uw b_iy
e;11;between the melody;b_ah_t_w_iy_n dh_ah m_eh_l_ah_d_iy
d;12;drive all em in into the sea;d_r_ay_v ao_l eh_m ih_n ih_n_t_uw dh_ah s_iy
i;13;what (is) the way for me;w_ah_t ih_z dh_ah w_ey f_ao_r m_iy
d;14;think that I want to be real;th_ih_ng_k dh_ae_t ay w_aa_n_t t_uw b_iy r_iy_l
f;15;when you say my name;w_eh_n y_uw s_ey m_ay n_ey_m
f;16;it doesnt feel the same;ih_t d_ah_z_ih_m_t f_iy_l dh_ah s_ey_m
i;17;(as) your tellin me;ae_z y_ao_r t_eh_l_iy_n m_iy
f;18;i know I may be lame;ay n_ow ay m_ey b_iy l_ey_m
f;19;i do not blame;ay d_uw n_ax_t b_l_ey_m
i;20;you for killing me;y_uw f_ao_r k_ih_l_ih_ng m_iy
l;21;its not you;ih_t_s n_ax_t y_uw
i;22;its not me;ih_t_s n_ax_t m_iy
e;23;its not them;ih_t_s n_ax_t dh_eh_m
m;24;were all the casualties;w_er ao_l dh_ah k_ae_zh_ah_w_ah_l_t_iy_z
d;25;fooled by a make believe;f_uw_l_d b_ay ah m_ey_k b_ah_l_iy_v
i;26;individuality;ih_n_d_ih_v_ih_jh_uw_ae_l_ah_t_iy
d;27;inside the heart (is) free;ih_n_s_ay_d dh_ah hh_aa_r_t ih_z f_r_iy
f;28;how does it feel to be afraid of being afraid;hh_aw d_ah_z ih_t f_iy_l t_uw b_iy ah_f_r_ey_d ah_v b_iy_ih_ng ah_f_r_ey_d
a;29;friends I have known have left me with no tongue;f_r_eh_n_d_z ay hh_ae_v n_ow_n hh_ae_v l_eh_f_t m_iy w_ih_dh n_ow t_ah_ng
f;30;feeling I have nothing to say;f_iy_l_ih_ng ay hh_ae_v n_ah_th_ih_ng t_uw s_ey
g;31;friends have come near;f_r_eh_n_d_z hh_ae_v k_ah_m n_ih_r
g;32;for reasons now unclear;f_ao_r r_iy_z_ah_n_z n_aw ah_n_k_l_ih_r
b;33;and left with me with a taste for what its like;ah_n_d l_eh_f_t w_ih_dh m_iy w_ih_dh ah t_ey_s_t f_ao_r w_ah_t ih_t_s l_ay_k
b;34;for what theyre like;f_ao_r w_ah_t r_er l_ay_k
h;35;i can-t be no one;ay k_ae_n_t b_iy n_ow w_ah_n
h;36;i can-t see no one;ay k_ae_n_t s_iy n_ow w_ah_n
i;37;do you follow me;d_uw y_uw f_aa_l_ow m_iy
h;38;i can-t touch no one;ay k_ae_n_t t_ah_ch n_ow w_ah_n
a;39;i can-t have no fun;ay k_ae_n_t hh_ae_v n_ow f_ah_n
i;40;do you follow me;d_uw y_uw f_aa_l_ow m_iy
b;41;cause Im blind;k_aa_z ih_m b_l_ay_n_d
b;42;in my mind;ih_n m_ay m_ay_n_d
c;43;and thats all;ah_n_d dh_ae_t_s ao_l
i;44;that anything means to me;dh_ae_t eh_n_iy_th_ih_ng m_iy_n_z t_uw m_iy
d;45;just how it seemed to be;jh_ah_s_t hh_aw ih_t s_iy_m_d t_uw b_iy
e;46;between the melody;b_ah_t_w_iy_n dh_ah m_eh_l_ah_d_iy
d;47;drive all em in into the sea;d_r_ay_v ao_l eh_m ih_n ih_n_t_uw dh_ah s_iy
h;48;what (is) the way for me;w_ah_t ih_z dh_ah w_ey f_ao_r m_iy
d;49;think that I want to be real;th_ih_ng_k dh_ae_t ay w_aa_n_t t_uw b_iy r_iy_l
