Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;look at the world around;l_uh_k ae_t dh_iy w_er_l_d er_aw_n
g;1;im such a shattered disappointment;ay_m s_ah_ch ah sh_ae_t_er_d d_ih_s_ah_p_oy_n_t_m_ah_n_t
h;2;and all the love Ive found could never be the love Ive wanted;ah_n_d ao_l dh_ah l_ah_v ay_v f_aw_n_d k_uh_d n_eh_v_er b_iy dh_ah l_ah_v ay_v w_oh_n_t_ih_d
b;3;and I know Im just afraid;ah_n_d ay n_ow ay_m jh_ah_s_t ah_f_r_ey_d
c;4;if theres a chance somehow that I could ever make this better;ah_f dh_eh_r_s ah ch_ae_n_s s_ah_m_hh_aw dh_ae_t ay k_uh_d eh_v_er m_ey_k dh_ih_s b_eh_t_er
c;5;give me the chance right now cause Ill be there till forever;g_ih_v m_iy dh_ah ch_ae_n_s r_ay_t n_aw k_aa_z ay_l b_iy dh_eh_r t_ih_l f_er_eh_v_er
i;6;and I know that Im just afraid that if I give you everything I have youll;ah_n_d ay n_ow dh_ae_t ay_m jh_ah_s_t ah_f_r_ey_d dh_ae_t ah_f ay g_ih_v y_uw eh_v_r_iy_th_ih_ng ay hh_ae_v y_uw_l
b;7;throw it all away;th_r_ow ih_t ao_l ah_w_ey
d;9;and Ill crawl right in through your window;ah_n_d ay_l k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
e;10;don-t say your sorry tell me something I don-t know;d_ow_n_t s_ey y_ao_r s_aa_r_iy t_eh_l m_iy s_ah_m_th_ih_ng ay d_ow_n_t n_ow
d;11;crawl right in through your window;k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
f;12;don-t say theres nothing wrong;d_ow_n_t s_ey dh_eh_r_z n_ah_th_ih_ng r_ao_ng
a;14;i take it all back now;ay t_ey_k ih_t ao_l b_ae_k n_aw
c;15;i have never felt much better;ay hh_ae_v n_eh_v_er f_eh_l_t m_ah_ch b_eh_t_er
d;16;and giving you up somehow has helped make things so much clearer;ah_n_d g_ih_v_ih_ng y_uw ah_p s_ah_m_hh_aw hh_ah_z hh_eh_l_p_t m_ey_k th_ih_ng_z s_ow m_ah_ch k_l_ih_r_er
b;17;and I know Im just afraid;ah_n_d ay n_ow ay_m jh_ah_s_t ah_f_r_ey_d
b;18;that if I give you everything I have youll throw it all away;dh_ae_t ah_f ay g_ih_v y_uw eh_v_r_iy_th_ih_ng ay hh_ae_v y_uw_l th_r_ow ih_t ao_l ah_w_ey
b;19;so Ill be brave yes Ill be brave;s_ow ay_l b_iy b_r_ey_v y_eh_s ay_l b_iy b_r_ey_v
d;21;and Ill right in through your window;ah_n_d ay_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
e;22;don-t say your sorry tell me something I don-t know;d_ow_n_t s_ey y_ao_r s_aa_r_iy t_eh_l m_iy s_ah_m_th_ih_ng ay d_ow_n_t n_ow
d;23;crawl right in through your window;k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
f;24;don-t say theres nothing wrong;d_ow_n_t s_ey dh_eh_r_z n_ah_th_ih_ng r_ao_ng
g;26;yes It-s okay that there (is) something to fix all that youve burned into my;y_eh_s ih_t_s ow_k_ey dh_ae_t dh_eh_r ih_z s_ah_m_th_ih_ng t_uw f_ih_k_s ao_l dh_ae_t y_uw_v b_er_n_d ih_n_t_uw m_ay
b;27;brain;b_r_ey_n
b;28;but its okay cause Ill be brave;b_ah_t ih_t_s ow_k_ey k_aa_z ay_l b_iy b_r_ey_v
b;29;but if you really need to get up there does he still know my name;b_ah_t ah_f y_uw r_ih_l_iy n_iy_d t_uw g_eh_t ah_p dh_eh_r d_ah_z hh_iy s_t_ih_l n_ow m_ay n_ey_m
b;30;ill be brave yes Ill be brave;ay_l b_iy b_r_ey_v y_eh_s ay_l b_iy b_r_ey_v
d;32;and Ill crawl right in through your window;ah_n_d ay_l k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
e;33;don-t say your sorry tell me something I don-t know;d_ow_n_t s_ey y_ao_r s_aa_r_iy t_eh_l m_iy s_ah_m_th_ih_ng ay d_ow_n_t n_ow
d;34;crawl right in through your window;k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
f;35;don-t say theres nothing wrong;d_ow_n_t s_ey dh_eh_r_z n_ah_th_ih_ng r_ao_ng
d;36;crawl right in through your window;k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
f;37;don-t say theres nothing wrong;d_ow_n_t s_ey dh_eh_r_z n_ah_th_ih_ng r_ao_ng
d;38;crawl right in through your window;k_r_ao_l r_ay_t ih_n th_r_uw y_ao_r w_ih_n_d_ow
f;39;don-t say theres nothing wrong;d_ow_n_t s_ey dh_eh_r_z n_ah_th_ih_ng r_ao_ng
