Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;0;look at you;l_uh_k ae_t y_uw
a;1;youre my dream;y_uw_r m_ay d_r_iy_m
a;2;are you all that you seem;aa_r y_uw ao_l dh_ae_t y_uw s_iy_m
a;3;now you have what I need;n_aw y_uw hh_ae_v w_ah_t ay n_iy_d
a;4;and what I believe;ah_n_d w_ah_t ay b_ah_l_iy_v
l;5;don-t tell me youll lose it;d_ow_n_t t_eh_l m_iy y_uw_l l_uw_z ih_t
a;6;cause Ill have to leave;k_aa_z ay_l hh_ae_v t_uw l_iy_v
b;8;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;9;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;10;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;11;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
m;13;what do I have to give;w_ah_t d_uw ay hh_ae_v t_uw g_ih_v
c;14;until you let me live;ah_n_t_ih_l y_uw l_eh_t m_iy l_ay_v
n;15;youre all that I work for;y_uw_r ao_l dh_ae_t ay w_er_k f_ao_r
d;16;but thats not enough;b_ah_t dh_ae_t_s n_ax_t ah_n_ah_f
i;17;do I have to die too;d_uw ay hh_ae_v t_uw d_ay t_uw
d;18;to show you my stuff;t_uw sh_ow y_uw m_ay s_t_ah_f
e;19;well I give you my best;w_eh_l ay g_ih_v y_uw m_ay b_eh_s_t
f;20;so why don-t you understand;s_ow w_ay d_ow_n_t y_uw ah_n_d_er_s_t_ae_n_d
e;21;im passing the biggest test;ay_m p_ae_s_ih_ng dh_ah b_ih_g_ah_s_t t_eh_s_t
c;22;so don-t cry;s_ow d_ow_n_t k_r_ay
f;23;lend a hand;l_eh_n_d ah hh_ae_n_d
b;25;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;26;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;27;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;28;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
c;30;head held high;hh_eh_d hh_eh_l_d hh_ay
f;31;heart in hand;hh_aa_r_t ih_n hh_ae_n_d
f;32;flesh and blood make a man;f_l_eh_sh ah_n_d b_l_ah_d m_ey_k ah m_ae_n
i;33;if that disappoints you;ah_f dh_ae_t d_ih_s_ah_p_oy_n_t_s y_uw
g;34;well what can I say;w_eh_l w_ah_t k_ah_n ay s_ey
o;35;i don-t want you to hurt;ay d_ow_n_t w_aa_n_t y_uw t_uw hh_er_t
g;36;i just want to play;ay jh_ah_s_t w_aa_n_t t_uw p_l_ey
b;38;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;39;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;40;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;41;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;42;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
p;43;no don-t let me;n_ow d_ow_n_t l_eh_t m_iy
b;44;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
h;45;no ohh;n_ow ow_ae
b;46;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;47;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
b;48;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
h;49;no no no no;n_ow n_ow n_ow n_ow
b;50;don-t let me down;d_ow_n_t l_eh_t m_iy d_aw_n
h;51;no ohh;n_ow ow_ae
