Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i ain-t no fuckin hood;ay ey_n_t n_ow f_ah_k_iy_n hh_uh_d
b;1;don-t call me brother;d_ow_n_t k_ao_l m_iy b_r_ah_dh_er
a;2;cos that ain-t no good;k_ao_s dh_ae_t ey_n_t n_ow g_uh_d
c;3;and got homies to call my own;ah_n_d g_aa_t hh_aa_m_ah_er_s t_ah k_ao_l m_ay ow_n
b;5;ain-t got no gun;ey_n_t g_aa_t n_ow g_ah_n
c;6;and I live at home;ah_n_d ay l_ay_v ae_t hh_ow_m
d;7;don-t call me home boy;d_ow_n k_ao_l m_iy hh_ow_m b_oy
e;8;i wear sharp threads;ay w_eh_r sh_aa_r_p th_r_eh_d_z
f;10;that much (is) true;dh_ae_t m_ah_ch ih_z t_r_uw
f;11;and I can-t rap and neither can you;ah_n_d ay k_ae_n_t r_ae_p ah_n_d n_ay_dh_er k_ae_n y_uw
c;12;im not down or fly or dope;ay_m n_ax_t d_aw_n ao_r f_l_ay ao_r d_ow_p
c;13;but I play metal and swing a rope;b_ah_t ay p_l_ey m_eh_t_ah_l ah_n_d s_w_ih_ng ah r_ow_p
d;15;don-t call me home boy;d_ow_n_t k_ao_l m_iy hh_ow_m b_oy
e;16;(yo-);y_ow_eh
