Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;the moon won-t glow here;dh_iy m_uw_n w_ow_n_t g_l_ow hh_ih_r
a;1;the wind won-t blow here;dh_ah w_ih_n_d w_ow_n_t b_l_ow hh_ih_r
a;2;i don-t wanna be here;ay d_ow_n_t w_aa_n_ah b_iy hh_ih_r
a;3;the sun won-t shine here;dh_ah s_ah_n w_ow_n_t sh_ay_n hh_ih_r
a;4;the earth won-t twine here;dh_ah er_th w_ow_n_t t_w_ay_n hh_ih_r
a;5;the rain won-t fall here;dh_ah r_ey_n w_ow_n_t f_aa_l hh_ih_r
a;6;i don-t wanna be here;ay d_ow_n_t w_aa_n_ah b_iy hh_ih_r
a;7;i can-t leave here;ay k_ae_n_t l_iy_v hh_ih_r
a;8;the clouds won-t come here;dh_ah k_l_aw_d_z w_ow_n_t k_ah_m hh_ih_r
a;9;the snow doesn-t fall here;dh_iy s_n_ow d_ah_z_n_t f_aa_l hh_ih_r
a;10;the ice doesn-t freeze here;dh_ah ay_s d_ah_z_n_t f_r_iy_z hh_ih_r
a;11;the moon won-t show here;dh_ah m_uw_n w_ow_n_t sh_ow hh_ih_r
a;12;the water doesn-t flow here;dh_ah w_ao_t_er d_ah_z_n_t f_l_ow hh_ih_r
a;13;the sun won-t glow here;dh_ah s_ah_n w_ow_n_t g_l_ow hh_ih_r
a;14;i don-t wanna be here;ay d_ow_n_t w_aa_n_ah b_iy hh_ih_r
a;15;i don-t wanna be here;ay d_ow_n_t w_aa_n_ah b_iy hh_ih_r
a;16;but I can-t leave here;b_ah_t ay k_ae_n_t l_iy_v hh_ih_r
b;18;sitting in a dark room;s_ih_t_ih_ng ih_n ah d_aa_r_k r_uw_m
d;19;wondering where you are;w_ah_n_d_er_ih_ng w_eh_r y_uw aa_r
e;20;longing for your touch;l_ao_ng_ih_ng f_ao_r y_ao_r t_ah_ch
b;21;i hope I see you soon;ay hh_ow_p ay s_iy y_uw s_uw_n
f;22;even if youre gone for a minute you know I still feel it that feeling that;iy_v_ah_n ah_f y_uw_r g_ao_n f_ao_r ah m_ih_n_ih_t y_uw n_ow ay s_t_ih_l f_iy_l ih_t dh_ae_t f_iy_l_ih_ng dh_ae_t
g;23;i miss you;ay m_ih_s y_uw
h;24;and every time that you cry I just wanna die;ah_n_d eh_v_er_iy t_ay_m dh_ae_t y_uw k_r_ay ay jh_ah_s_t w_aa_n_ah d_ay
g;25;i can-t believe that I hurt you;ay k_ae_n_t b_ah_l_iy_v dh_ae_t ay hh_er_t y_uw
c;26;i don-t like who I see;ay d_ow_n_t l_ay_k hh_uw ay s_iy
a;27;when I look into the mirror when I look into the mirror;w_eh_n ay l_uh_k ih_n_t_uw dh_ah m_ih_r_er w_eh_n ay l_uh_k ih_n_t_uw dh_ah m_ih_r_er
c;28;i don-t like just who I see I know just what I feel;ay d_ow_n_t l_ay_k jh_ah_s_t hh_uw ay s_iy ay n_ow jh_ah_s_t w_ah_t ay f_iy_l
