Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;watch my poster on the wall;w_aa_ch m_ay p_ow_s_t_er aa_n dh_iy w_ao_l
a;1;view my pictures on the magazines you store to have them all;v_y_uw m_ay p_ih_k_ch_er_z aa_n dh_iy m_ae_g_ah_z_iy_n_z y_uw s_t_ao_r t_ah hh_ae_v dh_ah_m ao_l
b;2;let me be your guiding light;l_eh_t m_iy b_iy y_uh_r g_ay_d_ih_ng l_ay_t
b;3;be the salt inside the wounds of your most ordinary life;b_iy dh_iy s_ao_l_t ih_n_s_ay_d dh_iy w_uw_n_d_z ah_v y_uh_r m_ow_s ao_r_d_ah_n_eh_r_iy l_ay_f
c;4;come closer what you want (is) what you see;k_ah_m k_l_ow_z_er hh_w_ah_t y_uw w_aa_n_t ah_z hh_w_ah_t y_uw s_iy
g;5;desire but you won-t dare talk to me;d_ah_z_ay_r b_ah_t y_uw w_ow_n_t d_eh_r t_ao_k t_uw m_iy
d;6;so pure a lie a hymn for the emotional man;s_ow p_y_uh_r ah l_ay ah hh_ih_m f_ao_r dh_ah ih_m_ow_sh_ax_n_l m_ae_n
h;7;so clean and shy get it while you can;s_ow k_l_iy_n ah_n_d sh_ay g_eh_t ih_t w_ay_l y_uw k_ah_n
c;8;and yes what I am (is) not what you see;ah_n_d y_eh_s w_ah_t ay ae_m ih_z n_ax_t w_ah_t y_uw s_iy
e;9;your interests somewhere else;y_ao_r ih_n_t_r_ah_s_t_s s_ah_m_w_eh_r eh_l_s
f;10;your carnal longings make you all the same;y_ao_r k_aa_r_n_ah_l l_ao_ng_ih_ng_z m_ey_k y_uw ao_l dh_ah s_ey_m
f;11;writing letters sending mails;r_ay_t_ih_ng l_eh_t_er_z s_eh_n_d_ih_ng m_ey_l_z
g;12;offering me your honest interest in whats inside of me;oh_f_ax_r_ih_ng m_iy y_ao_r aa_n_ah_s_t ih_n_t_r_ax_s_t ih_n w_ah_t_s ih_n_s_ay_d ah_v m_iy
a;13;no sins on your mind of course;n_ow s_ih_n_z aa_n y_ao_r m_ay_n_d ah_v k_ao_r_s
c;14;pretend to intellectualize another wasted girl resource;p_r_iy_t_eh_n_d t_uw ih_n_t_eh_l_ah_k_ch_uw_ah_l_ih2_z_z_er ah_n_ah_dh_er w_ey_s_t_ah_d g_er_l r_iy_s_ao_r_s
c;15;you tell me you knew what I need;y_uw t_eh_l m_iy y_uw n_uw w_ah_t ay n_iy_d
c;16;so sorry for the hypocrit I feed;s_ow s_aa_r_iy f_ao_r dh_ah hh_ih_p_ao_k_r_iy_t ay f_iy_d
d;17;so pure a lie a hymn for the emotional man;s_ow p_y_uh_r ey l_ay ah hh_ih_m f_ao_r dh_ah ih_m_ow_sh_ax_n_l m_ae_n
h;18;so clean and shy get it while you can;s_ow k_l_iy_n ah_n_d sh_ay g_eh_t ih_t w_ay_l y_uw k_ah_n
c;19;and yes what I am (is) not what you see;ah_n_d y_eh_s hh_w_ah_t ay ae_m ih_z n_ax_t w_ah_t y_uw s_iy
e;20;your interests somewhere else;y_ao_r ih_n_t_r_ah_s_t_s s_ah_m_w_eh_r eh_l_s
f;21;your carnal longings make you all the same;y_ao_r k_aa_r_n_ah_l l_ao_ng_ih_ng_z m_ey_k y_uw ao_l dh_ah s_ey_m
f;22;just a number in a game you tell me I had a name;jh_ah_s_t ah n_ah_m_b_er ih_n ey g_ey_m y_uw t_eh_l m_iy ay hh_ae_d ah n_ey_m
c;23;creation of an industry and not what you might think to see;k_r_iy_ey_sh_ah_n ah_v ae_n ih_n_d_ah_s_t_r_iy ah_n_d n_ax_t w_ah_t y_uw m_ay_t th_ih_ng_k t_uw s_iy
b;24;glorify an icons shrine whose image of me (is) not mine;g_l_ao_r_ah_f_ay ae_n ay_k_aa_n_z sh_r_ay_n hh_uw_z ih_m_ah_jh ah_v m_iy ih_z n_ax_t m_ay_n
i;25;not to save you from your mess tell you you may kiss;n_ax_t t_uw s_ey_v y_uw f_r_ah_m y_ao_r m_eh_s t_eh_l y_uw y_uw m_ey k_ih_s
d;26;so pure a lie a hymn for the emotional man;s_ow p_y_uh_r ah l_ay ah hh_ih_m f_ao_r dh_ah ih_m_ow_sh_ax_n_l m_ae_n
h;27;so clean and shy get it while you can;s_ow k_l_iy_n ah_n_d sh_ay g_eh_t ih_t w_ay_l y_uw k_ah_n
c;28;and yes what I am (is) not what you see;ah_n_d y_eh_s w_ah_t ay ae_m ih_z n_ax_t w_ah_t y_uw s_iy
d;29;so pure a lie a hymn for the emotional man;s_ow p_y_uh_r ah l_ay ah hh_ih_m f_ao_r dh_ah ih_m_ow_sh_ax_n_l m_ae_n
g;30;so clean and shy get it while you can;s_ow k_l_iy_n ah_n_d sh_ay g_eh_t ih_t w_ay_l y_uw k_ah_n
c;31;and yes what I am (is) not what you see;ah_n_d y_eh_s w_ah_t ay ae_m ih_z n_ax_t w_ah_t y_uw s_iy
e;32;your interests somewhere else;y_ao_r ih_n_t_r_ah_s_t_s s_ah_m_w_eh_r eh_l_s
f;33;your carnal longings make you all the same;y_ao_r k_aa_r_n_ah_l l_ao_ng_ih_ng_z m_ey_k y_uw ao_l dh_ah s_ey_m
