Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;are you awake yet;aa_r y_uw ah_w_ey_k y_eh_t
g;1;cause if theres a part of you thats working;k_aa_z ih_f dh_eh_r_s ah p_aa_r_t ah_v y_uw dh_ae_t_s w_er_k_ih_ng
b;2;theres a part of you that hasn-t sobered up;dh_eh_r_s ah p_aa_r_t ah_v y_uw dh_ae_t hh_ae_z_ah_n_t s_ow_b_er_d ah_p
c;3;in someone-s living room;ih_n s_ah_m_w_ah_n_z l_ih_v_ih_ng r_uw_m
h;4;ive only heard the coffee maker;ay_v ow_n_l_iy hh_er_d dh_ah k_aa_f_iy m_ey_k_er
i;5;someone-s car starting out there on the lawn;s_ah_m_w_ah_n_z k_aa_r s_t_aa_r_t_ih_ng aw_t dh_eh_r aa_n dh_ah l_ao_n
l;6;we haven-t seen the sunrise in twenty seven years;w_iy hh_ae_v_n_t s_iy_n dh_ah s_ah_n_r_ay_z ih_n t_w_eh_n_t_iy s_eh_v_ah_n y_ih_r_z
d;7;weve been waiting cornered like were animals;w_iy_v b_ih_n w_ey_t_ih_ng k_ao_r_n_er_d l_ay_k w_iy_r ae_n_ah_m_ah_l_z
c;8;in abandoned living rooms;ih_n ah_b_ae_n_d_ah_n_d l_ih_v_ih_ng r_uw_m_z
d;9;we don-t know what we can have;w_iy d_ow_n_t n_ow w_ah_t w_iy k_ah_n hh_ae_v
e;10;and what (is) saved for someone else who has a key;ah_n_d w_ah_t ih_z s_ey_v_d f_ao_r s_ah_m_w_ah_n eh_l_s hh_uw hh_ah_z ah k_iy
a;12;are you asleep yet;aa_r y_uw ah_s_l_iy_p y_eh_t
b;13;you can tell my ears aren-t burning all the quiet names made up to make us;y_uw k_ah_n t_eh_l m_ay ih_r_z aa_n_t b_er_n_ih_ng ao_l dh_ah k_w_ay_ah_t n_ey_m_z m_ey_d ah_p t_uw m_ey_k ah_s
d;14;laugh;l_ae_f
b;15;find us an apartment with enough outlets for all of us;f_ay_n_d y_uw_eh_s ae_n ah_p_aa_r_t_m_ah_n_t w_ih_dh ah_n_ah_f aw_t_l_eh_t_s f_ao_r ao_l ah_v ah_s
d;16;where we won-t wake up your kid or pets or dad;w_eh_r w_iy w_ow_n_t w_ey_k ah_p y_ao_r k_ih_d ao_r p_eh_t_s ao_r d_ae_d
e;17;this isn-t eating;dh_ih_s ih_z_n_t iy_t_ih_ng
e;18;we count dollar menu hunger (as) something that isn-t cold that we can eat;w_iy k_aw_n_t d_aa_l_er m_eh_n_y_uw hh_ah_ng_g_er ae_z s_ah_m_th_ih_ng dh_ae_t ih_z_n_t k_ow_l_d dh_ae_t w_iy k_ah_n iy_t
a;19;we aren-t broke yet;w_iy aa_n_t b_r_ow_k y_eh_t
f;20;but have to find a space between our bodies;b_ah_t hh_ae_v t_uw f_ay_n_d ah s_p_ey_s b_ah_t_w_iy_n aw_r b_aa_d_iy_z
e;21;find our minds and walk in off the street;f_ay_n_d aw_r m_ay_n_d_z ah_n_d w_ao_k ih_n ao_f dh_ah s_t_r_iy_t
f;23;were building our own caskets while our homes fall apart;w_iy_r b_ih_l_d_ih_ng aw_r ow_n k_ae_s_k_ah_t_s w_ay_l aw_r hh_ow_m_z f_aa_l ah_p_aa_r_t
d;24;tires tracking on your back;t_ay_er_z t_r_ae_k_ih_ng aa_n y_ao_r b_ae_k
b;25;can-t go home long enough;k_ae_n_t g_ow hh_ow_m l_ao_ng ah_n_ah_f
a;27;can I come home yet;k_ah_n ay k_ah_m hh_ow_m y_eh_t
g;28;the jokes are only jokes and every liar wants his own set of new eyes;dh_ah jh_ow_k_s aa_r ow_n_l_iy jh_ow_k_s ah_n_d eh_v_er_iy l_ay_er w_aa_n_t_s hh_ih_z ow_n s_eh_t ah_v n_y_uw ay_z
a;29;can I just leave again;k_ah_n ay jh_ah_s_t l_iy_v ah_g_eh_n
c;30;i kept my promises and all I did was read about the end of it on the news;ay k_eh_p_t m_ay p_r_aa_m_ah_s_ah_z ah_n_d ao_l ay d_ih_d w_ah_z r_iy_d ah_b_aw_t dh_ah eh_n_d ah_v ih_t aa_n dh_ah n_y_uw_z
