Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;it slips by without notice how you get by in life;ah_t s_l_ih_p_s b_ay w_ih_dh_aw_t n_ow_t_ah_s hh_aw y_uw g_ih_t b_ay ih_n_ch l_ay_f
a;1;then it hits you every now and then how swiftly time flies;dh_eh_n ah_t hh_ih_t_s y_uw eh_v_er_iy n_aw ah_n_d dh_eh_n hh_aw s_w_ih_f_t_l_iy t_ay_m f_l_ay_z
b;2;now I am a carpenter just like the father of my dear ol mum;n_aw ay ae_m ah k_aa_r_p_ah_n_t_er jh_ah_s_t l_ay_k dh_ah f_aa_dh_er ah_v m_ay d_ih_r ow_l m_ah_m
g;3;bout time I sharpened up and got my working class hero on;b_aw_t t_ay_m ay sh_aa_r_p_ah_n_d ah_p ah_n_d g_aa_t m_ay w_er_k_ih_ng k_l_ae_s hh_ih_r_ow aa_n
c;4;far from searching for that (glamour-life) and lavish;f_aa_r f_r_ah_m s_er_ch_ih_ng f_ao_r dh_ae_t g_l_ae_m_ax_l_ay_f ah_n_d l_ae_v_ih_sh
c;5;hard working swinging my hammer to get that cabbage;hh_aa_r_d w_er_k_ih_ng s_w_ih_ng_ih_ng m_ay hh_ae_m_er t_uw g_eh_t dh_ae_t k_ae_b_ah_jh
b;6;i rise before the sun;ay r_ay_z b_ah_f_ao_r dh_ah s_ah_n
b;7;eat a slice before I run;iy_t ah s_l_ay_s b_ah_f_ao_r ay r_ah_n
b;8;then drive sorta numb;dh_eh_n d_r_ay_v s_ao_r_t_ah n_ah_m
g;9;second I arrive the chores begun;s_eh_k_ah_n_d ay er_ay_v dh_ah ch_ao_r_z b_ih_g_ah_n
b;10;truck come dropping of a ton and you know its more to come;t_r_ah_k k_ah_m d_r_aa_p_ih_ng ah_v ah t_ah_n ah_n_d y_uw n_ow ih_t_s m_ao_r t_uw k_ah_m
g;11;carry the load by hand onto the racks we store it on;k_ae_r_iy dh_ah l_ow_d b_ay hh_ae_n_d aa_n_t_uw dh_ah r_ae_k_s w_iy s_t_ao_r ih_t aa_n
d;12;all weather we struggle hands get ruggid long;ao_l w_eh_dh_er w_iy s_t_r_ah_g_ah_l hh_ae_n_d_z g_eh_t r_ah_g_iy_d l_ao_ng
b;13;since lost track of how many times I struck my thumb;s_ih_n_s l_ao_s_t t_r_ae_k ah_v hh_aw m_eh_n_iy t_ay_m_z ay s_t_r_ah_k m_ay th_ah_m
h;14;lord knows those little nails can be troublesome;l_ao_r_d n_ow_z dh_ow_z l_ih_t_ah_l n_ey_l_z k_ah_n b_iy t_r_ah_b_ah_l_s_ah_m
g;15;hands sore get the lotion back to work after you rubbed it on;hh_ae_n_d_z s_ao_r g_eh_t dh_ah l_ow_sh_ah_n b_ae_k t_uw w_er_k ae_f_t_er y_uw r_ah_b_d ih_t aa_n
b;16;boss (is) on your back making shure the job gets done;b_ao_s ih_z aa_n y_ao_r b_ae_k m_ey_k_ih_ng sh_uh_r dh_ah jh_oh_b g_eh_t_s d_ah_n
d;17;till clock strikes half past three then Im up and gone;t_ih_l k_l_aa_k s_t_r_ay_k_s hh_ae_f p_ae_s_t th_r_iy dh_eh_n ay_m ah_p ah_n_d g_ao_n
e;19;at work we tend;ae_t w_er_k w_iy t_eh_n_d
c;20;to eat with dirty hands;t_uw iy_t w_ih_dh d_er_t_iy hh_ae_n_d_z
e;21;we need no charity we are sturdy men;w_iy n_iy_d n_ow ch_eh_r_ah_t_iy w_iy aa_r s_t_er_d_iy m_eh_n
i;22;we get up early and;w_iy g_eh_t ah_p er_l_iy ah_n_d
e;23;head off to earn our ends;hh_eh_d ao_f t_uw er_n aw_r eh_n_d_z
e;24;these girly trends;dh_iy_z g_er_l_iy t_r_eh_n_d_z
e;25;were not concerned with them;w_iy_r n_ax_t k_ah_n_s_er_n_d w_ih_dh dh_eh_m
e;26;x2;eh_k_s_ae
b;28;my boss he talks funny and fast like bugs bunny;m_ay b_ao_s hh_iy t_ao_k_s f_ah_n_iy ah_n_d f_ae_s_t l_ay_k b_ah_g_z b_ah_n_iy
b;29;im just happy to make a living thats not from drug money;ay_m jh_ah_s_t hh_ae_p_iy t_uw m_ey_k ah l_ih_v_ih_ng dh_ae_t_s n_ax_t f_r_ah_m d_r_ah_g m_ah_n_iy
c;30;we learn to lift with our legs heavy loads we carry;w_iy l_er_n t_uw l_ih_f_t w_ih_dh aw_r l_eh_g_z hh_eh_v_iy l_ow_d_z w_iy k_ae_r_iy
e;31;less talk save your breath rest only if necessary;l_eh_s t_ao_k s_ey_v y_ao_r b_r_eh_th r_eh_s_t ow_n_l_iy ah_f n_eh_s_ah_s_eh_r_iy
e;32;thats life in the profession of the most legendary;dh_ae_t_s l_ay_f ih_n dh_ah p_r_ah_f_eh_sh_ah_n ah_v dh_ah m_ow_s_t l_eh_jh_ah_n_d_eh_r_iy
e;33;man to ever tread this earth who showed us the very;m_ae_n t_uw eh_v_er t_r_eh_d dh_ih_s er_th hh_uw sh_ow_d ah_s dh_ah v_eh_r_iy
c;34;way but hey it ain-t always easy walking a narrow path;w_ey b_ah_t hh_ey ih_t ey_n_t ao_l_w_ey_z iy_z_iy w_ao_k_ih_ng ah n_eh_r_ow p_ae_th
c;35;some days the way colleges are talking arose your wrath;s_ah_m d_ey_z dh_ah w_ey k_aa_l_ih_jh_ah_z aa_r t_ao_k_ih_ng er_ow_z y_ao_r r_ae_th
c;36;you know they just gotta be running their mouth making you mad;y_uw n_ow dh_ey jh_ah_s_t g_aa_t_ah b_iy r_ah_n_ih_ng dh_eh_r m_aw_th m_ey_k_ih_ng y_uw m_ae_d
c;37;you know youre gonna wanna throw a fist straight to their gap;y_uw n_ow y_uw_r g_aa_n_ah w_aa_n_ah th_r_ow ah f_ih_s_t s_t_r_ey_t t_uw dh_eh_r g_ae_p
c;38;but I keep gritting my teeth keep taking their crap;b_ah_t ay k_iy_p g_r_ih_t_ih_ng m_ay t_iy_th k_iy_p t_ey_k_ih_ng dh_eh_r k_r_ae_p
l;39;these crackers gave me a go and Im mad grateful for that;dh_iy_z k_r_ae_k_er_z g_ey_v m_iy ah g_ow ah_n_d ay_m m_ae_d g_r_ey_t_f_ah_l f_r_er dh_ah_t
c;40;so I keep manning my post keep breaking my back;s_ow ay k_iy_p m_ae_n_ih_ng m_ay p_ow_s_t k_iy_p b_r_ey_k_ih_ng m_ay b_ae_k
m;41;im a earn every penny Im a keep stating the facts;ay_m ah er_n eh_v_er_iy p_eh_n_iy ay_m ah k_iy_p s_t_ey_t_ih_ng dh_ah f_ae_k_t_s
f;42;cause though the tongue seems so tiny among the limbs;k_aa_z dh_ow dh_ah t_ah_ng s_iy_m_z s_ow t_ay_n_iy ah_m_ah_ng dh_ah l_ih_m_z
f;43;its like a helm on big ships thats driven by strong winds;ih_t_s l_ay_k ah hh_eh_l_m aa_n b_ih_g sh_ih_p_s dh_ae_t_s d_r_ih_v_ah_n b_ay s_t_r_ao_ng w_ih_n_d_z
