Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;Eddie Vedders kinda sick;eh_d_iy V_er_d_ax_r_s k_ih_n_d_ah s_ih_k
b;1;they say hes got the flu;dh_ey s_ey hh_iy_s g_aa_t dh_ah f_l_uw
a;2;neil Young-s gonna sing;n_iy_l y_ah_ng_z g_aa_n_ah s_ih_ng
b;3;crowds gonna boo;k_r_aw_d_z g_aa_n_ah b_uw
c;4;gotta get their money back;g_aa_t_ah g_eh_t dh_eh_r m_ah_n_iy b_ae_k
d;5;got them in the mail;g_aa_t dh_eh_m ih_n dh_ah m_ey_l
c;6;got to give the tickets back;g_aa_t t_uw g_ih_v dh_ah t_ih_k_ah_t_s b_ae_k
d;7;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;8;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;9;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;10;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
b;11;summer-s gonna be cool;s_ah_m_er_z g_aa_n_ah b_iy k_uw_l
e;12;gonna play some shows;g_aa_n_ah p_l_ey s_ah_m sh_ow_z
f;13;gonna go on tour;g_aa_n_ah g_ow aa_n t_uh_r
e;14;hold my nose;hh_ow_l_d m_ay n_ow_z
c;15;gotta get their money back;g_aa_t_ah g_ih_t dh_eh_r m_ah_n_iy b_ae_k
d;16;got them in the mail;g_aa_t dh_ah_m ih_n_ch dh_iy m_ey_l
c;17;got to give the tickets back;g_aa_t t_ah g_ih_v dh_iy t_ih_k_ah_t_s b_ae_k
d;18;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;19;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;20;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
d;21;pearl Jam failed;p_er_l jh_ae_m f_ey_l_d
