Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;0;feel the warmth of the rays of light that shine upon you;f_iy_l dh_iy w_ao_r_m_th ah_v dh_iy r_ey_z ah_v l_ay_t dh_ah_t sh_ay_n ah_p_aa_n y_uw
a;1;feel your heart while the world feels like its falling apart;f_iy_l y_uh_r hh_aa_r_t hh_w_ay_l dh_iy w_er_l_d f_iy_l_z l_ay_k ih_t_s f_aa_l_ih_ng ah_p_aa_r_t
b;2;take my hand while the whole wide world it feels like drowning;t_ey_k m_ay hh_ae_n_d w_ay_l dh_ah hh_ow_l w_ay_d w_er_l_d ih_t f_iy_l_z l_ay_k d_r_aw_n_ih_ng
b;3;need you now;n_iy_d y_uw n_aw
a;5;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
a;6;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
a;7;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
c;8;feel the warmth of the rays of light that shine upon you;f_iy_l dh_ah w_ao_r_m_th ah_v dh_ah r_ey_z ah_v l_ay_t dh_ae_t sh_ay_n ah_p_aa_n y_uw
a;10;feel your heart while the world feels like its falling apart;f_iy_l y_ao_r hh_aa_r_t w_ay_l dh_ah w_er_l_d f_iy_l_z l_ay_k ih_t_s f_aa_l_ih_ng ah_p_aa_r_t
b;11;take my hand while the whole wide world it feels like drowning;t_ey_k m_ay hh_ae_n_d w_ay_l dh_ah hh_ow_l w_ay_d w_er_l_d ih_t f_iy_l_z l_ay_k d_r_aw_n_ih_ng
b;12;need you now;n_iy_d y_uw n_aw
a;13;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
a;15;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
a;16;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
a;17;don-t let it fall apart;d_ow_n_t l_eh_t ih_t f_aa_l ah_p_aa_r_t
