Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;uh Bitch I rhyme like im steve urkel;ah b_ih_ch ay r_ay_m l_ay_k ih_m s_t_iy_v er_k_ah_l
a;1;when I rhyme you ain-t gonna poke yo head out like a turtle;hh_w_ih_n ay r_ay_m y_uw ey_n_t g_aa_n_ah p_ow_k y_ow hh_eh_d aw_t l_ay_k ah t_er_t_ah_l
e;2;squirtle (is) gonna run from me;s_k_w_l_er ih_z g_aa_n_ah r_ah_n f_r_ah_m m_iy
b;3;cuz im ash ketchum in this bitch;k_ah_z ih_m ae_sh k_eh_ch_ah_m ih_n dh_ih_s b_ih_ch
b;4;i-ma leave all ya-ll pokemon in stitches;ay_m_ae l_iy_v ao_l y_aa_l p_ow_k_m_ow_n ih_n s_t_ih_ch_ah_z
c;5;then ima repair your pokeballs with wrenches;dh_eh_n ih_m_ah r_ah_p_eh_r y_ao_r p_ow_k_b_ae1_l_l_s w_ih_dh r_eh_n_ch_ah_z
c;6;brock (is) a fucking faggot and I said it so myself;b_r_aa_k ih_z ah f_ah_k_ih_ng f_ae_g_ah_t ah_n_d ay s_eh_d ih_t s_ow m_ay_s_eh_l_f
b;7;that black piece of shit couldn-t rap himself out of tinfoil;dh_ae_t b_l_ae_k p_iy_s ah_v sh_iy_t k_uh_d_n_t r_ae_p hh_ih_m_s_eh_l_f aw_t ah_v t_ih_n_f_oy_l
f;8;his mother (is) a fucking slut who (is) a cunt;hh_ih_z m_ah_dh_er ih_z ah f_ah_k_ih_ng s_l_ah_t hh_uw ih_z ah k_y_uw_n_iy_t
b;9;she can-t rap better than me unless her fucking name (is) Nicki;sh_iy k_ae_n_t r_ae_p b_eh_t_er dh_ae_n m_iy ah_n_l_eh_s hh_er f_ah_k_ih_ng n_ey_m ih_z n_ih_k_iy
b;10;im a raw lyricist better than hopsin bitch;ih_m ah r_aa l_ih_r_ah_s_ah_s_t b_eh_t_er dh_ae_n hh_aa_p_s_iy_n b_ih_ch
e;11;i-ma skin all the emcees trying to face me;ay_m_ae s_k_ih_n ao_l dh_ah eh_m_s_iy_s t_r_ay_ih_ng t_uw f_ey_s m_iy
d;12;Till they get a nose bleed from being in the sky seats;t_ih_l dh_ey g_eh_t ah n_ow_z b_l_iy_d f_r_ah_m b_iy_ih_ng ih_n dh_ah s_k_ay s_iy_t_s
c;13;looking down on me from heaven;l_uh_k_ih_ng d_aw_n aa_n m_iy f_r_ah_m hh_eh_v_ah_n
c;14;bitch Pakyed (is) fucking elven;b_ih_ch P_ah_k_iy_ax_d ih_z f_ah_k_ih_ng eh_l_v_z_n
b;15;and hes still queer;ah_n_d hh_eh s_t_ih_l k_w_ih_r
d;16;im gonna drive a john deer into a fucking tree;ih_m g_aa_n_ah d_r_ay_v ah jh_aa_n d_ih_r ih_n_t_uw ah f_ah_k_ih_ng t_r_iy
d;17;and then skin my fucking knee;ah_n_d dh_eh_n s_k_ih_n m_ay f_ah_k_ih_ng n_iy
