Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;when I wake up all I want (is) for him to take me away;hh_w_ih_n ay w_ey_k ah_p ao_l ay w_aa_n_t ah_z f_r_er ih_m t_ah t_ey_k m_iy ah_w_ey
a;1;to that incredible comfort zone inside that beautiful place;t_ah dh_ah_t ih_n_k_r_eh_d_ah_b_ah_l k_ah_m_f_er_t z_ow_n ih_n_s_ay_d dh_ah_t b_y_uw_t_ah_f_ah_l p_l_ey_s
e;2;its where I need to release tension so that I can feel brand new;ih_t_s w_eh_r ay n_iy_d t_uw r_iy_l_iy_s t_eh_n_sh_ah_n s_ow dh_ae_t ay k_ae_n f_iy_l b_r_ae_n_d n_y_uw
e;3;and reach that height that only one in this whole world can take me to;ah_n_d r_iy_ch dh_ah_t hh_ay_t dh_ah_t ow_n_l_iy w_ah_n ih_n dh_ih_s hh_ow_l w_er_l_d k_ah_n t_ey_k m_iy t_uw
f;5;all the time I want you baby all the time I need you honey all the time I;ao_l dh_ah t_ay_m ay w_aa_n_t y_uw b_ey_b_iy ao_l dh_ah t_ay_m ay n_iy_d y_uw hh_ah_n_iy ao_l dh_ah t_ay_m ay
b;6;gotta have you sugar;g_aa_t_ah hh_ae_v y_uw sh_uh_g_er
c;7;because Im addicted;b_ih_k_ao_z ay_m ah_d_ih_k_t_ah_d
g;8;allthe time I want you baby all the time I need you honey all the time I gotta;ao_l_dh_ah t_ay_m ay w_aa_n_t y_uw b_ey_b_iy ao_l dh_ah t_ay_m ay n_iy_d y_uw hh_ah_n_iy ao_l dh_ah t_ay_m ay g_aa_t_ah
b;9;have you sugar;hh_ae_v y_uw sh_uh_g_er
h;10;it belongs to me;ih_t b_ah_l_ao_ng_z t_uw m_iy
h;12;im fanatically addicted see the way that he be loving me;ay_m f_ah_n_ae_t_ih_k_ah_l_iy ah_d_ih_k_t_ah_d s_iy dh_ah w_ey dh_ae_t hh_iy b_iy l_ah_v_ih_ng m_iy
d;13;its like a drug or sokme bad habit;ih_t_s l_ay_k ah d_r_ah_g ao_r s_m_er b_ae_d hh_ae_b_ah_t
i;14;since its mine I got to have it;s_ih_n_s ih_t_s m_ay_n ay g_aa_t t_uw hh_ae_v ah_t
i;16;feels like like ive never had it right;f_iy_l_z l_ay_k l_ay_k ay_v n_eh_v_er hh_ae_d ih_t r_ay_t
c;17;cuz before this;k_ah_z b_ah_f_ao_r dh_ih_s
a;18;there was so much emotional pain nothing positive to gain;dh_eh_r w_ah_z s_ow m_ah_ch ih_m_ow_sh_ax_n_l p_ey_n n_ah_th_ih_ng p_aa_z_ah_t_ih_v t_uw g_ey_n
l;19;but im loved full and completely now;b_ah_t ih_m l_ah_v_d f_uh_l ah_n_d k_ah_m_p_l_iy_t_l_iy n_aw
m;20;not just a physical thang;n_ax_t jh_ah_s_t ah f_ih_z_ih_k_ah_l dh_ae_n_b
e;21;but its something spiritual;b_ah_t ih_t_s s_ah_m_th_ih_ng s_p_ih_r_ih_ch_ah_w_ah_l
d;23;i just got to have it Ii-m a fanatic;ay jh_ah_s_t g_aa_t t_ah hh_ae_v ah_t I_m_iy ey f_ah_n_ae_t_ih_k
d;24;i just got to hav it im a fanatic;ay jh_ah_s_t g_aa_t t_ah hh_aa_v ah_t ih_m ey f_ah_n_ae_t_ih_k
d;25;i just got to have it im a fanatic;ay jh_ah_s_t g_aa_t t_uw hh_ae_v ah_t ih_m ey f_ah_n_ae_t_ih_k
d;26;i just got ot hae it im a fanatic;ay jh_ah_s_t g_aa_t ao_t hh_aa_er ih_t ih_m ah f_ah_n_ae_t_ih_k
