Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;what makes them walk away after all these years;w_ah_t m_ey_k_s dh_eh_m w_ao_k ah_w_ey ae_f_t_er ao_l dh_iy_z y_er_z
a;1;these years are learning it the hard way by the lessons from the tears;dh_iy_z y_ih_r_z aa_r l_er_n_ih_ng ih_t dh_ah hh_aa_r_d w_ey b_ay dh_ah l_eh_s_ah_n_z f_r_ah_m dh_ah t_eh_r_z
b;2;i know its not a game;ay n_ow ih_t_s n_ax_t ah g_ey_m
b;3;but it feels like losing when someone you love throws you away;b_ah_t ih_t f_iy_l_z l_ay_k l_uw_z_ih_ng w_eh_n s_ah_m_w_ah_n y_uw l_ah_v th_r_ow_z y_uw ah_w_ey
f;4;id fix it;ay_d f_ih_k_s ah_t
g;5;id fix it;ay_d f_ih_k_s ih_t
g;6;id fix it;ay_d f_ih_k_s ih_t
c;7;id fix it if I could;ay_d f_ih_k_s ih_t ah_f ay k_uh_d
d;8;and Id always win;ah_n_d ay_d ao_l_w_ey_z w_ih_n
d;9;id always win;ay_d ao_l_w_iy_z w_ih_n
a;10;id always win in the end;ay_d ao_l_w_ey_z w_ih_n ih_n dh_ah eh_n_d
b;12;how easy was it for you making those plans you made;hh_aw iy_z_iy w_ah_z ih_t f_ao_r y_uw m_ey_k_ih_ng dh_ow_z p_l_ae_n_z y_uw m_ey_d
d;13;before I became someone for you you know to dislocate;b_ah_f_ao_r ay b_ih_k_ey_m s_ah_m_w_ah_n f_ao_r y_uw y_uw n_ow t_uw d_ih_s_l_ow_k_ey_t
b;14;but I know its not a game;b_ah_t ay n_ow ih_t_s n_ax_t ah g_ey_m
b;15;but if feels like losing when someone you love throws you away;b_ah_t ah_f f_iy_l_z l_ay_k l_uw_z_ih_ng w_eh_n s_ah_m_w_ah_n y_uw l_ah_v th_r_ow_z y_uw ah_w_ey
g;16;id fix it;ay_d f_ih_k_s ih_t
g;17;id fix it;ay_d f_ih_k_s ih_t
f;18;id fix it;ay_d f_ih_k_s ah_t
c;19;id fix it if I could;ay_d f_ih_k_s ih_t ah_f ay k_uh_d
d;20;and Id always win;ah_n_d ay_d ao_l_w_ey_z w_ih_n
d;21;id always win;ay_d ao_l_w_ey_z w_ih_n
h;22;and youd always lose;ah_n_d y_uw_d ao_l_w_ey_z l_uw_z
i;24;look what I did to you;l_uh_k w_ah_t ay d_ih_d t_uw y_uw
l;25;look what you did to me;l_uh_k w_ah_t y_uw d_ih_d t_uw m_iy
g;26;fix it;f_ih_k_s ih_t
e;27;fix it;f_ih_k_s ih_t
c;28;id fix it if I could;ay_d f_ih_k_s ih_t ah_f ay k_uh_d
d;29;and Id always win;ah_n_d ay_d ao_l_w_ey_z w_ih_n
d;30;id always win;ay_d ao_l_w_ey_z w_ih_n
a;31;id always win in the end;ay_d ao_l_w_ey_z w_ih_n ih_n dh_ah eh_n_d
