Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
o;0;my notepad (is) my Android no pen and paper Im doing me;m_ay n_ao_t_er_p_ax_d ah_z m_ay ae_n_d_r_oy_d n_ow p_eh_n ah_n_d p_ey_p_er ay_m d_uw_ih_ng m_iy
a;1;thinking bout my pretty young thang In Dallas TX off Abrams street;th_ih_ng_k_ah_ng b_aw_t m_ay p_r_ih_t_iy y_ah_ng dh_ae_n_b ih_n d_ae_l_ah_s  ao_f ey_b_r_ah_m_z s_t_r_iy_t
b;2;i miss her no laddie I touch back down this afternoon;ay m_ih_s hh_er n_ow l_ae_d_d_ay ay t_ah_ch b_ae_k d_aw_n dh_ih_s ae_f_t_er_n_uw_n
b;3;im a gangsta so in the bedroom we make movies;ay_m ah g_ae_ng_s_t_ah s_ow ih_n dh_ah b_eh_d_r_uw_m w_iy m_ey_k m_uw_v_iy_z
p;5;and I be doing freaky thangs to you freaky thangs to you;ah_n_d ay b_iy d_uw_ih_ng f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw
o;6;doing freaky thangs to you don-t you tell them squares ‘  bout me;d_uw_ih_ng f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw d_ow_n_t y_uw t_eh_l dh_eh_m s_k_w_eh_r_z  ah_ae b_aw_t m_iy
p;7;doing freaky thangs to you freaky thangs to you;d_uw_ih_ng f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw
o;8;doing freaky thangs to you don-t you tell them squares ‘  bout me;d_uw_ih_ng f_r_iy_k_iy dh_ae_n_b_s t_uw y_uw d_ow_n_t y_uw t_eh_l dh_eh_m s_k_w_eh_r_z  ah_ae b_aw_t m_iy
c;10;doing freaky thangs to you don-t you tell nobody baby;d_uw_ih_ng f_r_iy_k_iy dh_ae_n_b_s t_ah y_uw d_ow_n y_uw t_eh_l n_ow_b_ah_d_iy b_ey_b_iy
d;11;they gone be jealous than a mug mug;dh_ey g_ao_n b_iy jh_eh_l_ah_s dh_ah_n ey m_ah_g m_ah_g
c;12;starting at the top and work my way down to the bottom baby;s_t_aa_r_t_ih_ng ae_t dh_iy t_aa_p ah_n_d w_er_k m_ay w_ey d_aw_n t_uw dh_ah b_aa_t_ah_m b_ey_b_iy
d;13;they know Im thugging like a mug mug;dh_ey n_ow ay_m th_ah_g_jh_ih1_n_g l_ay_k ey m_ah_g m_ah_g
e;15;right or wrong every night;r_ay_t er r_ao_ng eh_v_er_iy n_ay_t
e;16;give it to me Like I like;g_ih_v ih_t t_uw m_iy l_ay_k ay l_ay_k
f;17;i ain-t going no where them other girls squares;ay ey_n_t g_ow_ah_n n_ow hh_w_eh_r dh_ah_m ah_dh_er g_er_l_z s_k_w_eh_r_z
f;18;you got that fire they just got air;y_uw g_aa_t dh_ah_t f_ay_er dh_ey jh_ah_s_t g_aa_t eh_r
q;20;we do thangs they don-t do thangs we go together like shoe strangs;w_iy d_uw dh_ae_n_b_s dh_ey d_ow_n d_uw dh_ae_n_b_s w_iy g_ow t_ah_g_eh_dh_er l_ay_k sh_uw s_t_r_ae_ng_z
r;21;whats 2 Chainz without 2 chainz so proud 2 make you my boo thang;w_ah_t_s ah_ae C_hh_ae_ax_n_z w_ih_th_aw_t ah_ae ch_ey_n_z s_ow p_r_aw_d ah_ae m_ey_k y_uw m_ay b_uw dh_ae_n_b
f;22;got a young player straight thinking bout marriage;g_aa_t ah y_ah_ng p_l_ey_er s_t_r_ey_t th_ih_ng_k_ah_ng b_aw_t m_eh_r_ih_jh
g;23;fairy tale wedding with a horse and carriage;f_eh_r_iy t_ey_l w_eh_d_ih_ng w_ih_dh ah hh_ao_r_s ah_n_d k_ae_r_ih_jh
g;25;and you want that Im a buy that;ah_n_d y_uw w_aa_n_t dh_ae_t ay_m ah b_ay dh_ae_t
g;26;and I ain-t know you deserve that;ah_n_d ay ey_n_t n_ow y_uw d_ah_z_er_v dh_ae_t
h;27;baby daddy did you wrong;b_ey_b_iy d_ae_d_iy d_ih_d y_uw r_ao_ng
h;28;bet he wish he had you when he hear this song;b_eh_t hh_iy w_ih_sh hh_iy hh_ae_d y_uw w_eh_n hh_iy hh_ih_r dh_ih_s s_ao_ng
i;30;she scream my name like Mike Jones;sh_iy s_k_r_iy_m m_ay n_ey_m l_ay_k m_ay_k jh_ow_n_z
i;31;i beat it up like Bone bone;ay b_iy_t ih_t ah_p l_ay_k b_ow_n b_ow_n
l;32;insecurities so scarred;ih_n_s_ah_k_y_uh_r_ah_t_iy_z s_ow s_k_aa_r_d
i;33;females she don-t trust none;f_iy_m_ey_l_z sh_iy d_ow_n_t t_r_ah_s_t n_ah_n
g;35;i understand but Im still a man;ay ah_n_d_er_s_t_ae_n_d b_ah_t ay_m s_t_ih_l ah m_ae_n
g;36;with my pimp juice and my gift of gab;w_ih_dh m_ay p_ih_m_p jh_uw_s ah_n_d m_ay g_ih_f_t ah_v g_ae_b
g;37;i turn heads on accident;ay t_er_n hh_eh_d_z aa_n ae_k_s_ah_d_ah_n_t
g;38;birds of a feather so immaculate;b_er_d_z ah_v ah f_eh_dh_er s_ow ih_m_ae_k_y_uw_l_ah_t
o;40;im taking trips she believe in me;ay_m t_ey_k_ih_ng t_r_ih_p_s sh_iy b_ah_l_iy_v ih_n m_iy
