Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;the impossible (is) out the way;dh_iy ih_m_p_aa_s_ah_b_ah_l ah_z aw_t dh_iy w_ey
a;1;impeccable (is) how I stay;ih_m_p_eh_k_ah_b_ah_l ah_z hh_aw ay s_t_ey
h;2;got them clear vocals now;g_aa_t dh_ah_m k_l_ih_r v_ow_k_ah_l_z n_aw
a;3;call my flow that blue ray;k_ao_l m_ay f_l_ow dh_ah_t b_l_uw r_ey
a;4;whoo ray (is) wat I say;hh_uw_oh r_ey ah_z w_ao_t ay s_ey
b;5;kick y-all out like mma;k_ih_k y_ao_l aw_t l_ay_k m_ah_d_ae_m_ae
i;6;im jus playin wit yall lives;ih_m jh_uw_s p_l_ey_iy_n w_ih_t y_ey_l_l l_ay_v_z
c;7;this the hip hop Doomsday;dh_ah_s dh_iy hh_ih_p hh_aa_p d_uw_m_z_d_ey
d;8;steamin like cappuccinos;s_t_iy_m_iy_n l_ay_k k_ae_p_uw_ch_iy_n_ow_z
d;9;u actin like al Pacino;ih_k ae_k_t_ah_n l_ay_k ae_l p_ah_s_iy_n_ow
d;10;pass the mic no Dan Marino;p_ae_s dh_iy m_ih_k n_ow d_ae_n m_er_iy_n_ow
l;11;flow hotter than jalapeños;f_l_ow hh_aa_t_er dh_ah_n 
d;12;gotta homeboy thats filipino;g_aa_t_ah hh_ow_m_b_oy dh_ae_t_s f_ih_l_ah_p_iy_n_ow
d;13;jus chillin wit a kid thats Latino;jh_uw_s ch_ih_l_iy_m w_ih_t ah k_ih_d dh_ae_t_s l_aa_t_iy_n_ow
d;14;n wildish like casinos;eh_n w_ay_l_d_ih_sh l_ay_k k_ah_s_iy_n_ow_z
d;15;im childish like Gambino;ay_m ch_ay_l_d_ih_sh l_ay_k g_ae_m_b_iy_n_ow
b;16;go harder than counters granite;g_ow hh_aa_r_d_er dh_ae_n k_aw_n_t_er_z g_r_ae_n_ah_t
b;17;a Monster upon my planet;ah m_aa_n_s_t_er ah_p_aa_n m_ay p_l_ae_n_ah_t
b;18;the realest youngin god dammit;dh_ah r_iy_l_st y_ah_n_jh_ih_n g_aa_d d_ae_m_ih_t
m;19;the Kidd that hataz can-t stand it;dh_ah k_ih_d dh_ae_t hh_aa_t_ah_z k_ae_n_t s_t_ae_n_d ih_t
e;20;like wheelchairs I don-t care;l_ay_k w_iy_l_ch_eh_r_z ay d_ow_n_t k_eh_r
e;21;came in the game n it wasn-t fair;k_ey_m ih_n dh_ah g_ey_m eh_n ih_t w_oh_z_n_t f_eh_r
e;22;took em out like my name was nair;t_uh_k eh_m aw_t l_ay_k m_ay n_ey_m w_ah_z n_eh_r
e;23;im the one there ain-t no pair;ay_m dh_ah w_ah_n dh_eh_r ey_n_t n_ow p_eh_r
f;24;money like metropolis;m_ah_n_iy l_ay_k m_ah_t_r_aa_p_ah_l_ah_s
f;25;essential like Im phosphorus;ih_s_eh_n_sh_l l_ay_k ay_m f_aa_s_f_er_ah_s
f;26;im popping off the top of this esophagus;ay_m p_aa_p_ih_ng ao_f dh_ah t_aa_p ah_v dh_ih_s ah_s_aa_f_ah_g_ah_s
g;27;really ain-t no stopping this;r_ih_l_iy ey_n_t n_ow s_t_aa_p_ih_ng dh_ih_s
f;28;that ideas preposterous;dh_ae_t ay_d_iy_ah_z p_r_ah_p_aa_s_t_er_ah_s
f;29;we are not synonymous;w_iy aa_r n_ax_t s_ah_n_aa_n_ah_m_ah_s
