Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;you used to wake me with a smile on your face;y_uw y_uw_z_d t_ah w_ey_k m_iy w_ah_dh ey s_m_ay_l aa_n y_uh_r f_ey_s
f;1;each morning lieing next to you;iy_ch m_ao_r_n_ih_ng l_ay_ih_ng n_eh_k_s t_ah y_uw
a;2;now we don-t talk cause you have nothing to say;n_aw w_iy d_ow_n t_ao_k k_aa_z y_uw hh_ae_v n_ah_th_ih_ng t_ah s_ey
g;3;so sad;s_ow s_ae_d
h;4;wish I could help see you through Well;w_ih_sh ay k_uh_d hh_eh_l_p s_iy y_uw th_r_uw w_eh_l
b;6;wish time could stand still so you don-t feel left behind;w_ih_sh t_ay_m k_uh_d s_t_ae_n_d s_t_ih_l s_ow y_uw d_ow_n_t f_iy_l l_eh_f_t b_ah_hh_ay_n_d
b;7;you never thought youd find;y_uw n_eh_v_er th_ao_t y_uw_d f_ay_n_d
c;8;yards of broken;y_aa_r_d_z ah_v b_r_ow_k_ah_n
d;9;torn apart;t_ao_r_n ah_p_aa_r_t
e;10;i know theyre be times of rain those are the days that I want to give in;ay n_ow dh_ey_r b_iy t_ay_m_z ah_v r_ey_n dh_ow_z aa_r dh_ah d_ey_z dh_ae_t ay w_aa_n_t t_uw g_ih_v ih_n
a;11;ill be your friend through the cloudy days;ay_l b_iy y_uh_r f_r_eh_n_d th_r_uw dh_iy k_l_aw_d_iy d_ey_z
e;12;don-t be ashamed I won-t let you give in;d_ow_n b_iy ah_sh_ey_m_d ay w_ow_n_t l_eh_t y_uw g_ih_v ih_n
i;14;sometimes I wish you could say all the things you want me to be;s_ah_m_t_ay_m_z ay w_ih_sh y_uw k_uh_d s_ey ao_l dh_ah th_ih_ng_z y_uw w_aa_n_t m_iy t_uw b_iy
b;15;but every day that that you cry;b_ah_t eh_v_er_iy d_ey dh_ah_t dh_ah_t y_uw k_r_ay
l;16;(is) a day that goes by;ah_z ey d_ey dh_ah_t g_ow_z b_ay
i;17;and youre slipping away from me;ah_n_d y_uw_r s_l_ih_p_ih_ng ah_w_ey f_r_ah_m m_iy
b;19;wish time could stand still so you don-t feel left behind;w_ih_sh t_ay_m k_uh_d s_t_ae_n_d s_t_ih_l s_ow y_uw d_ow_n_t f_iy_l l_eh_f_t b_ah_hh_ay_n_d
c;20;you never thought youd find youre so broken;y_uw n_eh_v_er th_ao_t y_uw_d f_ay_n_d y_uw_r s_ow b_r_ow_k_ah_n
d;21;torn apart;t_ao_r_n ah_p_aa_r_t
e;22;i know theyre be times of rain those are the days that I want to give in;ay n_ow dh_ey_r b_iy t_ay_m_z ah_v r_ey_n dh_ow_z aa_r dh_ah d_ey_z dh_ae_t ay w_aa_n_t t_uw g_ih_v ih_n
a;23;ill be your friend through the cloudy days;ay_l b_iy y_ao_r f_r_eh_n_d th_r_uw dh_ah k_l_aw_d_iy d_ey_z
e;24;don-t be ashamed I won-t let you give in;d_ow_n_t b_iy ah_sh_ey_m_d ay w_ow_n_t l_eh_t y_uw g_ih_v ih_n
f;26;hey love Ive been meaning to call you;hh_ey l_ah_v ay_v b_ih_n m_iy_n_ih_ng t_uw k_ao_l y_uw
d;27;it seem the stress of life put cracks in your armor;ih_t s_iy_m dh_ah s_t_r_eh_s ah_v l_ay_f p_uh_t k_r_ae_k_s ih_n y_ao_r aa_r_m_er
m;28;but you do it because it has to be done;b_ah_t y_uw d_uw ih_t b_ih_k_ao_z ih_t hh_ah_z t_uw b_iy d_ah_n
d;29;although the faster you run your destination gets farther;ao_l_dh_ow dh_ah f_ae_s_t_er y_uw r_ah_n y_ao_r d_eh_s_t_ah_n_ey_sh_ah_n g_eh_t_s f_aa_r_dh_er
d;30;i wish I take away you problems with a drop;ay w_ih_sh ay t_ey_k ah_w_ey y_uw p_r_aa_b_l_ah_m_z w_ih_dh ah d_r_aa_p
n;31;of a dime and say its all good but its not;ah_v ey d_ay_m ah_n_d s_ey ih_t_s ao_l g_uh_d b_ah_t ah_t_s n_ax_t
f;32;your dreams get undermined accounts get overdrawn;y_ao_r d_r_iy_m_z g_eh_t ah_n_d_er_m_ay_n_d ah_k_aw_n_t_s g_eh_t ow_v_er_d_r_ao_n
d;33;no matter the case girl Im waiting with open arms;n_ow m_ae_t_er dh_ah k_ey_s g_er_l ay_m w_ey_t_ih_ng w_ih_dh ow_p_ah_n aa_r_m_z
e;35;i know theyre be times of rain those are the days that I want to give in;ay n_ow dh_ey_r b_iy t_ay_m_z ah_v r_ey_n dh_ow_z aa_r dh_ah d_ey_z dh_ae_t ay w_aa_n_t t_uw g_ih_v ih_n
a;36;ill be your friend through the cloudy days;ay_l b_iy y_ao_r f_r_eh_n_d th_r_uw dh_ah k_l_aw_d_iy d_ey_z
a;37;don-t be ashamed;d_ow_n_t b_iy ah_sh_ey_m_d
e;38;i won-t let you give in;ay w_ow_n_t l_eh_t y_uw g_ih_v ih_n
