Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;see our traces through the times;s_iy aa_r t_r_ey_s_ah_z th_r_uw dh_iy t_ay_m_z
b;1;with fire and the Ten Commandments;w_ah_dh f_ay_r ah_n_d dh_iy t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;2;let us follow the golden signs;l_eh_t y_uw_eh_s f_aa_l_ow dh_iy g_ow_l_d_ah_n s_ay_n_z
c;3;Till we reach the end of this world;t_ih_l w_iy r_iy_ch dh_iy eh_n_d ah_v dh_ah_s w_er_l_d
a;5;the sun (is) burning from the sky;dh_iy s_ah_n ah_z b_er_n_ih_ng f_er_m dh_iy s_k_ay
h;6;heat distorts illusions of the waterline;hh_iy_t d_ih_s_t_ao_r_t_s ih_l_uw_zh_ah_n_z ah_v dh_iy w_ao_t_er_ha_l_ay_n
d;7;salty flavor a companion through our dreams;s_ao_l_t_iy f_l_ey_v_er ey k_ah_m_p_ae_n_y_ah_n th_r_uw aa_r d_r_iy_m_z
i;8;for the search to the land of the golden sins;f_r_er dh_iy s_er_ch t_ah dh_iy l_ae_n_d ah_v dh_iy g_ow_l_d_ah_n s_ih_n_z
e;10;the waves pound against the bow;dh_iy w_ey_v_z p_aw_n_d ah_g_eh_n_s_t dh_iy b_aw
f;11;you feel a boney hand on your throat;y_uw f_iy_l ey b_ow_n_iy hh_ae_n_d aa_n y_ao_r th_r_ow_t
d;12;water (as) far (as) your eyes can see;w_ao_t_er ae_z f_aa_r ae_z y_ao_r ay_z k_ah_n s_iy
d;13;please God show us the land of the free;p_l_iy_z g_aa_d sh_ow ah_s dh_ah l_ae_n_d ah_v dh_ah f_r_iy
a;15;see our traces through the times;s_iy aw_r t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;16;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;17;let us follow the golden signs;l_eh_t ah_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
c;18;Till we reach the end of this world;t_ih_l w_iy r_iy_ch dh_ah eh_n_d ah_v dh_ih_s w_er_l_d
a;20;see our traces through the times;s_iy aw_r t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;21;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;22;let us follow the golden signs;l_eh_t ah_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
c;23;Till we reach the end of this world;t_ih_l w_iy r_iy_ch dh_ah eh_n_d ah_v dh_ih_s w_er_l_d
l;25;we are the divine deliverers;w_iy aa_r dh_ah d_ih_v_ay_n d_ah_l_ih_v_er_er_z
f;26;far away from home;f_aa_r ah_w_ey f_r_ah_m hh_ow_m
h;27;we bring sickness death destruction;w_iy b_r_ih_ng s_ih_k_n_ah_s d_eh_th d_ah_s_t_r_ah_k_sh_ah_n
m;28;in the name of god;ih_n dh_ah n_ey_m ah_v g_aa_d
e;29;the mercyful god and the crown;dh_ah m_er_s_iy_f_uh_l g_aa_d ah_n_d dh_ah k_r_aw_n
a;31;in the shadows of these holy lies;ih_n dh_ah sh_ae_d_ow_z ah_v dh_iy_z hh_ow_l_iy l_ay_z
a;32;demand salvation a treacherous price;d_ih_m_ae_n_d s_ae_l_v_ey_sh_ah_n ah t_r_eh_ch_er_ah_s p_r_ay_s
g;33;under this command;ah_n_d_er dh_ih_s k_ah_m_ae_n_d
g;34;we lay your fate in devil-s hand;w_iy l_ey y_ao_r f_ey_t ih_n d_eh_v_ah_l_z hh_ae_n_d
a;36;see our traces through the times;s_iy aw_r t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;37;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;38;let us follow the golden signs;l_eh_t ah_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
c;39;Till we reach the end of this world;t_ih_l w_iy r_iy_ch dh_ah eh_n_d ah_v dh_ih_s w_er_l_d
a;41;see our traces through the times;s_iy aw_r t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;42;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;43;let us follow the golden signs;l_eh_t ah_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
c;44;Till we reach the end of this world;t_ih_l w_iy r_iy_ch dh_ah eh_n_d ah_v dh_ih_s w_er_l_d
a;46;see our traces traces through the times;s_iy aw_r t_r_ey_s_ah_z t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;47;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;48;lets follow the golden signs;w_iy_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
a;50;see our traces traces through the times;s_iy aw_r t_r_ey_s_ah_z t_r_ey_s_ah_z th_r_uw dh_ah t_ay_m_z
b;51;with fire and the Ten Commandments;w_ih_dh f_ay_er ah_n_d dh_ah t_eh_n k_ah_m_ae_n_d_m_ah_n_t_s
a;52;lets follow the golden signs;w_iy_s f_aa_l_ow dh_ah g_ow_l_d_ah_n s_ay_n_z
c;53;Till the end of the world;t_ih_l dh_ah eh_n_d ah_v dh_ah w_er_l_d
