Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;goodbye no use leading with our chins;g_uh_d_b_ay n_ow y_uw_s l_iy_d_ih_ng w_ah_dh aa_r ch_ih_n_z
b;1;this (is) where our story ends;dh_ah_s ah_z hh_w_eh_r aa_r s_t_ao_r_iy eh_n_d_z
b;2;never lovers ever friends;n_eh_v_er l_ah_v_er_z eh_v_er f_r_eh_n_d_z
c;3;goodbye let our hearts call it a day;g_uh_d_b_ay l_eh_t aa_r hh_aa_r_t_s k_ao_l ah_t ey d_ey
c;4;but before you walk away;b_ah_t b_iy_f_ao_r y_uw w_ao_k ah_w_ey
c;5;i sincerely want to say;ay s_ih_n_s_ih_r_l_iy w_aa_n_t t_ah s_ey
d;6;goodbye bye;g_uh_d_b_ay b_ay
d;7;goodbye;g_uh_d_b_ay
d;8;goodbye bye;g_uh_d_b_ay b_ay
d;9;goodbye;g_uh_d_b_ay
c;11;you told me that I was crazy;y_uw t_ow_l_d m_iy dh_ah_t ay w_ah_z k_r_ey_z_iy
i;12;Til I pulled up on your man and you;t_ih_l ay p_uh_l_d ah_p aa_n y_uh_r m_ae_n ah_n_d y_uw
l;13;you looked like the devil when you waved at me;y_uw l_uh_k_t l_ay_k dh_iy d_eh_v_ah_l hh_w_ih_n y_uw w_ey_v_d ae_t m_iy
i;14;bitch I got something to say to you;b_ih_ch ay g_aa_t s_ah_m_th_ih_ng t_ah s_ey t_ah y_uw
d;15;goodbye bye;g_uh_d_b_ay b_ay
d;16;goodbye;g_uh_d_b_ay
a;18;yeah I cracked my windshield;y_ae ay k_r_ae_k_t m_ay w_ih_n_d_sh_iy_l_d
i;19;lucky that I didn-t crack you;l_ah_k_iy dh_ah_t ay d_ih_d_ah_n k_r_ae_k y_uw
e;20;bitch youre a black hole;b_ih_ch y_uw_r ah b_l_ae_k hh_ow_l
m;21;sucking me in your vacuum;s_ah_k_ih_ng m_iy ih_n y_ao_r v_ae_k_y_uw_m
a;22;yeah I cracked my windshield;y_ae ay k_r_ae_k_t m_ay w_ih_n_d_sh_iy_l_d
i;23;lucky that I didn-t crack you;l_ah_k_iy dh_ae_t ay d_ih_d_n_t k_r_ae_k y_uw
i;24;and Im feeling drunk in this hotel room trying ask you;ah_n_d ay_m f_iy_l_ih_ng d_r_ah_ng_k ih_n dh_ih_s hh_ow_t_eh_l r_uw_m t_r_ay_ih_ng ae_s_k y_uw
n;25;bout all of your past dudes;b_aw_t ao_l ah_v y_ao_r p_ae_s_t d_y_uw_d_z
o;26;and why they stay so present;ah_n_d w_ay dh_ey s_t_ey s_ow p_r_ih_z_eh_n
b;27;cause bitch if im the future then why they in yo presence;k_aa_z b_ih_ch ah_f ih_m dh_ah f_y_uw_ch_er dh_eh_n w_ay dh_ey ih_n y_ow p_r_eh_z_ah_n_s
f;28;and if Im the king and you the queen;ah_n_d ah_f ay_m dh_ah k_ih_ng ah_n_d y_uw dh_ah k_w_iy_n
b;29;then why you acting like a peasant;dh_eh_n w_ay y_uw ae_k_t_ih_ng l_ay_k ah p_eh_z_ah_n_t
b;30;why you acting like a peasant;w_ay y_uw ae_k_t_ih_ng l_ay_k ah p_eh_z_ah_n_t
b;31;i thought that you were gonna tell all of your exes;ay th_ao_t dh_ae_t y_uw w_er g_aa_n_ah t_eh_l ao_l ah_v y_ao_r eh_k_s_ah_z
d;32;goodbye bye;g_uh_d_b_ay b_ay
d;34;goodbye;g_uh_d_b_ay
g;36;let me start with Paul;l_eh_t m_iy s_t_aa_r_t w_ih_dh p_ao_l
h;37;have fun on your farm;hh_ae_v f_ah_n aa_n y_ao_r f_aa_r_m
a;38;while you counting your chickens;w_ay_l y_uw k_aw_n_t_ih_ng y_ao_r ch_ih_k_ah_n_z
p;39;and your goats while you getting dogged;ah_n_d y_ao_r g_ow_t_s w_ay_l y_uw g_eh_t_ih_ng d_ah_g_d
q;40;cause you think you love Paola;k_aa_z y_uw th_ih_ng_k y_uw l_ah_v P_ah_oh_l_ax
q;41;cause you went and fucked Paola;k_aa_z y_uw w_eh_n_t ah_n_d f_ah_k_t P_ah_oh_l_ax
r;42;but youre just enamored by pussy power;b_ah_t y_uw_r jh_ah_s_t eh_n_ae_m_er_d b_ay p_uh_s_iy p_aw_er
s;43;cause you never really got it;k_aa_z y_uw n_eh_v_er r_ih_l_iy g_aa_t ih_t
s;44;so when she threw it yeah you caught it;s_ow w_eh_n sh_iy th_r_uw ih_t y_ae y_uw k_aa_t ih_t
s;45;and I knew it but I bought it;ah_n_d ay n_uw ih_t b_ah_t ay b_aa_t ih_t
l;46;and Paul-s just your puppy;ah_n_d p_ao_l_z jh_ah_s_t y_ao_r p_ah_p_iy
f;47;better keep him on your leash;b_eh_t_er k_iy_p hh_ih_m aa_n y_ao_r l_iy_sh
f;48;cause the second that he finally gets some more pussy hes gonna leave;k_aa_z dh_ah s_eh_k_ah_n_d dh_ae_t hh_iy f_ay_n_ah_l_iy g_eh_t_s s_ah_m m_ao_r p_uh_s_iy hh_iy_s g_aa_n_ah l_iy_v
g;50;but round of applause for all the losers like Paul;b_ah_t r_aw_n_d ah_v ah_p_l_ao_z f_ao_r ao_l dh_ah l_uw_z_er_z l_ay_k p_ao_l
d;52;goodbye bye;g_uh_d_b_ay b_ay
d;53;goodbye;g_uh_d_b_ay
d;54;goodbye;g_uh_d_b_ay
e;56;yeah let me name these hoes;y_ae l_eh_t m_iy n_ey_m dh_iy_z hh_ow_z
b;57;there was Blake there was Devon;dh_eh_r w_ah_z b_l_ey_k dh_eh_r w_ah_z d_eh_v_ah_n
g;58;there was Igor there was Paul;dh_eh_r w_ah_z ih_g_ao_r dh_eh_r w_ah_z p_ao_l
t;59;then I found out youre a prostitute;dh_eh_n ay f_aw_n_d aw_t y_uw_r ah p_r_aa_s_t_ah_t_uw_t
f;60;so theres more names than I recall;s_ow dh_eh_r_s m_ao_r n_ey_m_z dh_ae_n ay r_iy_k_ao_l
h;61;should-ve listened to the cops;sh_uh_d_ah_v l_ih_s_ah_n_d t_uw dh_ah k_aa_p_s
h;62;should-ve listened to my pops;sh_uh_d_ah_v l_ih_s_ah_n_d t_ah m_ay p_aa_p_s
u;63;should-ve listened to Bugus;sh_uh_d_ah_v l_ih_s_ah_n_d t_ah 
w;64;man why did I not;m_ae_n w_ay d_ih_d ay n_ax_t
i;65;because I I really loved you;b_ih_k_ao_z ay ay r_ih_l_iy l_ah_v_d y_uw
i;66;oh I I really loved you;ow ay ay r_ih_l_iy l_ah_v_d y_uw
e;67;but youre a money hungry ho;b_ah_t y_uw_r ah m_ah_n_iy hh_ah_ng_g_r_iy hh_ow
c;68;guess what Im saying;g_eh_s w_ah_t ay_m s_ey_ih_ng
c;70;you told me that I was crazy;y_uw t_ow_l_d m_iy dh_ae_t ay w_ah_z k_r_ey_z_iy
i;71;Til I pulled up on your man and you;t_ih_l ay p_uh_l_d ah_p aa_n y_ao_r m_ae_n ah_n_d y_uw
l;72;you looked like the devil when you waved at me;y_uw l_uh_k_t l_ay_k dh_ah d_eh_v_ah_l w_eh_n y_uw w_ey_v_d ae_t m_iy
i;73;bitch I got something to say to you;b_ih_ch ay g_aa_t s_ah_m_th_ih_ng t_uw s_ey t_uw y_uw
d;74;goodbye bye;g_uh_d_b_ay b_ay
d;75;goodbye;g_uh_d_b_ay
d;77;goodbye;g_uh_d_b_ay
d;79;goodbye;g_uh_d_b_ay
d;81;goodbye;g_uh_d_b_ay
